GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001MA,B13002A_001EA,B13002A_002MA,B13002A_002EA,B13002A_003MA,B13002A_003EA,B13002A_004MA,B13002A_004EA,B13002A_005EA,B13002A_005MA,B13002A_006EA,B13002A_006MA,B13002A_007EA,B13002A_007MA,state
0400000US01,755732,4280,38261,3562,28595,2851,9666,1758,717471,5174,370066,7144,347405,6732,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,113137,1595,6205,1398,4421,1132,1784,634,106932,2063,54533,2441,52399,2479,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1170099,8169,57417,3889,38363,3039,19054,2586,1112682,9116,483116,9245,629566,8719,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,517524,3530,29656,2899,20362,2345,9294,1510,487868,4666,246696,6697,241172,5909,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5611559,20630,270447,7781,183107,5630,87340,5393,5341112,19936,2316857,16969,3024255,22800,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1048906,6227,52515,3294,38195,2587,14320,1971,996391,6973,476671,8375,519720,8069,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,627759,4351,25597,2633,18786,2000,6811,1461,602162,5048,262396,5667,339766,6630,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,140916,2147,7927,1328,5391,1031,2536,690,132989,2341,57228,2577,75761,2918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,88645,1591,3236,849,2868,831,368,367,85409,1580,21485,2028,63924,2213,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3205394,11559,141556,7529,89449,5735,52107,4677,3063838,14140,1337536,16425,1726302,18270,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
