GEO_ID,C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,NAME,C27001H_001EA,C27001H_001MA,C27001H_002EA,C27001H_002MA,C27001H_003MA,C27001H_003EA,C27001H_004EA,C27001H_004MA,C27001H_005EA,C27001H_005MA,C27001H_006EA,C27001H_006MA,C27001H_007EA,C27001H_007MA,C27001H_008MA,C27001H_008EA,C27001H_009EA,C27001H_009MA,C27001H_010EA,C27001H_010MA,state
0400000US01,3161177,3811,650042,1630,625189,4189,24853,3866,1951755,2752,1631662,11047,320093,10578,559380,1051,558217,1219,1163,645,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445052,1452,95360,270,86381,2177,8979,2134,301417,1408,247433,4494,53984,4283,48275,337,47844,443,431,285,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3704801,3303,659426,1168,606692,5446,52734,5295,2221568,2956,1863649,11040,357919,10587,823807,923,820725,1327,3082,846,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2143004,2338,453499,1149,429592,3692,23907,3701,1304531,1648,1028385,9952,276146,9909,384974,851,384032,1203,942,858,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14677545,8763,2421173,3166,2309081,8640,112092,8193,9425003,7538,8087323,22436,1337680,21609,2831369,2528,2817674,3246,13695,1763,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3587724,4620,703694,1869,661667,4140,42027,3735,2353192,3653,2013258,11302,339934,10858,530838,1115,528857,1311,1981,672,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2460881,2919,456994,928,442074,2909,14920,2846,1552339,2176,1414894,7892,137445,8215,451548,1112,449853,1249,1695,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,584647,1455,104647,238,99116,1853,5531,1850,362728,1342,322574,3501,40154,3258,117272,562,117108,582,164,155,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,227266,897,22660,355,21996,593,664,489,181663,597,174421,1772,7242,1558,22943,450,22943,450,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10835235,8064,1767057,3095,1608986,10578,158071,9601,6342988,6122,4982081,23949,1360907,25172,2725190,2160,2707986,4099,17204,3243,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5370124,6249,1134981,2311,1054232,6753,80749,6636,3376897,5186,2739055,15000,637842,14338,858246,1800,852940,2348,5306,1713,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,292956,2386,42182,174,41292,451,890,437,195323,2290,173037,3257,22286,2449,55451,441,55280,476,171,145,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1326699,1132,323795,311,298227,3580,25568,3579,796578,1026,636470,8744,160108,8767,206326,417,204953,1212,1373,1033,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7976422,4924,1577825,1184,1524518,5243,53307,5110,5083242,4426,4483298,14261,599944,14264,1315355,2277,1308376,2931,6979,1681,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5224767,3696,1152530,2323,1060244,6761,92286,6501,3274377,2717,2726484,12777,547893,12860,797860,1338,795613,1491,2247,703,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
