B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003MA,B14006_003EA,B14006_004MA,B14006_004EA,B14006_005EA,B14006_005MA,B14006_006MA,B14006_006EA,B14006_007MA,B14006_007EA,B14006_008MA,B14006_008EA,B14006_009MA,B14006_009EA,B14006_010MA,B14006_010EA,B14006_011MA,B14006_011EA,B14006_012EA,B14006_012MA,B14006_013MA,B14006_013EA,B14006_014MA,B14006_014EA,B14006_015MA,B14006_015EA,B14006_016EA,B14006_016MA,B14006_017MA,B14006_017EA,B14006_018EA,B14006_018MA,B14006_019MA,B14006_019EA,B14006_020MA,B14006_020EA,B14006_021EA,B14006_021MA,NAME,B14006_001MA,B14006_001EA,B14006_002EA,B14006_002MA,state
293142,11641,17849,2809,20352,2266,62435,3944,64241,5145,57034,4865,63155,5444,8076,1856,537501,14496,3720527,21106,866784,13270,51832,4108,40851,2949,172104,6677,198074,7078,193995,6303,165505,6712,44423,3668,2853743,14955,0400000US01,4551170,5879,830643,19716,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,01
21150,2534,1428,368,1457,587,4803,871,4276,913,4757,1178,3860,1142,569,431,41142,2996,624597,5546,173538,5173,9406,1466,8569,1405,33995,2213,37663,2552,38485,2503,34326,3369,11094,1623,451059,5878,0400000US02,686889,2187,62292,4530,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,02
420181,14625,17094,2074,23653,2288,97206,6130,91580,6200,87496,5098,88028,6065,15124,2381,714317,19848,5097428,29989,1261041,17098,65660,3823,63366,4022,259131,7544,267927,8086,277685,6081,260252,8211,67020,4020,3836387,21170,0400000US04,6231926,6003,1134498,30094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,04
197043,8477,13777,2142,15033,2416,46083,4012,38891,3842,33398,3241,43782,4923,6079,1484,330322,11428,2238376,16447,514841,11210,36397,3725,28737,3013,106884,4943,110066,5169,114858,4496,95740,5252,22159,2591,1723535,13826,0400000US05,2765741,4589,527365,15500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,05
2340863,35255,116782,6962,128418,6442,480523,12748,450067,13022,489122,12018,585122,18092,90829,6065,3635733,37112,30189416,62104,7882746,39390,455586,9919,383148,10167,1504768,18162,1552963,19125,1692189,15677,1903909,23150,390183,10008,22306670,46114,0400000US06,36166012,15155,5976596,60416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,06
246943,10558,11962,2006,14038,2154,45919,3990,45420,4381,41353,3869,74552,5006,13699,2071,383351,13020,4325211,21250,1100516,13815,73030,3692,55763,3867,227402,6170,238634,7122,232141,5941,208304,6623,65242,4318,3224695,15115,0400000US08,4955505,5968,630294,19714,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,08
125469,7357,7983,1693,6746,1401,27657,3103,22714,3056,27882,3264,24094,3252,8393,1721,230819,9764,3021224,14162,752019,9957,50727,3834,35809,2969,149941,5749,158299,5515,172234,4965,141471,5670,43538,2981,2269205,12086,0400000US09,3377512,4151,356288,13905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,09
35699,4359,2015,802,2559,766,6601,1681,7903,1548,7227,1442,7579,1711,1815,827,68299,6060,762682,9073,179605,6607,10994,1779,8502,1758,36851,2654,38165,3095,37095,2348,35447,3226,12551,1909,583077,6783,0400000US10,866680,2429,103998,8928,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,10
41515,4096,3108,1012,2973,964,4931,1363,5455,1020,7027,1295,10023,2262,7998,1666,67781,5125,476465,7468,95605,5317,10204,1601,4901,1067,17533,1988,13125,1982,15188,1659,17366,2158,17288,2491,380860,5929,0400000US11,585761,2003,109296,6934,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,11
1023393,30754,61184,5386,61685,5860,220973,10389,205269,10162,198546,8153,231901,8400,43835,3993,2059397,36664,15431754,56676,3464518,32263,220544,7710,164042,6543,651055,14175,695876,14134,740397,13633,811535,18427,181069,8311,11967236,42613,0400000US12,18514544,11043,3082790,58679,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,12
