GEO_ID,C27016_001E,C27016_001M,C27016_002E,C27016_002M,C27016_003E,C27016_003M,C27016_004E,C27016_004M,C27016_005E,C27016_005M,C27016_006E,C27016_006M,C27016_007E,C27016_007M,C27016_008E,C27016_008M,C27016_009E,C27016_009M,C27016_010E,C27016_010M,C27016_011E,C27016_011M,C27016_012E,C27016_012M,C27016_013E,C27016_013M,C27016_014E,C27016_014M,C27016_015E,C27016_015M,C27016_016E,C27016_016M,C27016_017E,C27016_017M,C27016_018E,C27016_018M,C27016_019E,C27016_019M,C27016_020E,C27016_020M,C27016_021E,C27016_021M,C27016_022E,C27016_022M,C27016_023E,C27016_023M,C27016_024E,C27016_024M,C27016_025E,C27016_025M,C27016_026E,C27016_026M,C27016_027E,C27016_027M,C27016_028E,C27016_028M,C27016_029E,C27016_029M,C27016_030E,C27016_030M,C27016_031E,C27016_031M,C27016_032E,C27016_032M,C27016_033E,C27016_033M,C27016_034E,C27016_034M,C27016_035E,C27016_035M,C27016_036E,C27016_036M,C27016_037E,C27016_037M,C27016_038E,C27016_038M,C27016_039E,C27016_039M,C27016_040E,C27016_040M,C27016_041E,C27016_041M,NAME,C27016_001EA,C27016_001MA,C27016_002MA,C27016_002EA,C27016_003EA,C27016_003MA,C27016_004EA,C27016_004MA,C27016_005MA,C27016_005EA,C27016_006MA,C27016_006EA,C27016_007EA,C27016_007MA,C27016_008MA,C27016_008EA,C27016_009EA,C27016_009MA,C27016_010MA,C27016_010EA,C27016_011EA,C27016_011MA,C27016_012EA,C27016_012MA,C27016_013MA,C27016_013EA,C27016_014EA,C27016_014MA,C27016_015EA,C27016_015MA,C27016_016MA,C27016_016EA,C27016_017MA,C27016_017EA,C27016_018MA,C27016_018EA,C27016_019EA,C27016_019MA,C27016_020EA,C27016_020MA,C27016_021MA,C27016_021EA,C27016_022MA,C27016_022EA,C27016_023EA,C27016_023MA,C27016_024MA,C27016_024EA,C27016_025EA,C27016_025MA,C27016_026EA,C27016_026MA,C27016_027EA,C27016_027MA,C27016_028EA,C27016_028MA,C27016_029EA,C27016_029MA,C27016_030MA,C27016_030EA,C27016_031EA,C27016_031MA,C27016_032EA,C27016_032MA,C27016_033EA,C27016_033MA,C27016_034MA,C27016_034EA,C27016_035EA,C27016_035MA,C27016_036EA,C27016_036MA,C27016_037MA,C27016_037EA,C27016_038EA,C27016_038MA,C27016_039MA,C27016_039EA,C27016_040EA,C27016_040MA,C27016_041MA,C27016_041EA,state
0400000US01,4706844,2723,1295554,28099,413202,12028,388525,11136,24677,4353,741692,16843,444019,11062,297673,13143,140660,6226,138115,6103,2545,1012,600290,23540,146958,9297,139882,9368,7076,2016,346328,14907,245285,11871,101043,7644,107004,5485,106534,5499,470,287,1453813,24313,315356,10366,302402,10182,12954,2994,898627,18438,757249,15111,141378,8775,239830,7767,239452,7781,378,293,1357187,26870,218966,8581,215747,8505,3219,1134,923644,19425,873360,18671,50284,4513,214577,7212,214141,7214,436,298,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,707088,2393,111102,6591,37236,3876,33901,3591,3335,1152,66467,3983,36443,2682,30024,2707,7399,1184,7150,1161,249,224,69103,8081,23815,4331,20497,4227,3318,1287,39122,4255,22991,3249,16131,2350,6166,1045,6130,1039,36,61,198582,10918,60369,4826,50177,4933,10192,2099,120454,7159,86424,5990,34030,2932,17759,2226,17540,2239,219,153,328301,11332,63241,4492,58599,4291,4642,1071,231797,7905,202671,7582,29126,3312,33263,2343,33068,2336,195,202,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6467526,3889,1741049,32407,588613,17723,504269,16907,84344,7384,987016,20167,588270,15805,398746,12538,165420,6230,160610,6278,4810,1293,824495,26387,230886,12446,186777,11452,44109,5506,457842,15501,281436,10953,176406,9313,135767,6168,134686,6162,1081,485,1959785,31740,451628,14704,404736,14266,46892,4816,1159029,20351,915413,17374,243616,10730,349128,8904,347231,8954,1897,701,1942197,28178,318475,9724,305932,9657,12543,2177,1267216,20347,1173610,18790,93606,6483,356506,9130,355289,9271,1217,586,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2869223,3273,841588,18264,280257,9103,264574,9257,15683,3522,469302,11161,265745,9042,203557,8004,92029,4521,91402,4589,627,348,404979,16716,105500,7516,99156,7151,6344,1668,227654,9915,153905,7338,73749,5542,71825,4548,71825,4548,0,192,902475,19849,197210,8731,186144,8347,11066,2266,552691,12944,444878,11772,107813,6419,152574,5617,151608,5553,966,820,720181,18130,114455,5960,109102,6082,5353,1654,484165,13407,446782,13035,37383,3820,121561,5059,121487,5058,74,92,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37514516,9930,9345349,74578,3051524,35060,2755129,35914,296395,12605,5422811,48154,3187478,32669,2235333,35235,871014,16655,842009,16243,29005,3112,4489884,65392,1220657,28593,1085341,27152,135316,9126,2696455,37585,1609751,25982,1086704,25718,572772,14005,559583,13932,13189,2371,10204832,102972,2308977,38011,2139539,34226,169438,11282,6523771,68549,4863204,60441,1660567,29879,1372084,19254,1348462,18933,23622,2523,13474451,79971,2448111,28861,2387017,27337,61094,5298,9145130,51785,8395888,47785,749242,19719,1881210,20451,1863602,20713,17608,3032,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5127247,3317,1012067,25459,312137,12042,279902,11382,32235,4209,609950,16390,386769,13051,223181,10416,89980,4039,88631,4033,1349,560,539994,22383,154013,10686,132984,9944,21029,3022,314201,12125,206863,8346,107338,7802,71780,3990,71198,3969,582,370,1546476,27168,377287,12436,338866,11738,38421,3971,972190,17814,767020,14586,205170,10035,196999,6811,195952,6851,1047,558,2028710,23380,382617,10315,373813,10329,8804,2050,1375711,16936,1290629,17353,85082,5274,270382,5904,269248,5874,1134,467,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3481261,2617,545684,18742,159831,8881,152349,8574,7482,2251,320246,11560,231152,9166,89094,6236,65607,4302,63918,4118,1689,945,291448,17263,76629,6717,71883,6451,4746,1401,154571,10868,112763,9152,41808,3946,60248,3708,60012,3718,236,204,923358,20643,207114,8612,195933,8471,11181,2779,560577,14265,464068,12500,96509,7059,155667,5348,155085,5311,582,406,1720771,23555,331557,9587,321688,9446,9869,2585,1149200,15988,1083983,16192,65217,5443,240014,5943,237875,5947,2139,797,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,898021,1651,171393,10533,52760,5324,50619,5541,2141,775,99078,6637,76016,5371,23062,3494,19555,2200,19473,2166,82,117,92635,8302,26813,3955,24022,3920,2791,1244,49595,4980,38780,3923,10815,2273,16227,1994,16227,1994,0,189,271734,12613,57251,5016,54317,4955,2934,1112,165918,8022,139536,7482,26382,3163,48565,2824,47904,2849,661,450,362259,12957,63830,4841,62608,5008,1222,1318,239751,8562,227720,8248,12031,2061,58678,3050,57951,2925,727,578,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,610255,986,153895,9022,39369,3761,38547,3869,822,555,97462,6329,85658,6058,11804,1819,17064,1809,16887,1763,177,217,51068,6442,12621,2873,12380,2870,241,311,31664,3977,27297,3680,4367,1797,6783,1307,6721,1306,62,102,125418,8012,20016,2759,19733,2784,283,253,90263,5846,79369,5174,10894,2027,15139,1625,15114,1623,25,41,279874,7956,37334,2673,36050,2579,1284,1040,210133,5868,199398,5335,10735,1998,32407,1837,32407,1837,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19092715,8210,4836954,68306,1388660,31734,1206328,30971,182332,10671,2764868,41090,1454004,30626,1310864,27079,683426,14182,655055,13264,28371,3760,2490490,56531,578552,22173,484436,19720,94116,8015,1423691,35811,827593,26794,596098,20606,488247,11995,478481,11837,9766,1976,6069060,68519,1147543,28585,1024519,27829,123024,10440,3707470,44623,2678528,36661,1028942,28150,1214047,16633,1199518,16730,14529,2849,5696211,52547,839520,17054,799133,16882,40387,4838,3664014,42343,3258596,37510,405418,18077,1192677,18513,1186202,18506,6475,1403,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
