B17001H_048E,B17001H_048M,B17001H_049E,B17001H_049M,B17001H_050E,B17001H_050M,B17001H_051E,B17001H_051M,B17001H_052E,B17001H_052M,B17001H_053E,B17001H_053M,B17001H_054E,B17001H_054M,B17001H_055E,B17001H_055M,B17001H_056E,B17001H_056M,B17001H_057E,B17001H_057M,B17001H_058E,GEO_ID,B17001H_001E,B17001H_001M,B17001H_002E,B17001H_002M,B17001H_003E,B17001H_003M,B17001H_004E,B17001H_004M,B17001H_005E,B17001H_005M,B17001H_006E,B17001H_006M,B17001H_007E,B17001H_007M,B17001H_008E,B17001H_008M,B17001H_009E,B17001H_009M,B17001H_010E,B17001H_010M,B17001H_011E,B17001H_011M,B17001H_012E,B17001H_012M,B17001H_013E,B17001H_013M,B17001H_014E,B17001H_014M,B17001H_015E,B17001H_015M,B17001H_016E,B17001H_016M,B17001H_017E,B17001H_017M,B17001H_018E,B17001H_018M,B17001H_019E,B17001H_019M,B17001H_020E,B17001H_020M,B17001H_021E,B17001H_021M,B17001H_022E,B17001H_022M,B17001H_023E,B17001H_023M,B17001H_024E,B17001H_024M,B17001H_025E,B17001H_025M,B17001H_026E,B17001H_026M,B17001H_027E,B17001H_027M,B17001H_028E,B17001H_028M,B17001H_029E,B17001H_029M,B17001H_030E,B17001H_030M,B17001H_031E,B17001H_031M,B17001H_032E,B17001H_032M,B17001H_033E,B17001H_033M,B17001H_034E,B17001H_034M,B17001H_035E,B17001H_035M,B17001H_036E,B17001H_036M,B17001H_037E,B17001H_037M,B17001H_038E,B17001H_038M,B17001H_039E,B17001H_039M,B17001H_040E,B17001H_040M,B17001H_041E,B17001H_041M,B17001H_042E,B17001H_042M,B17001H_043E,B17001H_043M,B17001H_044E,B17001H_044M,B17001H_045E,B17001H_045M,B17001H_046E,B17001H_046M,B17001H_047E,B17001H_047M,B17001H_058M,B17001H_059E,B17001H_059M,B17001H_048EA,B17001H_048MA,B17001H_049EA,B17001H_049MA,B17001H_050EA,B17001H_050MA,B17001H_051EA,B17001H_051MA,B17001H_052EA,B17001H_052MA,B17001H_053MA,B17001H_053EA,B17001H_054MA,B17001H_054EA,B17001H_055EA,B17001H_055MA,B17001H_056MA,B17001H_056EA,B17001H_057EA,B17001H_057MA,B17001H_058MA,B17001H_058EA,NAME,B17001H_001EA,B17001H_001MA,B17001H_002MA,B17001H_002EA,B17001H_003MA,B17001H_003EA,B17001H_004EA,B17001H_004MA,B17001H_005MA,B17001H_005EA,B17001H_006EA,B17001H_006MA,B17001H_007EA,B17001H_007MA,B17001H_008MA,B17001H_008EA,B17001H_009MA,B17001H_009EA,B17001H_010EA,B17001H_010MA,B17001H_011MA,B17001H_011EA,B17001H_012EA,B17001H_012MA,B17001H_013EA,B17001H_013MA,B17001H_014EA,B17001H_014MA,B17001H_015EA,B17001H_015MA,B17001H_016EA,B17001H_016MA,B17001H_017EA,B17001H_017MA,B17001H_018EA,B17001H_018MA,B17001H_019EA,B17001H_019MA,B17001H_020EA,B17001H_020MA,B17001H_021EA,B17001H_021MA,B17001H_022EA,B17001H_022MA,B17001H_023EA,B17001H_023MA,B17001H_024EA,B17001H_024MA,B17001H_025EA,B17001H_025MA,B17001H_026EA,B17001H_026MA,B17001H_027EA,B17001H_027MA,B17001H_028MA,B17001H_028EA,B17001H_029MA,B17001H_029EA,B17001H_030EA,B17001H_030MA,B17001H_031MA,B17001H_031EA,B17001H_032MA,B17001H_032EA,B17001H_033EA,B17001H_033MA,B17001H_034MA,B17001H_034EA,B17001H_035EA,B17001H_035MA,B17001H_036MA,B17001H_036EA,B17001H_037MA,B17001H_037EA,B17001H_038EA,B17001H_038MA,B17001H_039MA,B17001H_039EA,B17001H_040EA,B17001H_040MA,B17001H_041EA,B17001H_041MA,B17001H_042MA,B17001H_042EA,B17001H_043EA,B17001H_043MA,B17001H_044EA,B17001H_044MA,B17001H_045EA,B17001H_045MA,B17001H_046MA,B17001H_046EA,B17001H_047MA,B17001H_047EA,B17001H_059MA,B17001H_059EA,state
14088,2017,87357,4117,45519,3325,16420,1556,31738,2172,95180,3188,156054,2997,171212,3009,202381,2579,204850,2182,160176,0400000US01,3141018,4556,412592,14369,180983,7310,14969,1727,4507,1308,18781,2121,8918,1739,3220,856,5752,1305,30483,2872,19302,1924,20412,2142,19912,2140,20070,1883,8733,1429,5924,1159,231609,9339,15420,2293,3661,859,17636,2119,7877,1577,3457,1040,5085,1029,35286,2675,32708,2870,28840,2773,29111,2607,24929,2134,13236,1595,14363,1506,2728426,15019,1354547,7697,66710,1966,14903,1816,87087,3020,53775,2825,18586,1991,31300,2264,108636,2917,165009,2467,174053,2435,206041,2196,195491,1862,143760,1545,89196,1416,1373879,9900,64912,2549,1597,123992,1789,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1779,519,13516,1530,7137,1152,2531,550,4313,862,16217,773,29561,688,26193,427,31497,625,30217,580,14557,0400000US02,450354,970,26703,3161,12738,1744,1251,469,260,218,974,356,661,417,182,245,515,315,1577,744,1618,568,1515,450,1304,484,2027,578,357,237,497,450,13965,1858,969,361,124,159,1342,586,605,347,71,76,274,177,2528,615,2763,693,1482,436,1282,595,1528,506,664,309,333,234,423651,3253,226197,1998,12840,494,2161,572,14852,1137,7764,1056,3595,663,4331,716,21304,893,36364,749,29293,515,35182,468,34531,698,17289,628,6691,816,197454,1966,12049,346,342,7887,340,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
14799,2030,93193,3853,47208,3332,16173,1953,33850,2263,99934,4469,182935,2920,189777,2862,228160,2747,266196,2202,228918,0400000US04,3682557,4237,426423,16751,196860,9266,11216,1676,2409,853,14596,2686,6381,1287,3014,931,5781,1429,31620,3183,24054,2405,17738,2194,27537,2857,31411,2534,12356,1620,8747,1255,229563,10348,13626,2298,2109,766,15519,2498,6941,1391,1884,756,4317,1234,35110,3936,30028,2795,24196,2953,32193,2732,28042,2213,18412,2148,17186,2184,3256134,17028,1609997,9617,73325,2310,12595,1635,98493,3980,52774,3614,16159,1533,34046,1764,107965,3556,194825,2736,199595,2366,224454,3098,233792,2549,212082,1784,149892,1322,1646137,10627,68780,2583,2085,176214,2228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
10799,1868,55645,2928,31280,2615,12209,1362,19692,1619,59687,3141,103350,2584,113202,2591,131110,1967,137023,1938,107858,0400000US05,2120542,2978,315811,12314,141219,7276,12643,1842,3934,1108,15463,1886,7053,1444,2390,742,5649,1260,21978,2738,16890,2561,12799,1560,16233,2019,15169,1773,5746,1142,5272,824,174592,7546,12912,2122,3302,821,14889,2224,5802,1332,1786,586,4319,945,27303,2672,26916,2275,19994,2093,19072,1925,15703,1949,11072,1686,11522,1388,1804731,12653,897918,7732,47820,2252,10658,1760,59084,3029,32788,2264,9718,1556,22210,1762,66881,3031,111646,2863,117788,1798,130909,2284,125987,1901,99472,1287,62957,1032,906813,8022,43883,2126,1822,81075,1627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
53973,3150,340613,6774,182598,6926,61199,2832,124555,3603,403396,6536,800591,5187,777347,5543,1016063,5297,1060400,5811,759933,0400000US06,14615494,8898,1575551,26888,729500,14977,37703,3225,7518,1811,43246,4419,22440,2527,9065,1506,18418,2601,115029,6415,113400,6019,78296,3982,105277,5360,105540,5626,40945,2913,32623,2735,846051,16387,35804,3732,7315,1717,43710,3958,17745,2238,9317,1726,19053,2355,141275,6314,118720,4792,92717,5146,110954,4907,110074,5752,58200,2994,81167,4691,13039943,27739,6535397,16248,279145,3616,55783,3413,362522,7397,190302,6181,65219,3466,134855,3816,471623,6789,865883,6576,832965,4668,1039380,5963,1034525,5760,707279,3160,495916,3061,6504546,16393,268572,3767,3088,655306,4984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
16629,1925,108398,3602,51660,3357,19345,1826,32761,1931,96341,3063,220085,3018,217634,1906,250653,2588,249352,2051,155349,0400000US08,3574069,4246,333569,13996,150373,8000,8628,1825,2858,1015,11160,1895,5348,1254,1896,620,3213,837,36781,3156,22317,2513,11944,1795,15202,1834,19127,2160,8073,1171,3826,806,183196,8602,9258,1691,2010,748,9013,1807,4631,1106,2688,935,2938,887,43914,2955,29464,2723,18194,1905,19508,2528,21158,1983,9467,1108,10953,1420,3240500,14796,1629562,8619,86711,1888,16307,1758,107666,3511,59016,3162,16915,1782,37591,1810,114335,3433,239502,3136,234298,2332,246085,2314,240338,2200,146107,1310,84691,1077,1610938,8947,80359,1843,1491,112372,1939,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
11044,1432,70506,2631,39638,2410,11534,1316,29269,1677,68524,2375,119501,1741,137096,1407,199225,1852,186158,1929,121847,0400000US09,2422248,3305,148684,10116,65015,5324,3806,1347,387,256,4011,983,2403,1023,1202,642,1677,617,8783,1873,8697,1456,5234,1070,10923,1660,10052,1833,4646,962,3194,805,83669,5950,2454,1046,856,539,3381,1108,1496,571,947,601,2702,1113,11297,1968,11002,1703,8564,1350,12436,1789,11717,1903,7321,1263,9496,1216,2273564,10472,1117531,5417,48362,1372,12015,1597,74937,2786,39620,2490,14337,1397,30095,1525,81196,2309,122587,1595,135237,1068,191732,1683,177873,1893,109663,1159,79877,1088,1156033,6216,46206,1163,1375,115485,1579,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2177,893,16263,1415,7491,1207,3166,788,4822,790,19442,1115,29718,1142,30836,864,41119,940,44103,802,34184,0400000US10,578821,1528,49839,5316,21898,2986,1375,641,262,193,1403,962,636,317,178,185,536,325,3313,1006,2264,670,2113,827,3427,926,3699,810,1298,548,1394,500,27941,3103,1323,581,246,240,1724,927,507,273,323,300,658,365,3205,1037,5269,1115,2592,842,4367,940,3034,745,2143,641,2550,657,528982,5687,257729,3387,12861,653,2921,948,15754,1540,8627,1465,3669,770,5021,734,19461,1029,31337,1171,29915,823,39402,937,38817,870,30866,585,19078,561,271253,3099,12173,593,650,25759,814,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
597,296,2894,599,921,393,365,213,432,219,6681,1524,35967,868,15664,655,9458,235,9229,381,7143,0400000US11,215153,1844,16665,2251,6799,1284,0,203,0,203,99,117,0,203,0,203,26,45,2913,878,2238,689,167,183,623,287,431,342,229,233,73,133,9866,1780,0,203,0,203,450,542,33,55,0,203,20,37,4076,1254,2448,845,960,655,268,181,714,381,202,158,695,499,198488,2314,99662,1402,5525,265,559,263,3333,418,1094,351,210,155,509,234,3902,924,32927,764,19165,196,12280,290,9907,367,6553,265,3698,315,98826,1856,5125,245,158,4350,548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
37138,3809,241091,6819,125886,5665,44051,3356,88627,3891,285818,6377,484013,6402,511125,5504,690703,6142,776897,5124,711648,0400000US12,10776700,8806,1284413,30342,582325,17570,37279,3939,8128,1777,44151,4169,21403,3112,7199,1600,13172,2071,83585,5486,64308,4261,56621,4995,81569,5879,88570,5165,43472,3684,32868,3093,702088,17664,34041,3577,9469,2235,42299,3810,18000,2483,7685,1652,15703,2545,90821,6194,87882,6268,74017,5258,98730,6119,93777,4997,63115,3737,66549,3737,9492287,30921,4682994,19133,190359,4255,38933,3394,246663,7146,137129,5879,49457,3118,96756,3557,305840,5918,517242,5199,527681,5291,689535,5554,705684,5436,657827,3923,519888,3299,4809293,18466,182473,3945,3724,629823,3984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
