GEO_ID,B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,NAME,B11001F_001MA,B11001F_001EA,B11001F_002EA,B11001F_002MA,B11001F_003MA,B11001F_003EA,B11001F_004MA,B11001F_004EA,B11001F_005EA,B11001F_005MA,B11001F_006EA,B11001F_006MA,B11001F_007EA,B11001F_007MA,B11001F_008MA,B11001F_008EA,B11001F_009MA,B11001F_009EA,state
0400000US01,13630,1907,10909,1688,7173,1600,3736,1100,953,544,2783,1012,2721,934,1422,728,1299,663,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2371,666,1517,557,1151,514,366,197,97,96,269,187,854,427,775,415,79,120,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109012,4723,82134,3950,47694,3089,34440,3339,9666,1479,24774,2797,26878,3041,19647,2619,7231,1316,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14842,1767,12838,1683,7426,1586,5412,1392,2271,963,3141,1056,2004,789,1393,662,611,432,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1200187,14851,992274,13625,595961,11504,396313,10495,137771,6631,258542,8353,207913,7836,141845,7016,66068,4884,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,71142,4005,53077,3591,32180,2783,20897,2652,6117,1605,14780,2149,18065,2598,13260,2264,4805,1340,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54924,4168,37738,3254,17949,2274,19789,2591,6908,1486,12881,2177,17186,2557,13290,2219,3896,1095,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7214,1412,4785,1027,3069,850,1716,658,505,353,1211,605,2429,881,1840,807,589,392,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7461,1643,3860,1138,2453,985,1407,702,723,616,684,464,3601,1354,2684,1190,917,615,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,133065,7540,97521,6269,61906,4652,35615,4252,11122,2055,24493,3593,35544,3569,25032,3255,10512,1869,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,66822,4669,52302,3642,33213,3088,19089,2428,8499,1981,10590,2010,14520,3225,9489,2268,5031,1983,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
