GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001MA,B12002D_001EA,B12002D_002MA,B12002D_002EA,B12002D_003EA,B12002D_003MA,B12002D_004EA,B12002D_004MA,B12002D_005MA,B12002D_005EA,B12002D_006MA,B12002D_006EA,B12002D_007MA,B12002D_007EA,B12002D_008MA,B12002D_008EA,B12002D_009EA,B12002D_009MA,B12002D_010EA,B12002D_010MA,B12002D_011EA,B12002D_011MA,B12002D_012MA,B12002D_012EA,B12002D_013MA,B12002D_013EA,state
0400000US01,46735,2258,20901,1392,6570,1376,13029,1343,145,247,374,402,783,452,25834,1506,6458,1151,15752,1518,468,434,1251,573,1905,820,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33192,1734,15440,1167,6198,1229,7431,1032,406,453,218,229,1187,612,17752,1344,4913,1146,9937,823,179,166,1291,529,1432,507,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,158987,3707,73235,2220,28244,2290,39582,2349,1010,493,1497,593,2902,777,85752,2416,20690,1953,50189,2579,1048,557,6130,1119,7695,1331,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30359,1837,13758,1215,4713,1014,8612,948,39,68,142,215,252,211,16601,1522,4320,1111,10084,1220,244,292,977,526,976,526,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4381723,12657,2035624,7461,734667,9655,1150827,9119,21718,2227,39192,2965,89220,5331,2346099,8091,656839,10171,1287568,11738,39642,3035,195765,5417,166285,6515,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,121461,2884,54250,1919,19502,1858,30396,1882,1061,583,764,399,2527,850,67211,2022,18384,1747,38227,2692,967,393,4323,776,5310,1120,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,118258,2783,56531,1675,17048,1594,36588,1945,0,201,683,398,2212,838,61727,1439,15069,1396,39700,1984,1057,561,2991,910,2910,779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27000,740,12592,670,3651,623,8244,766,59,94,392,380,246,205,14408,793,2614,614,10202,855,340,351,742,464,510,332,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20810,1203,8556,761,5104,731,2912,694,249,284,66,114,225,254,12254,861,6706,941,4012,773,73,122,665,384,798,403,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,420952,4928,190207,3353,63217,3744,111518,3567,2575,1041,3712,1142,9185,1755,230745,4267,55247,3688,138285,4525,4089,1329,17184,1791,15940,1867,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
