C18103_001E,C18103_001M,C18103_002E,C18103_002M,C18103_003E,C18103_003M,C18103_004E,C18103_004M,C18103_005E,C18103_005M,C18103_006E,C18103_006M,C18103_007E,C18103_007M,C18103_008E,C18103_008M,C18103_009E,C18103_009M,C18103_010E,C18103_010M,C18103_011E,C18103_011M,C18103_012E,C18103_012M,C18103_013E,C18103_013M,C18103_014E,C18103_014M,C18103_015E,C18103_015M,C18103_016E,C18103_016M,C18103_017E,C18103_017M,C18103_018E,C18103_018M,C18103_019E,C18103_019M,C18103_020E,C18103_020M,C18103_021E,C18103_021M,GEO_ID,C18103_001EA,C18103_001MA,C18103_002EA,C18103_002MA,C18103_003EA,C18103_003MA,C18103_004EA,C18103_004MA,C18103_005MA,C18103_005EA,C18103_006EA,C18103_006MA,C18103_007MA,C18103_007EA,C18103_008EA,C18103_008MA,C18103_009EA,C18103_009MA,C18103_010MA,C18103_010EA,C18103_011EA,C18103_011MA,C18103_012EA,C18103_012MA,C18103_013MA,C18103_013EA,C18103_014EA,C18103_014MA,C18103_015EA,C18103_015MA,C18103_016MA,C18103_016EA,C18103_017EA,C18103_017MA,C18103_018EA,C18103_018MA,C18103_019MA,C18103_019EA,C18103_020EA,C18103_020MA,C18103_021EA,C18103_021MA,NAME,state
4755381,1814,2284668,5599,563117,4269,5269,1202,557848,4285,1418723,4731,37296,3412,1381427,6121,302828,1900,22897,2322,279931,2776,2470713,5159,544727,4391,3773,933,540954,4457,1526743,3765,41250,2766,1485493,4725,399243,1967,32692,2249,366551,2901,0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,01
712248,1963,366864,2541,96973,1734,1082,524,95891,1780,237630,1974,4335,1056,233295,2025,32261,848,2360,587,29901,920,345384,2157,90912,1717,479,289,90433,1613,222146,1283,3006,780,219140,1475,32326,832,3311,831,29015,1130,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,02
6521226,1734,3207062,2887,823870,1962,4112,1079,819758,1983,1920087,2842,39342,3886,1880745,4365,463105,1334,28371,2394,434734,2743,3314164,2699,789635,1895,5850,1385,783785,2344,1980813,2354,43031,3391,1937782,3912,543716,1448,38546,2862,505170,2992,0400000US04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,04
2907014,1233,1427846,4941,369537,4011,3815,1021,365722,4196,862503,3593,24307,2406,838196,4173,195806,1562,14131,1613,181675,2019,1479168,4700,339588,3571,4404,992,335184,3662,897397,3109,27012,2645,870385,3964,242183,2000,20262,1874,221921,2586,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,05
37831553,5167,18678471,8174,4684835,4538,33410,2848,4651425,5168,11917914,6910,189614,7713,11728300,9770,2075722,3272,133232,5477,1942490,5850,19153082,6595,4473120,4214,29520,3065,4443600,5302,12058604,4800,200921,6754,11857683,9210,2621358,3316,202304,8097,2419054,8601,0400000US06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,06
5173272,2685,2571218,4738,633100,3639,4342,1067,628758,3781,1653136,3953,31538,2841,1621598,5022,284982,1510,15672,1696,269310,2183,2602054,4073,606091,3326,3795,1046,602296,3222,1651804,2894,29371,3219,1622433,4225,344159,1664,23881,2273,320278,2946,0400000US08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,08
3541409,1156,1718699,2659,398790,1891,1481,532,397309,1953,1093523,1944,13189,1861,1080334,2756,226386,1298,10739,1294,215647,1713,1822710,2714,385369,1796,2809,903,382560,1764,1142172,1698,18001,2432,1124171,3131,295169,1346,17971,2009,277198,2317,0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,09
911502,1114,437592,1253,103087,830,514,286,102573,920,270719,1081,6251,1379,264468,1674,63786,493,3166,816,60620,889,473910,1235,100252,856,644,406,99608,934,294419,998,4507,980,289912,1545,79239,492,4768,897,74471,960,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,10
635833,581,298312,741,55867,410,415,312,55452,532,213223,658,2267,775,210956,915,29222,519,1879,686,27343,829,337521,821,55420,476,137,160,55283,513,239930,641,5717,1080,234213,1175,42171,552,2393,711,39778,916,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,11
19245127,3839,9333945,8603,2059975,6245,17944,2633,2042031,6787,5663869,6338,113787,5929,5550082,8850,1610101,3180,96798,5199,1513303,6158,9911182,7269,1959860,6147,13815,2337,1946045,6316,5983026,4806,119207,6548,5863819,7980,1968296,3245,133446,5507,1834850,6309,0400000US12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,12
