GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001MA,B16005A_001EA,B16005A_002MA,B16005A_002EA,B16005A_003MA,B16005A_003EA,B16005A_004EA,B16005A_004MA,B16005A_005EA,B16005A_005MA,B16005A_006EA,B16005A_006MA,B16005A_007MA,B16005A_007EA,B16005A_008EA,B16005A_008MA,B16005A_009EA,B16005A_009MA,B16005A_010EA,B16005A_010MA,B16005A_011EA,B16005A_011MA,state
0400000US01,3150673,6759,3072125,6967,3007215,7644,64910,5683,49098,4865,15812,3043,78548,6458,17348,2159,61200,6099,23790,3744,37410,4718,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456992,2368,442334,2810,425091,3243,17243,2109,16648,2095,595,299,14658,2162,5718,959,8940,1849,5093,1171,3847,1292,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4924918,18488,4347135,16841,3757182,19049,589953,15703,524956,15007,64997,5225,577783,16472,103407,5281,474376,15090,181271,9306,293105,10608,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2170917,6123,2103717,5596,2048154,7501,55563,6305,44476,5636,11087,2047,67200,4911,16325,2405,50875,4975,18385,2856,32490,4103,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22332894,55355,17867257,52898,14310514,47924,3556743,38230,3011524,35608,545219,13871,4465637,48316,558419,13736,3907218,46284,1368383,22119,2538835,38336,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4159169,13978,3868000,13118,3586180,16196,281820,11599,235629,10566,46191,3634,291169,10104,55578,3318,235591,9488,100302,6040,135289,6268,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2652113,10962,2419946,12047,2200524,10630,219422,8755,176958,7678,42464,3396,232167,10430,51172,3768,180995,10372,86473,6093,94522,7243,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,604268,4577,575696,4445,550002,3918,25694,2929,20925,2365,4769,1394,28572,3631,7265,1567,21307,2932,9671,1550,11636,2692,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250163,4148,211955,4174,191385,4539,20570,2646,19139,2578,1431,583,38208,4461,11544,2284,26664,4135,18037,3153,8627,1716,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14186875,20923,11671160,34123,10076183,27850,1594977,27589,1304010,24164,290967,12599,2515715,28807,374962,13774,2140753,25063,858312,18009,1282441,21052,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5685017,16690,5273986,14035,5016300,14574,257686,10238,213789,10616,43897,4555,411031,14541,68295,5419,342736,13649,130559,8729,212177,10538,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,341135,4330,318662,4038,300973,4313,17689,2795,14342,2348,3347,1586,22473,2535,9920,1574,12553,2146,9555,1927,2998,965,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1374964,5229,1317226,5505,1252478,6150,64748,5551,55294,5294,9454,1807,57738,4811,11741,1838,45997,4606,18068,2822,27929,3708,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8840083,21478,7899828,24539,7195867,22746,703961,17984,602638,16972,101323,5828,940255,19003,114547,6515,825708,18021,329985,11771,495723,12252,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5204829,9149,5074204,8949,4907924,10188,166280,7665,132494,6687,33786,3325,130625,7207,27142,2624,103483,7060,44413,4780,59070,4866,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2657572,6194,2586483,5897,2519640,7556,66843,5627,54726,4991,12117,1956,71089,6390,13494,1877,57595,5904,24024,3126,33571,4478,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2315252,6323,2207754,6612,2113634,7094,94120,5003,80278,5191,13842,1987,107498,6915,16077,2409,91421,6539,37922,4390,53499,4351,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3628061,4012,3562087,5179,3499999,6229,62088,4275,48766,3752,13322,2130,65974,4879,15636,1927,50338,4735,23061,2661,27277,3942,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
