GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002EA,C27001I_002MA,C27001I_003MA,C27001I_003EA,C27001I_004EA,C27001I_004MA,C27001I_005EA,C27001I_005MA,C27001I_006EA,C27001I_006MA,C27001I_007EA,C27001I_007MA,C27001I_008EA,C27001I_008MA,C27001I_009MA,C27001I_009EA,C27001I_010MA,C27001I_010EA,state
0400000US01,187172,1538,70509,2130,63441,2882,7068,1968,110546,2830,48111,4379,62435,4792,6117,1334,5120,1221,997,559,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45281,776,16453,460,15227,726,1226,563,26732,1157,19047,1603,7685,1463,2096,700,1984,700,112,181,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1966668,2946,698981,224,593604,7920,105377,7930,1151892,2931,719113,14948,432779,15020,115795,970,112332,1417,3463,1099,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,200539,1645,82773,2055,75345,2945,7428,1895,112170,1967,56469,4062,55701,4080,5596,1258,5490,1248,106,199,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14560744,4132,4753124,885,4298384,14974,454740,15011,8937493,4169,5606011,37432,3331482,36757,870127,1958,825688,4243,44439,3734,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1087678,2069,386423,3145,335729,5017,50694,5123,639982,3406,416747,9491,223235,9024,61273,1218,59760,1423,1513,664,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,516968,1393,170131,150,159941,1963,10190,1996,321014,1310,226843,5853,94171,6087,25823,863,24399,1269,1424,858,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80043,355,29090,19,27705,648,1385,647,48305,418,32941,2490,15364,2489,2648,236,2648,236,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,64842,419,15717,25,15655,105,62,102,45739,415,39042,1838,6697,1800,3386,3,3386,3,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4575362,2917,1166603,953,998686,11630,167917,11685,2913730,3368,1672721,20488,1241009,20838,495029,2325,471201,4088,23828,3581,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
