GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001EA,C08105G_001MA,C08105G_002MA,C08105G_002EA,C08105G_003EA,C08105G_003MA,C08105G_004EA,C08105G_004MA,C08105G_005EA,C08105G_005MA,C08105G_006EA,C08105G_006MA,state
0400000US01,19860,2368,15911,2143,1675,696,0,192,1074,724,1200,920,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21131,2633,14550,2337,3370,1152,718,448,1870,561,623,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61870,5203,46508,4185,7927,1278,1443,532,3207,1006,2785,987,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17079,1943,13573,1713,1958,655,186,183,978,658,384,338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,563487,12586,402295,9366,63530,4392,35241,4072,32255,2738,30166,2863,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67448,4514,50148,3770,7671,1469,2557,891,3764,943,3308,920,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31368,3557,21082,2504,4791,1380,2475,967,2339,938,681,360,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6707,1775,5043,1459,1222,909,155,146,184,194,103,127,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9703,1829,2215,717,577,355,3696,1104,2755,866,460,260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,153796,8746,118439,7331,16932,2633,5037,1279,6483,1326,6905,1737,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,59554,4344,45117,4128,7509,1556,1213,479,2288,851,3427,1153,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,129687,6683,90760,5568,19412,2112,8295,1542,7208,1348,4012,906,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11404,2264,8421,1840,1120,532,251,239,921,739,691,380,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,92002,5294,60077,4200,9698,1616,11108,2068,7198,1434,3921,979,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,36394,3038,28222,2869,4565,1181,555,295,2331,763,721,573,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15417,2004,11215,1821,1557,533,269,193,1678,674,698,321,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,30208,2493,24824,2570,2101,552,251,261,1700,688,1332,594,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,24258,2349,17991,2317,3279,1230,456,424,1859,634,673,376,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22447,2715,16242,2305,4054,1356,60,78,1466,645,625,356,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8696,1374,6447,1313,1679,645,32,43,428,267,110,121,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,57119,4786,39500,4023,5921,1174,6429,1370,3209,932,2060,675,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,72633,4867,38341,3214,9548,1695,15085,2037,7947,1545,1712,660,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,74575,3826,56274,3209,9805,1422,2737,846,3502,998,2257,563,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42273,3382,30514,2945,4549,987,2963,926,2972,802,1275,476,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6437,1370,5177,1183,805,368,0,208,435,264,20,33,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,45015,4147,33839,3463,5492,1305,739,639,2478,1023,2467,851,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8379,1639,5823,1526,889,412,84,129,1099,607,484,325,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14645,2171,11091,1967,2012,579,248,248,940,508,354,279,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,37818,3536,28691,3104,4855,1116,1432,585,1908,676,932,542,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,8354,1622,5194,1408,1887,913,151,182,883,746,239,204,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,71404,5769,46225,4083,8659,1897,10099,2041,4613,1529,1808,605,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
