GEO_ID,B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,NAME,B07004G_001MA,B07004G_001EA,B07004G_002EA,B07004G_002MA,B07004G_003EA,B07004G_003MA,B07004G_004MA,B07004G_004EA,B07004G_005EA,B07004G_005MA,B07004G_006MA,B07004G_006EA,state
0400000US01,78074,6243,66467,5970,6552,1529,1921,772,2877,884,257,235,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,54759,4801,42109,4968,9242,1745,1566,744,1748,847,94,96,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,204694,11452,157278,9370,29658,4080,6845,2098,9792,2012,1121,658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63170,4602,52276,4548,5116,1317,3254,1145,2293,819,231,214,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1680596,28253,1367853,25540,204991,11731,64352,6595,31991,4687,11409,2312,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,185311,9827,135343,8076,27229,3900,10886,2233,10141,2495,1712,824,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,101636,7608,82345,6540,12088,2749,2380,1066,3577,1498,1246,903,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25217,4212,19134,3405,4302,1967,443,448,1293,749,45,80,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19685,3298,15445,3089,1584,578,0,203,1709,650,947,712,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,444184,17251,344889,14392,59452,6710,15179,2709,17692,4111,6972,2203,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,203374,11847,152735,9998,23837,4217,12141,2633,10805,2290,3856,2640,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,322241,11659,273851,10820,38707,6626,2212,876,6143,1638,1328,467,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38366,4203,29948,3900,4466,1538,1009,494,2750,1399,193,214,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,280915,10356,228098,9562,31976,3825,9397,2258,7757,1656,3687,1414,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,138506,6582,107996,6156,19453,3536,7036,1546,3352,904,669,481,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,50689,4464,39158,3988,6836,1989,2050,634,2410,1106,235,184,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,92627,5223,70208,4795,13453,2588,4416,1196,4172,1220,378,297,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,85728,6380,66744,5509,9596,2023,4716,1400,4055,1414,617,425,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
