C27004_013M,C27004_014E,C27004_014M,C27004_015E,C27004_015M,C27004_016E,C27004_016M,C27004_017E,C27004_017M,C27004_018E,C27004_018M,C27004_019E,C27004_019M,C27004_020E,C27004_020M,C27004_021E,C27004_021M,GEO_ID,C27004_001E,C27004_001M,C27004_002E,C27004_002M,C27004_003E,C27004_003M,C27004_004E,C27004_004M,C27004_005E,C27004_005M,C27004_006E,C27004_006M,C27004_007E,C27004_007M,C27004_008E,C27004_008M,C27004_009E,C27004_009M,C27004_010E,C27004_010M,C27004_011E,C27004_011M,C27004_012E,C27004_012M,C27004_013E,C27004_013MA,C27004_014MA,C27004_014EA,C27004_015MA,C27004_015EA,C27004_016EA,C27004_016MA,C27004_017MA,C27004_017EA,C27004_018MA,C27004_018EA,C27004_019MA,C27004_019EA,C27004_020MA,C27004_020EA,C27004_021EA,C27004_021MA,NAME,C27004_001MA,C27004_001EA,C27004_002EA,C27004_002MA,C27004_003MA,C27004_003EA,C27004_004EA,C27004_004MA,C27004_005EA,C27004_005MA,C27004_006EA,C27004_006MA,C27004_007MA,C27004_007EA,C27004_008EA,C27004_008MA,C27004_009EA,C27004_009MA,C27004_010EA,C27004_010MA,C27004_011EA,C27004_011MA,C27004_012EA,C27004_012MA,C27004_013EA,state
4391,252437,7513,292290,7954,1526743,3765,887972,12441,638771,12550,399243,1967,138081,3935,261162,3824,0400000US01,4755381,1814,2284668,5599,563117,4269,261573,7842,301544,7939,1418723,4731,828612,10089,590111,9759,302828,1900,119988,3481,182840,3729,2470713,5159,544727,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1717,41666,2838,49246,3075,222146,1283,133881,4087,88265,3893,32326,832,15728,1242,16598,1117,0400000US02,712248,1963,366864,2541,96973,1734,47955,2960,49018,2898,237630,1974,141321,4721,96309,4273,32261,848,17699,1486,14562,1438,345384,2157,90912,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1895,362018,9279,427617,9013,1980813,2354,1068874,13331,911939,13651,543716,1448,149307,4763,394409,4981,0400000US04,6521226,1734,3207062,2887,823870,1962,383719,8372,440151,8915,1920087,2842,1027372,11999,892715,12153,463105,1334,143246,4721,319859,4831,3314164,2699,789635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3571,134515,6021,205073,5801,897397,3109,491035,8096,406362,8498,242183,2000,57590,3195,184593,3640,0400000US05,2907014,1233,1427846,4941,369537,4011,145989,6338,223548,7093,862503,3593,460356,7522,402147,7202,195806,1562,53114,2696,142692,2945,1479168,4700,339588,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4214,2072437,21200,2400683,21530,12058604,4800,6565895,32195,5492709,31544,2621358,3316,793725,9938,1827633,10658,0400000US06,37831553,5167,18678471,8174,4684835,4538,2175908,21759,2508927,22960,11917914,6910,6472800,31134,5445114,30017,2075722,3272,728021,10163,1347701,10215,19153082,6595,4473120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3326,313701,7549,292390,7721,1651804,2894,985509,11033,666295,10466,344159,1664,104578,3803,239581,4123,0400000US08,5173272,2685,2571218,4738,633100,3639,327179,7881,305921,8807,1653136,3953,981838,11430,671298,12010,284982,1510,98549,3763,186433,4162,2602054,4073,606091,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1796,230148,6319,155221,6378,1142172,1698,757464,9603,384708,9434,295169,1346,112630,3788,182539,3799,0400000US09,3541409,1156,1718699,2659,398790,1891,240145,6272,158645,5987,1093523,1944,720117,10663,373406,10897,226386,1298,100177,3296,126209,3624,1822710,2714,385369,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
856,57899,3559,42353,3435,294419,998,191060,5157,103359,4824,79239,492,35126,1585,44113,1624,0400000US10,911502,1114,437592,1253,103087,830,57757,2818,45330,2955,270719,1081,179246,4981,91473,4981,63786,493,32523,1599,31263,1525,473910,1235,100252,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
476,26693,2574,28727,2607,239930,641,151167,3484,88763,3298,42171,552,23601,1483,18570,1407,0400000US11,635833,581,298312,741,55867,410,26702,2242,29165,2267,213223,658,134937,3294,78286,3246,29222,519,15622,1347,13600,1358,337521,821,55420,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
6147,791202,15836,1168658,16030,5983026,4806,3058555,22941,2924471,22921,1968296,3245,501619,9451,1466677,9515,0400000US12,19245127,3839,9333945,8603,2059975,6245,836393,17169,1223582,18932,5663869,6338,2746575,25965,2917294,26000,1610101,3180,479192,9042,1130909,8903,9911182,7269,1959860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
