GEO_ID,B05009_001E,B05009_001M,B05009_002E,B05009_002M,B05009_003E,B05009_003M,B05009_004E,B05009_004M,B05009_005E,B05009_005M,B05009_006E,B05009_006M,B05009_007E,B05009_007M,B05009_008E,B05009_008M,B05009_009E,B05009_009M,B05009_010E,B05009_010M,B05009_011E,B05009_011M,B05009_012E,B05009_012M,B05009_013E,B05009_013M,B05009_014E,B05009_014M,B05009_015E,B05009_015M,B05009_016E,B05009_016M,B05009_017E,B05009_017M,B05009_018E,B05009_018M,B05009_019E,B05009_019M,B05009_020E,B05009_020M,B05009_021E,B05009_021M,B05009_022E,B05009_022M,B05009_023E,B05009_023M,B05009_024E,B05009_024M,B05009_025E,B05009_025M,B05009_026E,B05009_026M,B05009_027E,B05009_027M,B05009_028E,B05009_028M,B05009_029E,B05009_029M,B05009_030E,B05009_030M,B05009_031E,B05009_031M,B05009_032E,B05009_032M,B05009_033E,B05009_033M,B05009_034E,B05009_034M,B05009_035E,B05009_035M,B05009_036E,B05009_036M,B05009_037E,B05009_037M,NAME,B05009_001MA,B05009_001EA,B05009_002MA,B05009_002EA,B05009_003EA,B05009_003MA,B05009_004MA,B05009_004EA,B05009_005MA,B05009_005EA,B05009_006MA,B05009_006EA,B05009_007EA,B05009_007MA,B05009_008EA,B05009_008MA,B05009_009EA,B05009_009MA,B05009_010MA,B05009_010EA,B05009_011EA,B05009_011MA,B05009_012EA,B05009_012MA,B05009_013MA,B05009_013EA,B05009_014EA,B05009_014MA,B05009_015MA,B05009_015EA,B05009_016MA,B05009_016EA,B05009_017EA,B05009_017MA,B05009_018MA,B05009_018EA,B05009_019EA,B05009_019MA,B05009_020EA,B05009_020MA,B05009_021MA,B05009_021EA,B05009_022EA,B05009_022MA,B05009_023EA,B05009_023MA,B05009_024MA,B05009_024EA,B05009_025EA,B05009_025MA,B05009_026MA,B05009_026EA,B05009_027MA,B05009_027EA,B05009_028MA,B05009_028EA,B05009_029MA,B05009_029EA,B05009_030EA,B05009_030MA,B05009_031EA,B05009_031MA,B05009_032MA,B05009_032EA,B05009_033EA,B05009_033MA,B05009_034EA,B05009_034MA,B05009_035EA,B05009_035MA,B05009_036EA,B05009_036MA,B05009_037EA,B05009_037MA,state
0400000US01,1035638,6328,335973,5597,187278,6066,186198,6059,1080,440,165810,5584,13701,2881,12906,2867,795,411,7767,1814,7767,1814,0,192,148641,6135,148557,6143,84,108,143148,6063,5493,1624,5493,1624,0,192,699665,6619,419806,10159,411780,9925,8026,1900,385136,8849,21470,3084,15499,2594,5971,1665,13200,2613,12664,2584,536,388,278690,9584,276935,9584,1755,928,268058,9472,10632,1643,9234,1533,1398,883,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,178926,1905,63300,1688,41682,2351,41644,2336,38,55,37717,2519,1609,711,1603,714,6,13,2356,713,2356,713,0,147,21618,2279,21551,2284,67,85,19155,2307,2463,1036,2441,1036,22,29,115626,2326,82792,3516,80960,3532,1832,846,71547,3437,5705,1755,4698,1558,1007,635,5540,1861,5337,1850,203,166,32809,3158,31808,3029,1001,729,28557,3052,4252,2012,3336,1480,916,721,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1525864,5468,500961,4998,309078,8516,304865,8594,4213,1381,214403,7709,55729,5201,52012,5147,3717,1352,38946,4056,38679,4018,267,286,191627,8244,189398,8160,2229,813,150997,6651,40630,4144,39120,4088,1510,707,1024903,6619,645687,13063,616656,12952,29031,3339,428398,11134,144530,9110,118792,8470,25738,3249,72759,6052,69995,5787,2764,904,378231,12193,362955,12204,15276,2675,288875,11869,89356,5944,75499,6190,13857,2405,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,665231,5056,226602,4551,135528,4457,133821,4556,1707,1036,113751,4877,13555,2377,12565,2326,990,612,8222,2110,7694,1908,528,758,91074,4321,90961,4320,113,137,86389,4170,4685,1364,4613,1385,72,111,438629,6010,276637,7328,270512,7084,6125,1338,238916,6657,25474,3146,21193,3039,4281,1145,12247,2307,11495,2116,752,494,161727,7631,160165,7511,1562,982,150609,6993,11118,2752,9989,2461,1129,647,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8744206,17423,2907836,14250,1857250,19508,1820819,19575,36431,3377,872015,16554,634715,12263,603398,12473,31317,3345,350520,11763,346918,11469,3602,1372,1045577,20731,1029593,20678,15984,2393,698163,18494,347414,11607,334244,11505,13170,2082,5836370,20225,3841198,31080,3568880,29979,272318,9181,1634018,23866,1605545,23151,1357393,21498,248152,9119,601635,16448,584340,16350,17295,2424,1984648,27827,1875732,27783,108916,6250,1210655,25991,773993,17318,670854,16874,103139,6202,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1191159,5504,392097,4792,280340,5998,277294,5982,3046,994,210699,5466,42701,4174,40318,4120,2383,795,26940,3402,26907,3405,33,55,111394,6215,110560,6147,834,592,91759,6207,19635,3430,18857,3362,778,588,799062,6599,550281,11377,525081,10725,25200,2815,411394,10764,89509,6343,69853,5825,19656,2777,49378,4839,46642,4526,2736,935,247342,10252,237820,10293,9522,2319,205311,9417,42031,4464,33863,4303,8168,2238,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,757910,3534,227393,3507,152064,4625,149759,4727,2305,965,102825,4716,28914,2827,26993,2703,1921,894,20325,2679,20239,2683,86,88,74651,3859,73643,3958,1008,558,61662,3626,12989,2162,11981,2056,1008,558,530517,4347,353975,8143,335487,7826,18488,2565,260558,7335,58975,4439,44714,3633,14261,2185,34442,3247,33047,3269,1395,750,175423,8363,168852,8297,6571,1643,145387,7925,30036,3390,24091,2983,5945,1632,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190832,2576,67080,2114,38806,2618,38446,2600,360,319,28641,2721,7639,1610,7279,1666,360,319,2526,1268,2526,1268,0,189,28274,2584,28239,2583,35,50,26009,2557,2265,849,2230,842,35,50,123752,3104,76418,4226,75260,4200,1158,531,62845,4028,9379,1820,8579,1691,800,468,4194,1151,4151,1139,43,70,47269,3886,46227,3812,1042,549,42402,3714,4867,1434,3878,1382,989,539,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,103260,1629,45897,1534,24382,2400,23518,2393,864,415,14037,2016,6750,1488,5886,1508,864,415,3595,1051,3595,1051,0,203,20881,2056,20590,1991,291,302,18159,1988,2722,1080,2431,1051,291,302,57363,1663,21515,2350,18602,1951,2913,1131,11822,1683,6254,1571,3906,1079,2348,1014,3439,1100,3065,1191,374,377,35655,2495,34484,2626,1171,674,30896,2464,4759,1231,3765,1157,994,651,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3810226,10857,1244079,9478,711811,13523,698092,13450,13719,2534,437697,12051,165624,8447,153354,8169,12270,2460,108490,7508,107613,7511,877,464,530402,14011,523844,14307,6558,1568,416791,13254,113611,6508,107384,6500,6227,1487,2566147,12303,1575218,22391,1470778,22328,104440,7334,975576,19799,395344,13898,303021,12693,92323,6702,204298,9822,195337,9703,8961,1817,986742,21223,926797,20991,59945,4656,733667,19817,253075,12171,196464,11434,56611,4632,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
