GEO_ID,B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,NAME,B11002G_001EA,B11002G_001MA,B11002G_002MA,B11002G_002EA,B11002G_003EA,B11002G_003MA,B11002G_004EA,B11002G_004MA,B11002G_005EA,B11002G_005MA,B11002G_006EA,B11002G_006MA,B11002G_007MA,B11002G_007EA,B11002G_008MA,B11002G_008EA,B11002G_009EA,B11002G_009MA,B11002G_010MA,B11002G_010EA,B11002G_011EA,B11002G_011MA,B11002G_012MA,B11002G_012EA,state
0400000US01,57170,6072,49997,6301,32714,5471,32120,5315,594,672,3699,1663,3678,1662,21,36,13584,3134,12785,2895,799,534,7173,1603,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34172,5316,27767,4973,18225,4385,18032,4343,193,219,3367,1529,2983,1450,384,284,6175,2126,5622,1889,553,442,6405,1838,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,135217,12182,112720,12220,74381,8499,71916,8068,2465,1543,13945,4336,11506,3310,2439,1611,24394,5290,22237,5012,2157,885,22497,3591,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43346,5019,35151,5045,25493,4640,25124,4598,369,418,2140,1199,1828,952,312,341,7518,2164,7168,2106,350,278,8195,1656,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1129370,31312,941630,29865,605728,24442,595837,24133,9891,1962,100990,10848,85708,8855,15282,3209,234912,15243,217556,14163,17356,2473,187740,9853,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,130004,11021,99730,9995,63931,8670,63355,8595,576,507,7372,2359,6561,2112,811,516,28427,5781,26777,5493,1650,791,30274,3896,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60584,6334,54000,6497,28823,4808,28586,4806,237,283,2586,1433,2259,1265,327,365,22591,4647,20831,4176,1760,806,6584,1360,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15880,4293,9052,3232,6605,2795,6571,2773,34,57,1023,915,970,888,53,87,1424,971,1203,823,221,259,6828,2451,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,316477,18778,259109,16646,161938,12899,159542,12689,2396,961,28042,6391,24277,5634,3765,1314,69129,8873,63713,8379,5416,1575,57368,6684,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
