GEO_ID,B22001_001E,B22001_001M,B22001_002E,B22001_002M,B22001_003E,B22001_003M,B22001_004E,B22001_004M,B22001_005E,B22001_005M,B22001_006E,B22001_006M,B22001_007E,B22001_007M,NAME,B22001_001MA,B22001_001EA,B22001_002EA,B22001_002MA,B22001_003EA,B22001_003MA,B22001_004EA,B22001_004MA,B22001_005EA,B22001_005MA,B22001_006EA,B22001_006MA,B22001_007EA,B22001_007MA,state
0400000US01,1822439,11200,283047,7581,73332,4480,209715,6506,1539392,11859,615754,6868,923638,10642,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,246015,2720,24098,1853,6101,830,17997,1595,221917,3164,65684,1973,156233,3597,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2400809,11557,323485,7641,79350,4026,244135,6998,2077324,11851,837766,6689,1239558,10890,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1125899,6925,172725,6435,42200,2969,130525,6192,953174,8189,384414,4988,568760,7864,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12650592,16944,1192254,17617,260106,8128,932148,17650,11458338,23729,4259480,18872,7198858,25495,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2002800,8550,172179,6718,40794,2780,131385,5886,1830621,9817,607484,5566,1223137,9679,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1339860,7005,165367,5592,53411,3387,111956,4404,1174493,7921,457169,5260,717324,7315,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,339071,3144,46663,3062,12189,1494,34474,2948,292408,3767,125236,2918,167172,4162,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,271651,3228,42612,2327,12955,1500,29657,1981,229039,3443,64084,2255,164955,3235,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7211584,26752,1089738,15353,373539,8272,716199,12746,6121846,26844,2754910,13994,3366936,23338,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3546965,15286,575317,10489,147378,5224,427939,10087,2971648,15364,1012865,9970,1958783,14046,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,450120,4406,51033,3610,20607,2051,30426,2797,399087,5094,171641,3246,227446,4510,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,588489,5467,76343,5069,15171,2023,61172,4421,512146,6084,196944,3823,315202,6269,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4783421,13914,645686,12230,172619,4777,473067,11525,4137735,17095,1514200,8394,2623535,15822,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2498395,10688,326546,9256,70371,3488,256175,8292,2171849,12084,809601,6978,1362248,11710,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
