GEO_ID,C08505G_001E,C08505G_001M,C08505G_002E,C08505G_002M,C08505G_003E,C08505G_003M,C08505G_004E,C08505G_004M,C08505G_005E,C08505G_005M,C08505G_006E,C08505G_006M,NAME,C08505G_001EA,C08505G_001MA,C08505G_002MA,C08505G_002EA,C08505G_003MA,C08505G_003EA,C08505G_004EA,C08505G_004MA,C08505G_005MA,C08505G_005EA,C08505G_006EA,C08505G_006MA,state
0400000US01,20192,2253,16211,2063,1651,711,0,192,1130,699,1200,920,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21553,2631,14721,2332,3370,1152,718,448,2121,562,623,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61865,5132,46574,4133,8018,1281,1377,520,3111,956,2785,987,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17657,1972,14214,1805,1952,669,220,193,887,639,384,338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,564251,12547,402548,9461,63850,4396,35275,4055,32412,2680,30166,2863,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66989,4412,49926,3712,7627,1458,2501,894,3627,925,3308,920,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30899,3509,21128,2492,4823,1402,1829,884,2438,958,681,360,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19554,2465,7128,1631,1467,509,7845,1301,2654,752,460,260,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,153082,8823,118111,7431,16694,2577,5037,1279,6335,1342,6905,1737,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,59299,4335,44550,4066,7350,1519,1213,479,2759,988,3427,1153,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,129379,6641,90698,5560,19382,2106,8187,1535,7100,1325,4012,906,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11725,2299,8742,1872,1120,532,251,239,921,739,691,380,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,92633,5654,60218,4367,9850,1699,11257,2078,7387,1490,3921,979,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,35632,3199,27795,2883,4426,1217,556,306,2134,746,721,573,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15842,2081,11558,1919,1576,541,254,183,1756,685,698,321,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29779,2457,24411,2514,2091,568,301,273,1644,681,1332,594,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25145,2527,19092,2483,3193,1171,497,432,1690,569,673,376,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22498,2736,16263,2332,4043,1356,60,78,1507,652,625,356,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8629,1406,6563,1350,1517,623,11,21,428,267,110,121,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,51647,4083,36275,3477,5417,1207,4694,1366,3201,965,2060,675,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,73557,4874,39062,3316,9787,1762,15097,2034,7899,1549,1712,660,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,74208,3742,56008,3146,9726,1401,2702,845,3515,1008,2257,563,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41766,3329,30040,2914,4526,976,2963,926,2962,809,1275,476,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,5966,1208,4670,1040,781,366,0,208,495,285,20,33,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,45122,4139,33978,3401,5535,1317,664,585,2478,1023,2467,851,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8137,1608,5619,1495,851,423,84,129,1099,607,484,325,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14708,2251,11152,2018,2001,578,248,248,953,503,354,279,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,37511,3530,28402,3095,4545,1057,1472,582,2160,823,932,542,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,8210,1395,5058,1255,1890,846,123,173,900,746,239,204,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,67721,5443,47016,3960,8368,1827,5732,1475,4797,1579,1808,605,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,22720,2971,17453,2596,1654,623,447,396,1640,822,1526,702,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,198931,9843,76348,5884,20549,3422,73238,5176,21112,2394,7684,1691,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,67893,4620,50742,4121,9484,1722,1767,720,3380,989,2520,922,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,6603,1367,4882,1366,1226,683,29,53,443,262,23,37,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,81350,4351,61821,3495,9256,1858,2083,632,5811,1747,2379,604,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,95255,4223,79674,3899,8712,1204,540,303,3423,744,2906,677,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,54143,3886,35438,3092,6494,1542,3616,1009,6008,1292,2587,789,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,70804,3892,46564,3418,9692,1571,5771,1241,6810,1398,1967,538,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7996,2061,6580,1928,367,317,220,200,771,331,58,75,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,25971,2809,17867,2776,3081,1156,669,375,2370,614,1984,887,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,7191,1450,5133,1168,1128,506,0,155,523,374,407,247,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,33932,3646,26256,3401,4921,1620,1156,1052,853,347,746,416,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,217800,9209,160410,7722,26875,2460,6638,1221,11160,1688,12717,2534,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,21789,2320,15701,1864,3016,976,681,312,1597,578,794,411,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3399,816,2288,653,485,260,117,187,422,344,87,92,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
