GEO_ID,B19326_001E,B19326_001M,B19326_002E,B19326_002M,B19326_003E,B19326_003M,B19326_004E,B19326_004M,B19326_005E,B19326_005M,B19326_006E,B19326_006M,B19326_007E,B19326_007M,NAME,B19326_001EA,B19326_001MA,B19326_002EA,B19326_002MA,B19326_003MA,B19326_003EA,B19326_004MA,B19326_004EA,B19326_005EA,B19326_005MA,B19326_006EA,B19326_006MA,B19326_007MA,B19326_007EA,state
0400000US01,22436,260,29432,585,45348,734,14802,305,17793,407,34317,970,11071,139,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31103,688,37308,1616,57445,3879,17295,901,25141,942,44974,1970,12450,601,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25434,212,30639,267,45920,519,17067,304,20784,280,37985,653,12237,138,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,21489,263,26560,449,41050,527,14425,326,17615,406,31641,396,11135,186,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26353,104,31520,117,50944,164,15823,128,21611,110,43907,681,12229,49,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30070,195,36377,384,51815,382,18067,529,23223,403,41516,350,12908,286,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31744,280,40616,528,62202,575,18576,598,25517,384,49497,1151,14856,307,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28900,957,35238,1128,51310,887,17748,1026,23126,960,42496,1586,13076,457,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40397,711,42960,3340,70283,3405,11513,636,36177,1883,62885,3085,12786,883,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23749,168,28264,361,41599,251,16688,181,20216,141,35524,225,12199,80,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24979,266,30675,235,45332,526,14533,242,20258,237,36389,330,11431,124,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30304,437,35985,780,50508,710,18948,885,24145,846,41096,632,13365,528,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23201,510,30349,432,41969,766,15893,515,17677,531,31926,721,11230,245,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,27805,273,35403,256,52213,270,17061,210,21956,156,41398,289,12449,112,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24954,264,31773,269,47349,392,16517,298,19372,262,35394,371,11775,116,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27308,265,35006,505,46921,456,17272,384,21535,209,36363,403,12351,181,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26540,264,32606,667,46623,601,16060,399,21207,318,36764,361,11776,207,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22472,245,29145,487,44793,914,14914,288,17864,325,34891,605,11048,141,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23601,387,31529,371,50237,470,14514,407,17987,418,32950,1087,10738,196,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24049,483,30249,568,45850,1125,16830,540,19632,472,36278,647,12140,244,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35315,271,41151,342,60487,464,17578,570,30286,303,51059,400,14403,308,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,31349,245,40130,520,61573,474,17040,348,25353,334,50588,370,13841,215,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,24696,205,31382,147,50531,287,17113,165,19534,240,38705,504,12109,105,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30478,204,37188,316,52006,270,18113,407,24060,336,41815,264,13274,228,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20727,304,25918,455,40664,517,12618,419,16515,340,31279,398,10425,242,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,24840,266,30749,214,45619,494,15732,271,20130,209,35831,363,11705,132,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23787,591,30749,545,45545,1245,16806,598,19516,664,32325,1017,11991,350,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
