GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001EA,B05003I_001MA,B05003I_002EA,B05003I_002MA,B05003I_003EA,B05003I_003MA,B05003I_004MA,B05003I_004EA,B05003I_005EA,B05003I_005MA,B05003I_006EA,B05003I_006MA,B05003I_007EA,B05003I_007MA,B05003I_008EA,B05003I_008MA,B05003I_009EA,B05003I_009MA,B05003I_010EA,B05003I_010MA,B05003I_011EA,B05003I_011MA,B05003I_012MA,B05003I_012EA,B05003I_013EA,B05003I_013MA,B05003I_014EA,B05003I_014MA,B05003I_015EA,B05003I_015MA,B05003I_016EA,B05003I_016MA,B05003I_017MA,B05003I_017EA,B05003I_018EA,B05003I_018MA,B05003I_019EA,B05003I_019MA,B05003I_020MA,B05003I_020EA,B05003I_021EA,B05003I_021MA,B05003I_022EA,B05003I_022MA,B05003I_023MA,B05003I_023EA,state
0400000US01,189934,1256,105909,3371,38194,2410,35887,2600,2307,1118,31,44,2276,1122,67715,2676,25736,2981,41979,3911,8281,2351,33698,3272,84025,3264,32424,2828,30109,2786,2315,933,151,314,2164,896,51601,1561,22658,2796,28943,2561,4538,1292,24405,2546,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48501,-555555555,26267,811,8805,661,8648,655,157,263,0,147,157,263,17462,653,13772,886,3690,769,2343,706,1347,539,22234,811,7680,640,7680,640,0,147,0,147,0,147,14554,477,11201,1160,3353,1070,1995,811,1358,650,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2005114,-555555555,1012031,1047,358891,1085,340557,2737,18334,2541,1673,779,16661,2416,653140,264,389403,8030,263737,8019,75732,5295,188005,7787,993083,1047,340717,1083,325286,2729,15431,2546,873,454,14558,2495,652366,263,382245,7311,270121,7311,86719,4100,183402,7187,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,203111,1538,107512,3119,43206,2716,39953,2850,3253,1118,345,300,2908,1054,64306,2258,23247,2829,41059,2160,10632,2015,30427,2544,95599,2882,39762,2137,36656,2165,3106,1059,591,490,2515,958,55837,1681,19435,2185,36402,2155,9130,1803,27272,2431,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14719327,-555555555,7441128,2266,2431690,1964,2305553,6544,126137,6060,13359,2278,112778,5712,5009438,981,2435631,19782,2573807,19907,819706,11000,1754101,22283,7278199,2266,2330505,2000,2207383,6241,123122,6099,12180,1976,110942,5714,4947694,850,2445210,19307,2502484,19174,925148,12655,1577336,19533,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1108425,-555555555,567459,2839,198056,2601,188140,3079,9916,1776,900,495,9016,1717,369403,2626,243022,4914,126381,5145,32222,2990,94159,4980,540966,2839,188879,2798,178113,3128,10766,1570,1387,715,9379,1520,352087,1846,238029,5138,114058,4557,32757,2638,81301,4358,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,527163,-555555555,263449,1126,86244,825,81314,1437,4930,1424,572,403,4358,1459,177205,681,104353,4473,72852,4386,16500,2001,56352,4406,263714,1125,84095,825,79866,1480,4229,1141,483,327,3746,1083,179619,679,115618,4059,64001,3943,22471,2722,41530,3934,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80944,-555555555,42029,661,14853,475,14294,524,559,375,61,103,498,359,27176,482,14194,1675,12982,1822,3141,855,9841,1755,38915,661,14244,474,13892,497,352,295,146,146,206,251,24671,482,15657,1650,9014,1513,2791,1011,6223,1249,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65560,-555555555,33408,370,7669,370,6797,577,872,507,308,262,564,445,25739,-555555555,9226,1307,16513,1307,5544,1087,10969,1504,32152,370,8077,370,6796,561,1281,574,921,518,360,238,24075,-555555555,10324,1519,13751,1518,4890,1053,8861,1535,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,4619316,-555555555,2289157,3526,600411,3249,538922,5696,61489,4795,12800,2495,48689,4253,1688746,1556,694149,12559,994597,12278,468037,11840,526560,14737,2330159,3528,567342,3140,511693,5266,55649,4344,10679,1863,44970,3628,1762817,1589,707324,11917,1055493,12137,573991,10291,481502,11174,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
