GEO_ID,B07409_001E,B07409_001M,B07409_002E,B07409_002M,B07409_003E,B07409_003M,B07409_004E,B07409_004M,B07409_005E,B07409_005M,B07409_006E,B07409_006M,B07409_007E,B07409_007M,B07409_008E,B07409_008M,B07409_009E,B07409_009M,B07409_010E,B07409_010M,B07409_011E,B07409_011M,B07409_012E,B07409_012M,B07409_013E,B07409_013M,B07409_014E,B07409_014M,B07409_015E,B07409_015M,B07409_016E,B07409_016M,B07409_017E,B07409_017M,B07409_018E,B07409_018M,B07409_019E,B07409_019M,B07409_020E,B07409_020M,B07409_021E,B07409_021M,B07409_022E,B07409_022M,B07409_023E,B07409_023M,B07409_024E,B07409_024M,B07409_025E,B07409_025M,B07409_026E,B07409_026M,B07409_027E,B07409_027M,B07409_028E,B07409_028M,B07409_029E,B07409_029M,B07409_030E,B07409_030M,NAME,B07409_001MA,B07409_001EA,B07409_002EA,B07409_002MA,B07409_003MA,B07409_003EA,B07409_004MA,B07409_004EA,B07409_005MA,B07409_005EA,B07409_006EA,B07409_006MA,B07409_007MA,B07409_007EA,B07409_008MA,B07409_008EA,B07409_009MA,B07409_009EA,B07409_010MA,B07409_010EA,B07409_011MA,B07409_011EA,B07409_012EA,B07409_012MA,B07409_013EA,B07409_013MA,B07409_014MA,B07409_014EA,B07409_015EA,B07409_015MA,B07409_016MA,B07409_016EA,B07409_017EA,B07409_017MA,B07409_018EA,B07409_018MA,B07409_019MA,B07409_019EA,B07409_020MA,B07409_020EA,B07409_021EA,B07409_021MA,B07409_022MA,B07409_022EA,B07409_023MA,B07409_023EA,B07409_024EA,B07409_024MA,B07409_025EA,B07409_025MA,B07409_026EA,B07409_026MA,B07409_027EA,B07409_027MA,B07409_028EA,B07409_028MA,B07409_029EA,B07409_029MA,B07409_030EA,B07409_030MA,state
0400000US01,3214508,7927,499356,11627,999753,14120,962882,13014,474863,11106,277654,8387,2826859,11150,430746,10872,885105,12921,845173,12204,416985,10500,248850,8091,242830,9466,44432,3939,75209,5715,75769,4430,32538,4133,14882,2234,87736,4900,16267,1962,25671,2766,26393,2913,13363,2089,6042,1403,57083,4276,7911,1775,13768,2310,15547,2121,11977,1927,7880,1567,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,497292,6284,43031,2944,141684,5262,176486,5520,88550,4939,47541,3251,386174,5172,31655,2246,109660,4656,136488,4278,70862,4431,37509,2765,43487,4351,3546,786,12751,2170,17663,2632,6421,1350,3106,653,10356,1759,1586,783,2625,676,3572,900,1777,538,796,454,57275,5644,6244,1870,16648,2315,18763,2753,9490,2166,6130,1682,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4274217,11135,604233,13152,1062222,14695,1442219,15754,727784,11367,437759,11347,3641409,18701,512257,12909,905976,15975,1222751,14379,619141,10623,381284,10404,451311,14543,69686,6092,114326,6698,157750,8615,75345,4525,34204,2821,69728,5497,10698,1716,18697,2407,26033,3124,9770,1618,4530,917,111769,6275,11592,2392,23223,2654,35685,3368,23528,2825,17741,2052,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1960514,7289,305533,8773,693789,11265,558403,11848,261864,8136,140925,5962,1723020,10919,267758,7924,612685,10322,486326,10749,231242,7793,125009,5509,138931,7860,22427,3050,46765,4051,43826,4187,17245,2348,8668,1750,54959,4927,8849,1696,20255,3022,16367,2313,6804,1489,2684,771,43604,4454,6499,1596,14084,2501,11884,1960,6573,1486,4564,1164,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24999642,18838,4582605,32006,5219717,38531,7497171,44112,4846368,29923,2853781,28158,21771642,35020,4052364,33266,4563384,33799,6490908,38642,4193906,30454,2471080,23834,2249843,32301,412351,13795,469613,12364,702022,18607,427251,11550,238606,9023,642301,14295,88901,4968,123176,6658,200987,9557,142486,7209,86751,4677,335856,11720,28989,3001,63544,5066,103254,6743,82725,5343,57344,4601,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3475616,10396,329426,8748,754721,12090,1082115,13636,825292,11644,484062,10102,2926280,15038,277595,8257,639768,11720,908327,13614,683529,12046,417061,9554,294468,12818,29251,3572,66239,5323,94999,6840,71431,5374,32548,3286,153100,7594,15071,2012,30389,3071,49017,4260,41103,3819,17520,2095,101768,6515,7509,1927,18325,2316,29772,3153,29229,2662,16933,2295,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2448819,6800,253291,9210,668617,11575,617856,11234,504190,11515,404865,9698,2194285,9934,223837,8704,602775,11236,552590,11007,449885,10373,365198,9494,162790,7853,22807,2701,45965,3679,42531,3768,32171,2997,19316,2607,41396,3587,3774,1100,11840,2031,10450,1913,8779,1644,6553,1294,50348,4949,2873,1045,8037,1677,12285,2246,13355,2491,13798,1984,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,619273,4329,71108,4125,194875,5350,169548,6026,105652,5207,78090,3536,559079,5425,61765,3925,177085,5292,154332,6208,96255,4935,69642,3226,40459,3752,6927,1561,12347,2043,10647,1860,6249,1589,4289,1092,5361,1231,1213,429,1976,716,1179,446,437,309,556,491,14374,2454,1203,608,3467,1492,3390,857,2711,704,3603,1204,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,458752,4270,46781,3714,86394,3717,76723,3521,104777,5972,144077,5204,376292,3966,39630,3374,74295,3745,63824,3449,81645,5260,116898,4910,43351,3722,3962,974,7346,1431,7502,1413,10405,1779,14136,2136,0,203,0,203,0,203,0,203,0,203,0,203,39109,3288,3189,1166,4753,962,5397,1089,12727,1902,13043,1918,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13522696,19919,1779687,22979,3990773,32693,4086405,30051,2370795,26362,1295036,19741,11748144,36563,1516159,19572,3489811,31238,3536213,31968,2067303,23942,1138658,19959,1139050,24974,177832,9501,332446,13176,356946,13535,182621,8361,89205,5523,362879,14682,57373,5862,102969,7204,110359,7613,60674,5218,31504,3786,272623,11518,28323,3834,65547,5519,82887,5354,60197,4592,35669,3483,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
