GEO_ID,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,NAME,B15002_001MA,B15002_001EA,B15002_002MA,B15002_002EA,B15002_003EA,B15002_003MA,B15002_004EA,B15002_004MA,B15002_005MA,B15002_005EA,B15002_006MA,B15002_006EA,B15002_007MA,B15002_007EA,B15002_008MA,B15002_008EA,B15002_009MA,B15002_009EA,B15002_010EA,B15002_010MA,B15002_011EA,B15002_011MA,B15002_012MA,B15002_012EA,B15002_013EA,B15002_013MA,B15002_014MA,B15002_014EA,B15002_015MA,B15002_015EA,B15002_016EA,B15002_016MA,B15002_017MA,B15002_017EA,B15002_018MA,B15002_018EA,B15002_019MA,B15002_019EA,B15002_020MA,B15002_020EA,B15002_021MA,B15002_021EA,B15002_022MA,B15002_022EA,B15002_023EA,B15002_023MA,B15002_024EA,B15002_024MA,B15002_025MA,B15002_025EA,B15002_026EA,B15002_026MA,B15002_027EA,B15002_027MA,B15002_028EA,B15002_028MA,B15002_029EA,B15002_029MA,B15002_030EA,B15002_030MA,B15002_031EA,B15002_031MA,B15002_032EA,B15002_032MA,B15002_033EA,B15002_033MA,B15002_034EA,B15002_034MA,B15002_035EA,B15002_035MA,state
0400000US30,689169,2550,341765,1766,2175,697,508,281,739,316,4200,759,3733,891,5396,987,6001,1073,4629,873,104239,3553,24106,2094,63831,3615,26863,2383,63290,3440,20855,1786,6682,1018,4518,1018,347404,1706,2030,646,357,260,386,320,4717,1022,2798,749,4128,865,5421,1037,3263,711,96064,3513,26938,2520,65435,3301,31424,2087,72228,2980,23646,2168,5380,924,3189,817,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1215208,2731,594933,2306,6276,1294,4196,1296,8279,1542,9738,1329,8301,1303,7250,1325,10128,1447,8788,1327,167458,4678,42737,2675,93609,3826,56612,3327,114216,4032,34293,2295,14254,1506,8798,1331,620275,1745,5706,1094,3926,1012,6398,1359,8449,1149,7517,1433,8278,1219,9377,1438,5906,1058,162137,4250,49968,2702,104669,3773,62713,3121,123944,4033,47121,2852,8491,1031,5675,928,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1872884,2496,933483,1748,13361,1820,5817,1148,23878,2981,13833,2190,16028,2091,16527,2636,23690,2731,26339,2459,266218,8178,64360,3194,179861,7770,69931,4618,141764,5840,45642,3341,17736,2242,8498,1302,939401,1770,13443,1702,8350,1352,20829,2087,13427,1884,16870,2428,18346,2246,23065,2566,24155,2144,266234,7850,72486,3362,171151,6343,82585,5053,140519,5760,51695,2876,10065,1462,6181,946,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,924568,2334,451069,2296,3046,865,394,259,2408,1070,7437,1366,4708,1126,5447,1291,6826,1237,6170,971,137770,5151,26984,2694,60118,3819,35611,2874,98515,3736,38407,2798,8736,1198,8492,1349,473499,1606,3202,857,848,473,1923,670,7223,1297,2560,658,5076,1071,4648,912,4972,927,133056,5382,30198,2455,62343,3736,52155,3189,103980,4182,49548,3049,6777,1431,4990,965,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6086705,2295,2899979,1909,37361,2829,23276,2691,48307,4017,50201,3932,37922,2987,43931,3568,51299,4218,49438,2942,830902,13719,138208,6437,348607,10173,163146,6706,659671,9713,280280,7703,84024,3825,53406,2891,3186726,1767,41215,2656,28853,3096,46023,3917,56784,3939,31330,2726,46950,3337,51186,3325,54989,3336,920434,11606,166078,5607,366636,9758,227760,7580,714945,11120,334970,9085,62026,3201,36547,2785,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1361846,3028,663844,2638,10624,1561,8928,1457,16943,2104,12186,1751,12490,2079,15056,2207,19464,2642,10303,1827,191755,5825,35383,3072,116682,5335,43263,3087,94375,4793,48929,2850,11245,1688,16218,1688,698002,1971,11797,1743,7956,1306,16146,1824,16112,2093,11397,1877,14278,2028,19558,2372,11208,1677,169798,5613,42538,2968,126065,5010,62548,3583,109851,5499,61722,3192,9543,1308,7485,1003,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,13419310,4258,6359595,4054,123824,5780,56933,5330,124944,6894,125598,6772,105547,5418,119699,6126,137691,5797,152777,6112,1734066,17838,294819,8330,767354,13304,488762,9348,1245430,15114,575066,11317,197830,6901,109255,5357,7059715,2954,144446,5943,70503,5037,130312,6276,131252,5686,98370,5736,124365,5684,140485,6835,146885,4883,1860646,18103,305870,8126,791761,14252,668523,13821,1344461,16274,860273,13523,154909,5981,86654,4405,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6568110,7131,3110101,6030,48874,3432,25557,2845,46042,3576,73468,5245,81901,5489,89045,4891,82080,5125,51691,3361,854708,11997,189849,7429,466883,11981,231495,7217,560029,12675,199681,6533,57667,3437,51131,3515,3458009,5097,40819,3407,17328,2260,40689,4025,64861,4955,66151,4727,86052,4381,81680,4867,42365,2921,888887,14588,233159,6581,556307,11546,343230,8036,651455,10774,268589,6804,41005,3480,35432,2682,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,467815,2339,235936,1947,2308,700,771,395,511,227,6273,881,1340,381,3156,646,4028,852,2966,731,70154,3076,14619,1753,38291,3065,31857,2401,43320,2806,10255,1504,3616,757,2471,642,231879,1536,1321,425,783,436,1044,453,5994,839,1606,619,1920,390,3814,874,1948,471,58385,2835,14232,1571,40968,2409,32588,2151,50150,2708,13710,1443,1632,527,1784,620,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7805254,4865,3736509,4521,37398,3006,9691,2235,14187,2012,62636,3509,55979,4335,87569,3986,95076,4970,67963,3620,1302467,15680,250483,5715,513048,11172,257962,8015,613646,11234,241889,5932,76895,3637,49620,2737,4068745,3969,35686,2997,8033,1486,14635,1799,65832,3835,47529,2892,89148,4370,102493,5201,62734,3448,1366359,17454,277926,7273,558183,11537,381671,8093,666032,11365,310450,8111,49229,2953,32805,2414,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
