GEO_ID,B12503_001E,B12503_001M,B12503_002E,B12503_002M,B12503_003E,B12503_003M,B12503_004E,B12503_004M,B12503_005E,B12503_005M,B12503_006E,B12503_006M,B12503_007E,B12503_007M,B12503_008E,B12503_008M,B12503_009E,B12503_009M,B12503_010E,B12503_010M,B12503_011E,B12503_011M,NAME,B12503_001MA,B12503_001EA,B12503_002EA,B12503_002MA,B12503_003EA,B12503_003MA,B12503_004MA,B12503_004EA,B12503_005EA,B12503_005MA,B12503_006EA,B12503_006MA,B12503_007MA,B12503_007EA,B12503_008EA,B12503_008MA,B12503_009EA,B12503_009MA,B12503_010MA,B12503_010EA,B12503_011EA,B12503_011MA,state
0400000US01,3910998,3826,1870698,4613,624137,9820,1246561,9266,23479,2841,1223082,9699,2040300,3552,560067,8673,1480233,8311,24495,2866,1455738,8509,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,576379,1408,304721,1723,119349,4154,185372,4292,2601,847,182771,4335,271658,1627,82025,3144,189633,2979,2551,801,187082,2896,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5281089,1395,2609804,1840,952891,10839,1656913,10621,22794,2644,1634119,10719,2671285,1773,788288,9927,1882997,9707,24471,2704,1858526,10385,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2363879,3205,1151058,3436,357959,7844,793099,7560,14087,1938,779012,8430,1212821,3585,298052,7092,914769,6872,15805,2047,898964,6973,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30732852,3548,15182718,4293,6144649,26080,9038069,24815,109549,5603,8928520,25763,15550134,4157,5158797,23383,10391337,24079,127033,5832,10264304,24927,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4224677,3383,2110584,2715,744052,10278,1366532,10191,24563,2824,1341969,10471,2114093,3401,582322,8282,1531771,8576,22167,2519,1509604,9016,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2955331,1273,1426766,2000,533616,7587,893150,7661,10184,1802,882966,7788,1528565,1350,472375,7475,1056190,7455,10622,1728,1045568,7320,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,754812,623,361111,1047,130211,3699,230900,3728,2876,822,228024,3862,393701,1004,122516,3652,271185,3795,2372,841,268813,3778,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,550110,307,257524,580,145319,3821,112205,3696,2712,797,109493,3634,292586,512,162736,3530,129850,3637,2456,681,127394,3697,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16226496,3939,7863088,4676,2762490,19078,5100598,19043,69845,5426,5030753,19832,8363408,4668,2335383,21626,6028025,22132,83683,5667,5944342,22561,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
