GEO_ID,C15002H_001E,C15002H_001M,C15002H_002E,C15002H_002M,C15002H_003E,C15002H_003M,C15002H_004E,C15002H_004M,C15002H_005E,C15002H_005M,C15002H_006E,C15002H_006M,C15002H_007E,C15002H_007M,C15002H_008E,C15002H_008M,C15002H_009E,C15002H_009M,C15002H_010E,C15002H_010M,C15002H_011E,C15002H_011M,NAME,C15002H_001EA,C15002H_001MA,C15002H_002MA,C15002H_002EA,C15002H_003EA,C15002H_003MA,C15002H_004EA,C15002H_004MA,C15002H_005EA,C15002H_005MA,C15002H_006EA,C15002H_006MA,C15002H_007EA,C15002H_007MA,C15002H_008EA,C15002H_008MA,C15002H_009MA,C15002H_009EA,C15002H_010MA,C15002H_010EA,C15002H_011EA,C15002H_011MA,state
0400000US01,2261274,2303,1085787,1533,146628,5995,332623,7286,318520,6361,288016,6433,1175487,1440,151385,5854,360556,8583,367145,7128,296401,7294,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,317755,390,168848,358,8522,1176,48289,2790,60590,2670,51447,2883,148907,182,6125,1124,31646,2372,56049,2750,55087,2616,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2790891,1625,1360903,1010,85065,4808,311322,8750,487306,8743,477210,8855,1429988,906,80112,4391,353332,7970,532080,8257,464464,8222,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1526124,1685,735430,1354,97467,4158,276565,6612,197538,5559,163860,5142,790694,1146,100994,5120,268069,5589,245137,7234,176494,6182,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11221820,4368,5531406,2835,334676,9312,1049305,17600,1830112,17102,2317313,17631,5690414,2433,316036,8802,1119582,16229,2026021,17681,2228775,17071,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2614677,2679,1289218,2095,59501,4135,255562,7436,402700,9443,571455,7947,1325459,1699,53201,3162,267109,6234,429801,7225,575348,7700,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1825161,1319,870195,660,58432,3559,239275,6493,208098,6260,364390,7958,954966,832,61508,4182,253719,5510,246061,6659,393678,7500,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434756,1080,206740,980,19577,2224,67048,2843,53683,2802,66432,2852,228016,280,18041,1893,75756,3305,63455,3123,70764,2991,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,176850,354,89303,223,295,254,1924,652,6000,1440,81084,1495,87547,170,540,303,1628,656,6155,1248,79224,1510,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8383272,4074,4050482,2359,362988,9038,1149245,18641,1223082,15671,1315167,17368,4332790,2560,346577,8155,1316445,15820,1429926,15041,1239842,15920,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3825705,4902,1848594,2679,207382,8145,533026,9909,503318,10558,604868,9022,1977111,3079,203344,6473,563574,9602,586305,9914,623888,8770,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,247699,480,135354,419,4492,1024,25918,2356,45733,2990,59211,2925,112345,205,3562,791,21375,1836,38802,2705,48606,2483,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
