GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001EA,B09002_001MA,B09002_002EA,B09002_002MA,B09002_003EA,B09002_003MA,B09002_004EA,B09002_004MA,B09002_005EA,B09002_005MA,B09002_006MA,B09002_006EA,B09002_007EA,B09002_007MA,B09002_008EA,B09002_008MA,B09002_009EA,B09002_009MA,B09002_010EA,B09002_010MA,B09002_011MA,B09002_011EA,B09002_012EA,B09002_012MA,B09002_013MA,B09002_013EA,B09002_014MA,B09002_014EA,B09002_015MA,B09002_015EA,B09002_016MA,B09002_016EA,B09002_017MA,B09002_017EA,B09002_018EA,B09002_018MA,B09002_019EA,B09002_019MA,B09002_020EA,B09002_020MA,state
0400000US01,944355,9062,594679,11894,84679,4424,63201,3840,33496,2852,197771,7218,215532,7397,349676,12095,59319,6896,8408,1721,5878,1491,2300,887,20187,3762,22546,3218,290357,11402,39300,3481,33947,3538,16500,2657,97154,5353,103456,6499,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,164217,3168,122018,3922,20593,1737,13720,1470,6039,1049,40861,2844,40805,2634,42199,4026,14802,2477,2926,970,2377,961,1687,705,3613,975,4199,1033,27397,3002,3862,896,2620,754,1662,649,9085,1713,10168,1384,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1401491,9234,935655,18110,140660,6013,107140,4985,51938,3807,321932,7613,313985,10569,465836,16513,115010,8901,21447,2779,12431,1954,5969,1402,39373,4306,35790,3907,350826,14638,43505,3841,34664,3061,19876,2447,119359,6497,133422,7589,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,615954,7404,407204,8191,62357,3940,45716,3149,24475,2776,135513,5859,139143,5295,208750,8533,47017,5113,8578,1859,4489,1246,4742,1564,14812,2416,14396,2567,161733,7136,22885,2676,17435,2317,11412,1989,56167,4643,53834,4560,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7886443,26326,5523301,39306,846492,14309,619352,13085,303662,8019,1876832,20415,1876963,21217,2363142,33976,626672,21579,104745,6428,75680,5763,32989,3237,209440,10262,203818,9422,1736470,28574,220037,8830,177924,9216,97282,5707,588258,13432,652969,16042,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1120756,8143,817299,13623,134485,4909,91209,4373,47567,3639,280914,7851,263124,7096,303457,11690,75071,6834,11062,1882,8290,2150,4759,1485,24509,3255,26451,3151,228386,10478,28331,3237,21452,2637,11717,2118,81629,4756,85257,5573,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,712082,5323,499581,9698,70475,3982,52085,3396,26806,2358,174436,5673,175779,6131,212501,9462,38306,4505,4965,1346,3819,1213,1985,766,11563,2013,15974,2330,174195,8453,19779,2639,17949,2256,9656,1638,60848,4103,65963,5387,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173859,3921,112809,5338,18358,1992,12310,1629,7003,1586,36556,2617,38582,3062,61050,4463,14004,3119,2367,838,2450,1140,608,351,4884,1497,3695,1187,47046,3578,7318,1286,4392,1232,3495,1151,15773,2369,16068,2098,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,93250,2485,46397,3542,14676,1862,7502,1327,2735,938,12777,1489,8707,1529,46853,3904,8046,1945,1729,1042,1476,640,272,230,2714,1201,1855,865,38807,3575,6551,1445,3230,1059,2545,848,14578,1734,11903,1667,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3486360,15341,2245071,27050,327806,9380,242425,7800,120367,6590,764609,17050,789864,14116,1241289,25892,258693,12282,51549,5110,29488,3850,14754,2414,79547,6504,83355,6407,982596,25820,132916,7270,106020,7905,56767,5125,330208,13615,356685,11256,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
