GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002MA,B05003_002EA,B05003_003MA,B05003_003EA,B05003_004EA,B05003_004MA,B05003_005EA,B05003_005MA,B05003_006EA,B05003_006MA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009MA,B05003_009EA,B05003_010EA,B05003_010MA,B05003_011EA,B05003_011MA,B05003_012MA,B05003_012EA,B05003_013EA,B05003_013MA,B05003_014MA,B05003_014EA,B05003_015MA,B05003_015EA,B05003_016EA,B05003_016MA,B05003_017MA,B05003_017EA,B05003_018MA,B05003_018EA,B05003_019EA,B05003_019MA,B05003_020MA,B05003_020EA,B05003_021EA,B05003_021MA,B05003_022EA,B05003_022MA,B05003_023MA,B05003_023EA,state
0400000US46,844877,-555555555,424160,1916,107050,1524,105267,1526,1783,778,237,217,1546,736,317110,1615,306897,2261,10213,1507,3743,974,6470,1425,420717,1916,101431,1625,99426,1724,2005,737,247,201,1758,678,319286,1498,308828,1671,10458,1609,3808,1070,6650,1230,South Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6495978,-555555555,3174148,4739,766658,4673,753206,5205,13452,2295,4414,1200,9038,1876,2407490,3385,2258877,6501,148613,5916,51416,3849,97197,5190,3321830,4739,725423,4405,712294,4668,13129,2131,4044,962,9085,1739,2596407,2867,2466800,5176,129607,4317,54488,3904,75119,3377,Tennessee,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26448193,-555555555,13145494,8622,3603577,7882,3450259,11893,153318,8149,20282,2471,133036,7826,9541917,5540,7483824,18621,2058093,18919,686526,13227,1371567,21159,13302699,8622,3437341,7849,3288637,10591,148704,8125,24973,3367,123731,7633,9865358,4351,7856202,22501,2009156,21862,759277,14581,1249879,18710,Texas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2900872,-555555555,1458758,2380,461651,2117,450635,2829,11016,2172,2085,798,8931,2007,997107,1787,892150,5563,104957,5410,38067,2957,66890,4859,1442114,2380,435180,2086,425719,2980,9461,1905,2059,743,7402,1763,1006934,1563,895414,4736,111520,4672,45834,3684,65686,3908,Utah,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,626630,-555555555,308672,1386,63838,1065,62423,981,1415,604,640,425,775,524,244834,1112,233589,1809,11245,1468,5940,1136,5305,1069,317958,1386,60292,1118,58850,1155,1442,485,931,420,511,327,257666,932,244756,1617,12910,1473,8393,1280,4517,1001,Vermont,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8260405,-555555555,4060533,5474,949986,4636,921303,5187,28683,3185,8176,1417,20507,2821,3110547,3791,2682727,9034,427820,8630,213008,6586,214812,8960,4199872,5474,914345,4516,882903,5151,31442,3282,9535,1648,21907,2909,3285527,3279,2824509,8020,461018,8295,246517,6665,214501,7311,Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6971406,-555555555,3475830,3303,811719,3161,780884,4911,30835,3600,7215,1611,23620,3451,2664111,2157,2240764,8657,423347,8865,187530,5794,235817,7918,3495576,3303,784465,3150,750906,4770,33559,3592,9684,2081,23875,3263,2711111,2006,2255188,9574,455923,9183,232405,8327,223518,6863,Washington,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1854304,-555555555,916834,2422,197011,2177,195270,2077,1741,728,240,253,1501,678,719823,1832,709001,2099,10822,1518,5526,1191,5296,1005,937470,2422,185246,1995,183719,1985,1527,565,576,414,951,459,752224,1514,739993,1580,12231,1354,7001,1115,5230,1149,West Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5742713,-555555555,2855502,3237,670201,2831,656762,3142,13439,2448,3550,777,9889,2192,2185301,2732,2057473,4047,127828,3992,52893,2884,74935,3924,2887211,3237,635721,2550,622690,3303,13031,1770,6127,1252,6904,1434,2251490,2055,2131101,4579,120389,4360,57150,2947,63239,3898,Wisconsin,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,582658,-555555555,297497,2320,72991,1790,72182,1717,809,445,329,286,480,302,224506,1826,217044,1789,7462,1305,1659,580,5803,1173,285161,2320,66784,1636,66110,1686,674,467,580,440,94,121,218377,1523,209293,1688,9084,1354,4515,1115,4569,1061,Wyoming,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3615086,-555555555,1729120,3404,419137,3404,416949,3565,2188,813,370,276,1818,749,1309983,-555555555,1269967,3280,40016,3280,18097,2675,21919,2275,1885966,3404,394937,3402,393076,3546,1861,629,267,258,1594,655,1491029,-555555555,1441066,3695,49963,3694,22453,2437,27510,2748,Puerto Rico,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,72
