GEO_ID,B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,NAME,B11001G_001EA,B11001G_001MA,B11001G_002MA,B11001G_002EA,B11001G_003EA,B11001G_003MA,B11001G_004MA,B11001G_004EA,B11001G_005MA,B11001G_005EA,B11001G_006MA,B11001G_006EA,B11001G_007EA,B11001G_007MA,B11001G_008EA,B11001G_008MA,B11001G_009EA,B11001G_009MA,state
0400000US01,19336,2118,13462,1806,9103,1600,4359,811,1124,444,3235,705,5874,1210,5209,1177,665,395,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12241,1915,7709,1434,4654,967,3055,1016,1097,646,1958,752,4532,1231,2573,812,1959,949,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,45794,3828,30444,3391,19575,2379,10869,1941,4166,1190,6703,1353,15350,2018,11232,1735,4118,1113,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16229,1655,9907,1400,6976,1211,2931,705,683,364,2248,630,6322,1101,4823,976,1499,637,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,378503,9584,251125,7827,159428,6379,91697,4979,27060,2760,64637,3746,127378,5648,90539,5281,36839,2763,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49603,3260,28089,2556,17921,2310,10168,1680,2349,737,7819,1486,21514,2470,15618,2139,5896,1228,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20117,1952,14376,1755,7893,1264,6483,1271,750,434,5733,1237,5741,1233,4994,1156,747,338,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5496,1336,3875,1137,1940,747,1935,893,508,519,1427,662,1621,643,1262,634,359,238,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7451,1542,2873,903,1976,774,897,511,397,347,500,342,4578,1296,3196,999,1382,759,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,107543,5789,68239,4209,44717,3202,23522,2572,6303,1358,17219,2214,39304,3672,29214,3059,10090,2143,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
