GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001MA,C15002G_001EA,C15002G_002MA,C15002G_002EA,C15002G_003MA,C15002G_003EA,C15002G_004MA,C15002G_004EA,C15002G_005EA,C15002G_005MA,C15002G_006EA,C15002G_006MA,C15002G_007MA,C15002G_007EA,C15002G_008EA,C15002G_008MA,C15002G_009EA,C15002G_009MA,C15002G_010EA,C15002G_010MA,C15002G_011EA,C15002G_011MA,state
0400000US01,33239,3088,15546,1836,1842,662,4211,1031,5609,1228,3884,1197,17693,1996,2571,828,3687,882,6905,1182,4530,1093,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21303,2358,10583,1707,782,453,4157,1093,3896,962,1748,613,10720,1473,569,258,1964,719,5472,1092,2715,850,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,82151,5516,40387,3555,5434,1186,9443,1517,14693,2193,10817,1707,41764,3238,5788,1131,7480,1333,16061,2142,12435,1998,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26414,2643,13100,1771,1895,765,4112,1024,4119,1034,2974,971,13314,1797,1561,501,4426,1112,4206,1040,3121,1053,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,741640,16380,363798,10002,51155,4327,76116,4684,123669,5248,112858,5566,377842,10227,50902,3796,69367,4000,138429,5624,119144,6034,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,81300,4894,39567,3068,3889,1043,8135,1818,14664,1723,12879,1494,41733,3317,3407,835,9104,1526,17940,2381,11282,1478,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,38830,3953,18370,2734,3441,977,4952,1493,5029,1057,4948,1113,20460,2260,3419,1003,4867,1155,5889,1343,6285,1216,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7507,1717,3316,1097,440,268,774,475,1511,757,591,330,4191,1013,551,348,1135,500,1690,566,815,385,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11807,2178,5193,1299,228,248,643,543,491,337,3831,1191,6614,1330,312,242,679,426,1163,506,4460,1081,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,201362,10154,99727,6485,15037,2518,25415,3508,33408,3136,25867,2735,101635,6181,12010,1640,21018,3153,39176,3753,29431,3324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,74923,5314,35718,3277,4097,1284,7878,1545,11857,2022,11886,2046,39205,3313,4282,1027,6098,1309,13275,1967,15550,2319,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,162594,6993,78345,4238,6498,1378,32202,2907,26203,2464,13442,1529,84249,4024,5010,1110,28906,2775,30854,2747,19479,2132,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15553,2166,7405,1303,1418,539,1945,683,2594,774,1448,570,8148,1483,1639,796,1441,555,3602,1006,1466,596,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,107772,5323,51411,3596,7712,1530,11188,1578,15054,1788,17457,1822,56361,3682,7550,1428,10380,1374,18964,1824,19467,2438,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,48090,3847,22089,2480,3995,1001,6100,1220,8154,1504,3840,1055,26001,2273,2923,690,6319,1049,11107,1681,5652,1256,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15752,2031,8331,1480,764,451,3050,813,2918,852,1599,573,7421,1447,1382,546,1752,671,2982,955,1305,511,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,36283,2936,17973,2107,1984,617,5239,1285,6456,1268,4294,919,18310,1718,1587,548,5548,1207,5648,1142,5527,1145,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,33046,2930,15202,1928,2098,692,4799,1295,5643,1265,2662,657,17844,2084,1789,612,4513,1224,6633,1175,4909,1135,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,32064,2988,15614,2140,3159,985,4731,1135,3922,1014,3802,940,16450,1885,3350,991,3932,1029,6108,1139,3060,744,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12277,1297,5286,976,588,316,2257,752,1593,536,848,299,6991,1055,521,311,2204,666,2626,627,1640,636,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,67588,5753,31592,3170,3836,1087,6808,1356,10760,1899,10188,1562,35996,3789,3570,1149,6916,1357,11656,1932,13854,2259,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,88148,5200,44622,3745,10810,2120,12559,1634,10296,1955,10957,1672,43526,3087,10256,1743,9684,1748,11355,1828,12231,1878,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,96551,3973,44317,2735,6684,1375,11895,1618,15508,1656,10230,1457,52234,2829,5813,951,13771,1586,19575,1887,13075,1410,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,48828,3319,23856,2013,3947,976,5680,1129,8432,1329,5797,952,24972,2477,2753,919,4704,1061,9060,1625,8455,1369,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,12555,2129,6136,1333,897,514,1606,593,2254,815,1379,627,6419,1323,985,422,1527,681,2317,687,1590,568,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,57739,4637,28984,2808,4940,1074,8408,1603,9381,1657,6255,1201,28755,2702,3623,956,6400,1014,11656,1553,7076,1241,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11093,1564,5104,928,301,219,1740,602,2284,690,779,372,5989,1168,332,260,1256,521,2779,712,1622,852,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14338,2128,5825,1395,1175,491,1745,587,2153,787,752,407,8513,1407,1476,622,1253,533,3818,918,1966,607,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,45866,3410,22950,2552,3019,872,6635,1240,7772,1284,5524,1376,22916,2256,1846,554,5200,1061,10319,1371,5551,1108,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,11028,1946,6320,1370,964,483,2113,787,1293,462,1950,750,4708,974,742,452,821,391,1667,527,1478,634,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,93270,7098,44073,4008,8493,2099,12183,1974,11102,1798,12295,1811,49197,4364,8732,1930,10993,2035,12897,2070,16575,1977,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,30041,3128,15347,2061,1832,685,4567,1195,3915,1207,5033,1195,14694,1857,1192,438,2964,766,5776,1315,4762,1014,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,261810,11755,124323,7210,31280,3455,30257,2965,27487,3038,35299,3026,137487,7422,30561,3559,26996,2608,35950,3231,43980,3804,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,87139,5762,39286,3546,7642,1896,9680,1305,12797,1950,9167,1688,47853,3732,6320,1460,10240,1907,18782,2461,12511,1561,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5192,1374,2459,933,253,296,1091,554,898,631,217,119,2733,907,772,590,336,145,1279,666,346,217,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,98225,4894,46533,3401,7263,1614,13059,1795,15653,2075,10558,1527,51692,3189,5824,1189,12449,1719,19677,1828,13742,1771,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,127841,3854,61254,2339,9304,1135,21508,1643,19962,1633,10480,1214,66587,2545,7554,963,20585,1716,22253,1829,16195,1478,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,71792,4447,33116,2875,4467,1112,7112,1271,12201,1508,9336,1636,38676,3118,3365,834,6457,1533,16916,2402,11938,1765,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,97227,5172,48297,3791,7659,1560,15180,1939,13609,2023,11849,1668,48930,3114,7960,1473,11681,1921,15340,1717,13949,1679,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,9761,2177,5064,1186,934,515,1508,668,1384,640,1238,693,4697,1314,518,279,1255,614,1311,635,1613,714,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,32348,3276,17050,2411,3221,1133,5206,1212,5141,1271,3482,1014,15298,1864,1751,580,3417,974,5535,1069,4595,1119,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,9807,1595,5207,1168,817,474,1700,686,1873,714,817,391,4600,1034,800,459,1434,597,1780,576,586,366,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,46481,3824,23156,2574,4664,1264,5688,1215,6800,1343,6004,1036,23325,2520,3289,956,5345,1131,9232,1659,5459,1146,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,267721,10021,125552,6708,17631,2686,28522,3482,40541,4116,38858,3377,142169,6664,19276,2354,29930,2784,50767,3753,42196,3794,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,20340,2439,10105,1539,1232,580,2685,874,3272,885,2916,875,10235,1623,1089,503,2370,871,3769,864,3007,851,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,5233,841,2325,639,570,378,540,332,535,271,680,386,2908,611,261,250,617,335,876,405,1154,591,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,102492,6318,49828,3887,4468,995,9888,1620,15395,2172,20077,2159,52664,3807,5644,1448,10002,1634,16745,2022,20273,2091,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,138802,6526,67734,4346,6727,1409,16422,2274,25683,2538,18902,2368,71068,4359,4817,1154,15408,2128,30100,2898,20743,2335,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,14484,1815,6523,1140,1383,512,1701,560,2085,687,1354,531,7961,1303,1286,500,2100,623,2672,714,1903,833,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,41736,3210,20238,2001,2734,690,6475,1268,6852,1169,4177,1027,21498,2005,2686,719,4531,980,8737,1300,5544,1093,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,5770,1399,2362,848,76,96,500,268,1085,658,701,471,3408,1066,85,100,952,594,1677,787,694,476,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,204254,8620,94021,5016,29789,3162,25859,2879,21421,2576,16952,2430,110233,4842,29666,2533,25250,2350,24422,2575,30895,2610,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
