GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001EA,B11010_001MA,B11010_002EA,B11010_002MA,B11010_003MA,B11010_003EA,B11010_004MA,B11010_004EA,B11010_005MA,B11010_005EA,B11010_006EA,B11010_006MA,B11010_007EA,B11010_007MA,B11010_008MA,B11010_008EA,B11010_009MA,B11010_009EA,B11010_010MA,B11010_010EA,B11010_011MA,B11010_011EA,B11010_012MA,B11010_012EA,B11010_013EA,B11010_013MA,B11010_014MA,B11010_014EA,B11010_015MA,B11010_015EA,state
0400000US01,599871,11825,276592,8077,234947,7581,175599,6553,59348,3301,41645,3452,38187,3394,3458,835,323279,7303,292927,6813,155686,5211,137241,4083,30352,2829,26875,2683,3477,823,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,80584,3744,45075,2804,35036,2501,28868,2342,6168,1153,10039,1565,9207,1497,832,444,35509,2244,27764,2029,18182,1717,9582,1154,7745,1155,7109,1113,636,274,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,828499,11938,403208,8949,311604,8456,235663,7661,75941,3604,91604,5310,80152,4631,11452,1868,425291,8359,349911,8525,193296,6674,156615,4869,75380,3761,65502,3271,9878,1714,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,374775,8769,172267,6017,138403,6137,103480,5655,34923,2324,33864,3031,30837,3058,3027,905,202508,5496,175379,4763,91961,4041,83418,3270,27129,2791,23754,2641,3375,847,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4004622,27783,1898528,20332,1381581,17640,1031141,16144,350440,9101,516947,11461,469306,10847,47641,2920,2106094,21937,1688518,20646,928926,16157,759592,10676,417576,9744,365198,8630,52378,3197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,722859,10884,357641,7983,265365,8038,210848,7576,54517,2752,92276,4261,86648,4148,5628,1091,365218,7035,293539,6178,175961,5536,117578,3651,71679,3951,66700,3725,4979,1059,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,449567,8875,199619,4875,157281,4373,112829,4572,44452,2920,42338,3089,38229,2968,4109,878,249948,7278,213657,6615,105935,4837,107722,3769,36291,2812,30745,2609,5546,1125,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,110707,4007,49657,2919,37427,2584,26499,2428,10928,1448,12230,1735,10937,1685,1293,486,61050,3352,52508,3069,27237,2938,25271,1622,8542,1292,7638,1238,904,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,151184,4516,67223,3450,48398,3116,40063,2921,8335,1068,18825,1851,17911,1850,914,385,83961,3083,66353,3078,48582,2810,17771,1382,17608,1693,16571,1729,1037,395,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2585196,26111,1185508,15716,919994,14765,635175,12578,284819,7069,265514,7393,225397,6907,40117,2947,1399688,18181,1193726,17103,580864,13459,612862,11366,205962,7598,173257,7334,32705,3083,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
