GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001MA,B17020I_001EA,B17020I_002MA,B17020I_002EA,B17020I_003EA,B17020I_003MA,B17020I_004MA,B17020I_004EA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007EA,B17020I_007MA,B17020I_008EA,B17020I_008MA,B17020I_009EA,B17020I_009MA,B17020I_010EA,B17020I_010MA,B17020I_011EA,B17020I_011MA,B17020I_012EA,B17020I_012MA,B17020I_013EA,B17020I_013MA,B17020I_014EA,B17020I_014MA,B17020I_015EA,B17020I_015MA,B17020I_016EA,B17020I_016MA,B17020I_017EA,B17020I_017MA,state
0400000US01,185719,1721,56351,8408,11032,2392,10766,1998,5706,1698,27390,4722,1268,589,189,188,0,192,129368,8613,16668,2732,14720,2531,10791,1933,79161,5533,6119,1570,1510,656,399,258,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46320,548,5960,1920,1380,748,692,455,423,324,2909,1037,444,302,112,137,0,147,40360,2048,5142,725,4733,1053,3664,1182,23430,1461,2690,599,610,381,91,159,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1952863,2993,565074,21951,88635,5331,87345,5832,80677,4832,274028,12070,25398,2478,6694,1363,2297,660,1387789,22452,136237,5444,146005,6288,150803,5650,812009,12865,107314,3627,26177,1474,9244,1410,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,198820,1913,67229,7048,15019,2899,12419,2066,7656,1857,29882,3629,1666,896,461,470,126,250,131591,6868,13820,1858,16801,2206,15278,2346,78998,3981,5313,1403,1074,606,307,291,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14463635,7796,3387770,49970,526567,14012,508060,13989,447781,10705,1697139,27991,147283,6909,45369,3123,15571,2305,11075865,50456,1055479,13491,1044197,16654,1098268,14319,6761901,30409,827351,10483,210280,4561,78389,4017,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1082294,2408,248999,14686,41654,4266,38577,3567,32234,3563,121904,7437,10828,2041,2357,865,1445,538,833295,14754,86063,4166,91869,4664,91370,4649,482500,8034,60788,3521,16302,1400,4403,1007,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,510845,1991,131151,8987,20727,2764,18572,2331,15534,2323,64721,4789,9359,1669,1658,586,580,422,379694,9007,35522,2639,38757,2912,37492,2910,237540,5303,23240,2426,4902,896,2241,752,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,79224,803,24065,4816,4694,1383,2891,1211,2951,887,12807,3109,629,480,93,133,0,189,55159,4874,6388,1271,5309,1329,6129,1226,32777,3288,3846,738,538,328,172,162,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63595,693,8005,2382,741,575,625,379,364,416,4900,1443,637,579,680,518,58,104,55590,2323,6836,810,4081,792,3070,763,37308,1501,3708,956,308,287,279,206,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4552059,4825,1006846,36543,118201,6793,116284,8993,106970,6793,516008,20519,97838,6171,37403,3960,14142,2089,3545213,36954,263424,7103,265126,8199,281471,8675,2199107,22711,366964,8396,121620,4804,47501,3829,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,881157,3356,270185,16713,56563,5736,43518,4589,34739,3839,127938,8868,5550,1365,1523,740,354,255,610972,16981,68337,5614,68320,5225,58006,4584,384117,8991,25499,2493,5306,1391,1387,535,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,133578,957,17832,3700,3073,1038,2012,846,2204,954,9487,1891,779,393,84,129,193,185,115746,3738,18023,1261,13966,1359,11198,1520,62714,1996,7459,777,1759,525,627,289,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,186160,679,44604,5635,8093,1853,7785,1596,6758,1825,20552,2938,1069,444,300,321,47,59,141556,5727,19555,2430,18768,2135,14927,1983,78853,3317,8167,1256,1062,518,224,211,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2082129,3492,430159,21530,70291,5986,73311,5982,57972,4850,206033,10944,17571,2062,3674,723,1307,582,1651970,21424,167138,6418,176973,6538,169119,5667,1004686,11003,104869,3805,22271,1271,6914,1067,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,411800,2301,126359,10393,24558,3164,20996,2662,15030,2301,61630,5386,3572,1148,421,408,152,163,285441,10487,35313,3258,32094,3085,31951,2998,165881,5825,15064,1960,4056,800,1082,421,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,161981,2094,38861,4725,7402,1235,6742,1650,5393,1378,18653,2682,463,301,208,218,0,157,123120,4920,15512,1616,15895,1864,14488,2014,70401,2853,5232,1009,1289,670,303,232,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
