GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001MA,C17010I_001EA,C17010I_002EA,C17010I_002MA,C17010I_003EA,C17010I_003MA,C17010I_004MA,C17010I_004EA,C17010I_005MA,C17010I_005EA,C17010I_006EA,C17010I_006MA,C17010I_007MA,C17010I_007EA,C17010I_008MA,C17010I_008EA,C17010I_009EA,C17010I_009MA,C17010I_010MA,C17010I_010EA,C17010I_011EA,C17010I_011MA,C17010I_012MA,C17010I_012EA,C17010I_013MA,C17010I_013EA,C17010I_014EA,C17010I_014MA,C17010I_015MA,C17010I_015EA,C17010I_016MA,C17010I_016EA,C17010I_017EA,C17010I_017MA,state
0400000US01,36588,2710,9054,1641,3968,1109,3667,1053,5086,1223,1812,791,1659,767,3274,1078,3251,1081,27534,3086,20098,2622,13093,2185,7436,1855,2952,924,1176,550,4484,1434,2663,1053,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9119,1118,614,378,192,195,134,154,422,303,32,50,32,50,390,307,390,307,8505,1057,5755,976,2882,775,2750,1019,1304,745,903,675,1446,631,1276,613,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,398054,6569,102432,4584,41201,3064,32736,2937,61231,3647,12593,2144,10721,2001,48638,3104,43383,3057,295622,7525,196017,6285,118701,4868,99605,5809,36027,3401,22437,2844,63578,4346,42852,3387,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38220,2254,12599,1748,6607,1510,5369,1408,5992,1495,1061,568,969,538,4931,1322,4615,1362,25621,2126,19158,2020,14243,1851,6463,1353,3226,1061,1992,838,3237,977,2390,900,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2886537,16948,607759,10078,261275,7394,222186,6802,346484,8141,77303,4689,65051,4427,269181,7060,241887,6708,2278778,16802,1561012,15157,970914,11745,717766,11544,266387,8254,149853,5725,451379,8471,276005,7133,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,226816,5785,45981,3590,19395,2573,16875,2247,26586,2582,4311,1261,3448,1202,22275,2327,21042,2331,180835,5824,125869,5325,77873,3934,54966,4131,19433,2705,11855,2195,35533,2853,26341,2866,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,111262,3484,27093,2687,6277,1490,3831,1074,20816,2480,3036,1103,2105,812,17780,2116,15786,1916,84169,3718,50922,3465,31425,2902,33247,2635,10765,1811,5967,1300,22482,2199,15921,2074,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15895,1144,4920,1183,2507,987,2277,839,2413,795,272,246,272,246,2141,776,2045,743,10975,1299,7510,1068,5219,1012,3465,998,912,581,711,518,2553,930,1860,798,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11936,1233,1113,778,668,570,156,185,445,458,0,203,0,203,445,458,445,458,10823,1299,6768,1140,4510,1044,4055,983,2293,903,940,547,1762,581,1326,568,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,992953,11480,188179,8477,86080,5375,56115,4818,102099,6461,22013,3067,17169,2533,80086,5157,67742,5323,804774,13769,560300,13620,282888,10487,244474,9632,79825,4970,40277,3539,164649,7211,93173,5105,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,173359,4875,48467,3932,23092,3067,20315,2896,25375,3094,7288,1695,6572,1592,18087,2902,17378,2755,124892,5667,90099,5422,57556,4324,34793,3451,16098,2620,8276,1971,18695,2306,13909,2116,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,22265,1816,2110,779,519,314,364,222,1591,730,419,393,419,393,1172,635,1075,626,20155,1818,15387,1787,8876,1294,4768,1066,1650,646,1037,563,3118,859,2011,818,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
