GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001EA,B25098_001MA,B25098_002EA,B25098_002MA,B25098_003EA,B25098_003MA,B25098_004MA,B25098_004EA,B25098_005EA,B25098_005MA,B25098_006EA,B25098_006MA,B25098_007MA,B25098_007EA,B25098_008EA,B25098_008MA,B25098_009EA,B25098_009MA,B25098_010MA,B25098_010EA,B25098_011EA,B25098_011MA,B25098_012MA,B25098_012EA,B25098_013EA,B25098_013MA,B25098_014EA,B25098_014MA,B25098_015MA,B25098_015EA,B25098_016MA,B25098_016EA,B25098_017EA,B25098_017MA,B25098_018MA,B25098_018EA,B25098_019EA,B25098_019MA,state
0400000US01,1240017,12974,719189,11998,22377,2592,68092,3663,58049,3650,104491,4787,159067,6756,114732,5578,121017,5658,71364,3170,520828,7917,48668,3091,120884,4651,70754,3683,83185,3656,89382,4361,44058,2993,38732,2949,25165,2366,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,1060,388,4234,709,2828,636,7405,1154,15928,1810,17858,1836,27117,2391,22697,2438,56980,2687,2312,593,7684,895,4487,964,7462,1193,10519,1714,6944,959,10023,1451,7549,1324,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,29544,2776,79844,4455,72034,3807,128166,5415,199219,7127,151690,5973,176047,6337,126017,5650,527470,8593,45537,3337,106887,4133,72471,3645,82307,3783,92817,3769,49406,2881,45471,2934,32574,2559,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,13004,1515,44099,2873,37902,3305,61391,4081,90267,4796,63913,3912,66200,3885,35459,2721,327752,6053,25317,2182,79180,3645,45059,3231,54918,3282,59361,3714,29037,2144,21340,2207,13540,1661,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,106318,5002,276120,8672,245074,7818,450923,10364,828897,14086,728914,12373,1070504,16665,1234433,16516,1863456,15586,108128,4427,319503,7415,205986,6437,257806,6280,313641,7285,206537,6456,225558,6447,226297,5597,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,18101,2027,53363,4117,56024,3523,101416,4786,176026,5876,160757,5946,201200,6476,167718,5263,357340,6897,19245,1682,61913,3253,39498,2424,49706,3449,64496,3383,42836,2797,41368,2340,38278,2686,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,8769,1432,23091,2497,23299,2428,46182,3373,103121,5110,98371,4536,147535,5579,164621,6005,273489,6462,11698,1564,40340,3017,25001,2467,36545,2266,47686,2957,33142,2645,37646,2931,41431,2714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,3869,895,9744,1425,10561,1635,18084,2073,33623,2538,26761,2403,33966,2655,28459,2314,77980,3302,4505,865,13979,1474,10132,1398,12835,1643,14994,1429,8693,1208,7436,1134,5406,940,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,2131,702,2612,689,2786,833,4478,927,10162,1619,11342,1838,17514,1759,33246,2451,26242,2017,1858,622,3806,1004,1544,576,2466,630,4682,916,2501,603,3739,756,5646,963,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,89632,4834,281589,10113,229367,8115,377292,9854,587329,12204,413725,10888,453334,10816,333773,9135,1906441,20472,151091,5477,396519,8513,252960,7240,306855,9297,320968,9113,174570,5021,162543,6299,140935,5769,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2222377,19196,1501828,15909,49949,4207,119458,6020,111910,5985,186954,7072,310146,8560,244195,7264,272319,8685,206897,7076,720549,11953,56474,3848,150363,5835,88531,3405,113025,5607,123001,4492,71427,4809,68153,4116,49575,3137,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,252999,3913,171544,4301,2994,897,8324,1454,7744,1295,11828,1468,28217,2827,27373,1995,44620,3001,40444,2535,81455,3246,4529,1006,11629,1424,7623,1233,11199,1580,14458,1682,9308,1151,12875,1532,9834,1179,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
