GEO_ID,B28009H_001E,B28009H_001M,B28009H_002E,B28009H_002M,B28009H_003E,B28009H_003M,B28009H_004E,B28009H_004M,B28009H_005E,B28009H_005M,B28009H_006E,B28009H_006M,NAME,B28009H_001MA,B28009H_001EA,B28009H_002MA,B28009H_002EA,B28009H_003MA,B28009H_003EA,B28009H_004EA,B28009H_004MA,B28009H_005EA,B28009H_005MA,B28009H_006MA,B28009H_006EA,state
0400000US01,3142624,3951,2692439,15009,38768,4946,2287381,24082,366290,17579,450185,15500,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,443914,1137,425850,2567,4404,1540,385643,5401,35803,4332,18064,2322,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3681116,3896,3390514,11857,26922,3220,3099156,16997,264436,14576,290602,11253,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2124279,2668,1807826,15251,26908,4350,1462111,16229,318807,14449,316453,14991,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14554035,8413,13571147,21581,115063,7824,12601208,34661,854876,25706,982888,19651,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3571893,4184,3375437,9451,34841,3745,3098483,17134,242113,13760,196456,9004,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2415242,3159,2214614,8461,15110,3219,2081865,13093,117639,8978,200628,7492,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,578052,1481,522943,4601,4856,1506,465254,6406,52833,5706,55109,4622,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,214813,1913,210021,2466,316,219,200364,2992,9341,2075,4792,1807,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10772841,8635,9769294,26072,91494,7891,8835164,32111,842636,26338,1003547,24865,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5340959,5866,4805589,19917,43488,5827,4327142,23270,434959,15045,535370,17932,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,308007,1665,291447,2895,1459,624,270246,4635,19742,3470,16560,2197,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1318841,1056,1215580,8896,16424,3164,1054539,18114,144617,16358,103261,8995,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7904717,5187,7139094,17192,68297,5582,6543585,26486,527212,17769,765623,16391,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5153500,4139,4510930,19015,69404,6357,3941095,24379,500431,19105,642570,18336,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2621250,2958,2337472,10789,30548,3265,2078773,13593,228151,9855,283778,10294,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2175121,1709,1968545,9349,20020,3928,1760307,13717,188218,10569,206576,9209,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3672027,2201,3133861,15585,34336,4639,2759309,20444,340216,14086,538166,15460,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2696073,2984,2372928,12726,25593,4403,2070861,21631,276474,14464,323145,12460,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1216352,1706,1083525,6638,14616,1778,958768,9951,110141,7716,132827,6541,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
