GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001EA,B18101A_001MA,B18101A_002EA,B18101A_002MA,B18101A_003MA,B18101A_003EA,B18101A_004MA,B18101A_004EA,B18101A_005MA,B18101A_005EA,B18101A_006EA,B18101A_006MA,B18101A_007EA,B18101A_007MA,B18101A_008MA,B18101A_008EA,B18101A_009MA,B18101A_009EA,B18101A_010MA,B18101A_010EA,state
0400000US01,3285404,8104,696911,4276,26781,2764,670130,4921,2024123,5548,276161,8939,1747962,9983,564370,1635,227872,5370,336498,5112,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,472224,3009,104532,1422,3863,1160,100669,1867,317941,2175,29881,3099,288060,3516,49751,734,17653,1682,32098,1777,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5161863,20562,1178768,9410,35933,2914,1142835,9527,3069362,12974,308318,10350,2761044,15737,913733,3332,305924,7936,607809,8566,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2268911,6674,506801,3740,29251,3026,477550,4862,1373354,4193,205761,7236,1167593,8924,388756,1356,161106,4615,227650,4730,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23440958,60751,5260004,24784,170791,7030,5089213,25712,14757163,42910,1284856,20910,13472307,42161,3423791,8247,1248982,14223,2174809,15465,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4345599,16745,970266,8659,31675,2824,938591,8851,2796624,11491,249848,7880,2546776,15108,578709,2052,196010,5713,382699,5580,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2743764,12202,548640,5671,18693,2285,529947,5570,1726936,7716,138765,7113,1588171,10829,468188,1665,149676,3903,318512,4212,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,629712,4991,121397,2444,5030,1073,116367,2506,389133,3399,41991,2962,347142,4804,119182,628,38001,2057,81181,2154,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,260484,4797,29986,1706,425,227,29561,1708,205544,3235,7427,1445,198117,3569,24954,877,5026,947,19928,1184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14706736,24723,2724828,11962,106563,5410,2618265,14040,8806567,16567,911946,20666,7894621,24589,3175341,4434,1074393,13668,2100948,13752,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
