GEO_ID,B10052_001E,B10052_001M,B10052_002E,B10052_002M,B10052_003E,B10052_003M,B10052_004E,B10052_004M,B10052_005E,B10052_005M,B10052_006E,B10052_006M,B10052_007E,B10052_007M,B10052_008E,B10052_008M,B10052_009E,B10052_009M,B10052_010E,B10052_010M,B10052_011E,B10052_011M,NAME,B10052_001MA,B10052_001EA,B10052_002EA,B10052_002MA,B10052_003EA,B10052_003MA,B10052_004MA,B10052_004EA,B10052_005EA,B10052_005MA,B10052_006MA,B10052_006EA,B10052_007EA,B10052_007MA,B10052_008EA,B10052_008MA,B10052_009EA,B10052_009MA,B10052_010MA,B10052_010EA,B10052_011MA,B10052_011EA,state
0400000US01,122368,6362,39612,3374,18742,2163,10665,1638,8077,1275,20870,2853,82756,4985,44114,4038,30032,3217,14082,2080,38642,4131,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15575,2047,4563,924,2350,756,1498,685,852,273,2213,502,11012,1747,6016,1311,4277,1077,1739,592,4996,1143,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,159959,9264,42797,3330,15343,1990,7504,1439,7839,1367,27454,2909,117162,8132,44020,3949,29940,3284,14080,1737,73142,6049,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66665,4100,22852,2713,12306,1883,5730,1110,6576,1482,10546,1725,43813,3665,26068,2813,17098,2159,8970,1548,17745,2398,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1125705,19011,278420,8918,60070,3850,27921,2950,32149,2398,218350,8444,847285,18360,235716,7877,151945,6726,83771,4280,611569,15852,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100500,6067,26436,2957,8759,1309,3769,860,4990,1097,17677,2529,74064,5277,29713,4204,21406,3413,8307,1632,44351,3830,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65480,4643,15905,1837,4133,1058,2161,780,1972,710,11772,1436,49575,4427,15032,2682,9725,2575,5307,1187,34543,4051,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23749,2994,5203,1360,1520,506,943,456,577,345,3683,1203,18546,2595,8910,1701,6624,1569,2286,811,9636,1660,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10666,1540,3610,1051,906,489,511,323,395,326,2704,886,7056,1339,3338,1008,2049,826,1289,440,3718,1010,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,468303,13938,115935,6193,36008,3120,15829,2226,20179,2432,79927,5633,352368,12465,118297,7352,72156,6100,46141,4096,234071,9907,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
