GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001MA,C21001I_001EA,C21001I_002EA,C21001I_002MA,C21001I_003MA,C21001I_003EA,C21001I_004MA,C21001I_004EA,C21001I_005EA,C21001I_005MA,C21001I_006MA,C21001I_006EA,C21001I_007MA,C21001I_007EA,C21001I_008EA,C21001I_008MA,C21001I_009MA,C21001I_009EA,C21001I_010EA,C21001I_010MA,C21001I_011MA,C21001I_011EA,C21001I_012EA,C21001I_012MA,C21001I_013EA,C21001I_013MA,C21001I_014MA,C21001I_014EA,C21001I_015EA,C21001I_015MA,state
0400000US01,118481,2421,66880,2795,64254,2875,3217,1004,61037,2862,2626,835,1082,451,1544,650,51601,1561,47990,1799,513,319,47477,1756,3611,960,0,192,3611,960,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29173,850,14769,925,13756,922,2134,609,11622,1044,1013,410,313,263,700,348,14404,506,13311,792,320,237,12991,768,1093,565,145,247,948,563,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1302507,1003,650584,1060,598314,1295,31551,2703,566763,2945,52270,576,19577,1857,32693,1879,651923,365,587330,831,5478,1353,581852,1518,64593,687,318,253,64275,716,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,119328,1953,63592,2388,60694,2106,2597,1288,58097,2015,2898,909,1181,618,1717,666,55736,1704,52907,1964,475,407,52432,1989,2829,1033,77,157,2752,1001,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9933224,2409,4988308,2757,4608002,2819,152458,5768,4455544,6520,380306,863,82445,4009,297861,4124,4944916,1314,4438789,1375,18754,2619,4420035,2987,506127,950,1956,689,504171,1235,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,716694,3362,365295,2747,337430,2812,23542,2728,313888,3501,27865,679,10627,1141,17238,1291,351399,1946,316104,2092,3358,949,312746,2194,35295,817,134,137,35161,823,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,354860,927,176090,913,164484,812,5463,1283,159021,1407,11606,487,1544,437,10062,653,178770,1021,163032,1014,527,356,162505,961,15738,493,217,215,15521,554,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51519,305,26848,632,25509,594,1600,624,23909,866,1339,120,631,265,708,263,24671,482,23333,448,750,726,22583,921,1338,217,0,189,1338,217,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,49251,400,25209,351,23866,351,1157,725,22709,748,1343,-555555555,0,203,1343,2,24042,79,21999,79,631,603,21368,634,2043,-555555555,0,203,2043,2,District of Columbia,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,3444360,1367,1682721,1760,1472278,1920,66383,4804,1405895,4883,210443,1497,28086,2442,182357,2632,1761639,1682,1469356,1724,9212,1776,1460144,2437,292283,1698,1013,536,291270,1738,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,563712,2962,304852,3644,294144,3591,12014,2112,282130,3763,10708,1525,3216,1069,7492,1193,258860,2261,244842,2326,3358,885,241484,2507,14018,1383,98,124,13920,1388,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,80374,1340,39904,1208,36774,1202,5809,1067,30965,1649,3130,363,988,374,2142,530,40470,646,36413,698,718,389,35695,823,4057,415,166,136,3891,421,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,113551,603,59341,676,55960,1080,2703,913,53257,1365,3381,680,888,499,2493,650,54210,683,50715,798,244,222,50471,802,3495,659,52,98,3443,657,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
