GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002EA,B20017A_002MA,B20017A_003MA,B20017A_003EA,B20017A_004EA,B20017A_004MA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007MA,B20017A_007EA,state
0400000US01,30239,328,36564,596,47068,893,10653,427,23223,813,35431,615,9096,496,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41226,643,49794,2455,61520,1220,22383,2147,33582,2351,47767,2758,13099,2088,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,30452,228,34848,1045,46747,596,11319,256,25916,391,37899,725,10338,245,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27368,460,32210,512,41580,483,9921,557,22613,693,31830,464,9285,581,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32013,130,37748,639,52705,751,13154,314,27006,235,45355,371,11394,109,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,32319,252,40182,364,51873,393,12276,355,26694,380,41513,372,10640,320,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40755,377,50384,465,65672,827,12299,442,32121,353,50502,665,12228,305,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32435,1135,38103,1808,51718,1007,10454,871,28727,1554,43695,2297,10360,696,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61212,1026,69463,3988,85884,3510,12460,3416,55205,3146,71476,1667,13868,2013,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28701,352,31726,213,42154,260,11730,163,25350,234,35997,243,10843,138,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
