GEO_ID,C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,NAME,C21001F_001EA,C21001F_001MA,C21001F_002MA,C21001F_002EA,C21001F_003EA,C21001F_003MA,C21001F_004MA,C21001F_004EA,C21001F_005MA,C21001F_005EA,C21001F_006EA,C21001F_006MA,C21001F_007EA,C21001F_007MA,C21001F_008EA,C21001F_008MA,C21001F_009EA,C21001F_009MA,C21001F_010EA,C21001F_010MA,C21001F_011EA,C21001F_011MA,C21001F_012MA,C21001F_012EA,C21001F_013EA,C21001F_013MA,C21001F_014MA,C21001F_014EA,C21001F_015EA,C21001F_015MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,284076,12990,143215,7800,132879,7520,5299,1154,127580,7440,10336,1554,3525,958,6811,1218,140861,7611,128551,7015,917,487,127634,6957,12310,1717,80,135,12230,1699,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41630,3818,22887,2531,22267,2614,1029,1085,21238,2676,620,479,9,23,611,475,18743,2051,17943,1995,75,126,17868,2012,800,568,0,192,800,568,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3446594,44045,1756323,25849,1649747,25322,43025,3316,1606722,25226,106576,4441,16114,2015,90462,4332,1690271,22072,1545334,21378,5390,1274,1539944,21505,144937,5966,529,336,144408,5966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166101,9104,82376,5527,78262,5541,4288,956,73974,5371,4114,819,1638,443,2476,698,83725,5096,77009,4930,941,510,76068,4865,6716,1093,75,115,6641,1089,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,131687,8121,70268,5175,66701,4852,1008,489,65693,4783,3567,961,194,172,3373,953,61419,4492,56919,4334,174,196,56745,4328,4500,925,0,201,4500,925,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16610,2997,9343,1860,9075,1832,130,125,8945,1822,268,206,0,189,268,206,7267,1717,7083,1698,17,27,7066,1703,184,167,0,189,184,167,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,354264,15776,177082,9079,164217,8893,8484,1929,155733,8814,12865,2121,2129,1033,10736,1790,177182,9972,159839,9580,1087,527,158752,9476,17343,2413,0,218,17343,2413,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
