GEO_ID,B27023_001E,B27023_001M,B27023_002E,B27023_002M,B27023_003E,B27023_003M,B27023_004E,B27023_004M,B27023_005E,B27023_005M,B27023_006E,B27023_006M,B27023_007E,B27023_007M,B27023_008E,B27023_008M,B27023_009E,B27023_009M,B27023_010E,B27023_010M,B27023_011E,B27023_011M,B27023_012E,B27023_012M,B27023_013E,B27023_013M,B27023_014E,B27023_014M,B27023_015E,B27023_015M,NAME,B27023_001MA,B27023_001EA,B27023_002EA,B27023_002MA,B27023_003EA,B27023_003MA,B27023_004EA,B27023_004MA,B27023_005EA,B27023_005MA,B27023_006EA,B27023_006MA,B27023_007MA,B27023_007EA,B27023_008MA,B27023_008EA,B27023_009EA,B27023_009MA,B27023_010MA,B27023_010EA,B27023_011MA,B27023_011EA,B27023_012EA,B27023_012MA,B27023_013MA,B27023_013EA,B27023_014EA,B27023_014MA,B27023_015MA,B27023_015EA,state
0400000US01,473462,7648,232585,5226,85373,5352,67170,4594,18203,2312,147212,6907,84025,4630,63187,5296,240877,4877,98604,4162,76759,3212,21845,2714,142273,5906,76318,4563,65955,4585,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,74441,3060,39221,2250,12448,2278,8808,2076,3640,1132,26773,1682,13850,1664,12923,1385,35220,2041,11842,1565,8741,1321,3101,824,23378,2126,13563,1776,9815,1417,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,638949,6975,320956,4899,118316,5715,84633,5538,33683,3174,202640,5835,97564,5929,105076,5264,317993,4336,128117,5072,85959,4777,42158,3388,189876,6055,89436,4437,100440,5062,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,278976,5385,139572,3889,52120,4332,39550,3944,12570,2121,87452,4453,43249,3856,44203,4039,139404,3424,56489,3928,42049,3405,14440,1834,82915,4069,37764,2795,45151,3091,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3955658,16331,2014088,12225,888289,14653,607882,13306,280407,8951,1125799,15399,556199,12661,569600,13496,1941570,10751,950134,13850,628783,12752,321351,8565,991436,13976,500449,10767,490987,11774,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,496445,5967,252147,4967,94823,4658,78048,3880,16775,2089,157324,5579,96998,5103,60326,5068,244298,4784,106906,4307,84976,4641,21930,2569,137392,5052,80157,3966,57235,3774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,327844,4447,166344,3319,71149,3765,56218,3165,14931,2274,95195,4550,61325,4227,33870,3362,161500,2966,83041,4135,67132,4033,15909,2006,78459,4197,44277,3311,34182,3219,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87435,2659,44180,1760,17136,1990,14087,1867,3049,901,27044,1923,17224,2171,9820,1721,43255,1715,20816,2013,15090,1817,5726,1138,22439,1874,12388,1471,10051,1679,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,85745,3092,38813,1932,18310,1869,15432,1817,2878,839,20503,2003,11887,1677,8616,1162,46932,2041,23412,2001,17404,1931,6008,1386,23520,2062,16393,1930,7127,1204,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1767603,11277,882004,8420,353471,10030,231347,8525,122124,6443,528533,11038,237838,9962,290695,10019,885599,8171,416181,9945,274315,7815,141866,6856,469418,10238,221914,8616,247504,8971,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,970467,12235,480149,8641,184324,7985,135329,6428,48995,4346,295825,8637,148278,6469,147547,7497,490318,7024,219153,6774,154965,6226,64188,5032,271165,8407,134437,6360,136728,7917,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125764,3364,64070,2290,24134,2859,18553,2415,5581,1717,39936,2995,28510,2664,11426,1711,61694,2359,26481,2350,22191,2091,4290,1413,35213,2298,24148,2444,11065,1679,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,152436,3686,79079,2870,27090,2707,22458,2338,4632,1450,51989,3587,29951,3954,22038,2419,73357,2398,30072,2338,23573,2339,6499,1567,43285,2743,23523,2472,19762,2355,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1235954,7374,622946,6068,270814,7433,210595,6837,60219,3928,352132,8215,208628,7663,143504,6561,613008,4942,288276,6333,214180,6212,74096,4247,324732,6938,184372,6861,140360,6328,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,648690,6328,325602,4790,134433,4420,111138,4231,23295,2334,191169,5106,113571,3925,77598,4371,323088,4190,147424,4407,118946,4071,28478,2954,175664,5409,96355,4431,79309,4571,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,309030,4591,154969,3198,64674,3377,54570,3156,10104,1550,90295,3531,61808,3061,28487,2481,154061,3312,75737,3745,65160,3462,10577,1609,78324,3827,48677,3225,29647,2499,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,282492,4531,142884,3540,63530,3595,53844,3468,9686,2063,79354,3896,50286,3443,29068,3061,139608,3120,68826,3145,56983,2903,11843,1823,70782,3701,42342,3198,28440,2547,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,410814,6442,207665,4391,71694,3500,58458,3437,13236,2040,135971,5284,74899,4214,61072,3330,203149,3947,89904,4447,68346,3839,21558,2430,113245,4132,59789,4173,53456,3614,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
