GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001MA,B17020H_001EA,B17020H_002MA,B17020H_002EA,B17020H_003EA,B17020H_003MA,B17020H_004EA,B17020H_004MA,B17020H_005EA,B17020H_005MA,B17020H_006MA,B17020H_006EA,B17020H_007MA,B17020H_007EA,B17020H_008EA,B17020H_008MA,B17020H_009MA,B17020H_009EA,B17020H_010EA,B17020H_010MA,B17020H_011EA,B17020H_011MA,B17020H_012EA,B17020H_012MA,B17020H_013EA,B17020H_013MA,B17020H_014MA,B17020H_014EA,B17020H_015MA,B17020H_015EA,B17020H_016EA,B17020H_016MA,B17020H_017EA,B17020H_017MA,state
0400000US01,3141018,4556,412592,14369,38557,3708,36417,3148,34309,3413,242288,9766,40734,3068,12964,1775,7323,1137,2728426,15019,160613,4337,174444,5346,197338,5046,1487134,11161,495709,6762,161840,3971,51348,3167,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450354,970,26703,3161,2604,730,2316,796,2308,1020,15967,1835,2678,644,620,485,210,249,423651,3253,28829,1047,28368,1917,29671,1617,262828,2710,59377,1883,10382,1121,4196,917,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3682557,4237,426423,16751,29360,3416,30115,4009,28318,3835,253044,10316,59653,3856,16847,2197,9086,1699,3256134,17028,169499,4297,191686,5584,200210,5934,1679000,12031,689633,6338,240670,4692,85436,4352,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2120542,2978,315811,12314,32791,3757,30352,3179,26999,2555,177989,8202,30886,3196,11146,1351,5648,1044,1804731,12653,113160,3780,114729,4570,127897,4178,969032,9025,335881,4957,109524,2194,34508,2237,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14615494,8898,1575551,26888,88340,5866,86956,6196,96038,5336,989298,18430,201129,6791,69939,4704,43851,3384,13039943,27739,657473,7444,703135,9768,758728,10519,7313338,22892,2456047,12849,772271,9629,378951,8327,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3574069,4246,333569,13996,22754,3518,20173,2704,20714,2622,217613,8928,37536,2829,10021,1282,4758,1053,3240500,14796,200006,4185,216064,4736,217288,5025,1878655,11145,531424,6317,144027,3419,53036,3031,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2422248,3305,148684,10116,7503,2247,7392,1518,10427,2376,87544,5807,23128,2854,7430,1354,5260,864,2273564,10472,117627,3470,145443,3951,164493,4161,1253947,8083,396692,5550,126363,3540,68999,3052,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,578821,1528,49839,5316,3206,1061,3127,1553,2838,739,30429,3473,6295,1283,2797,733,1147,440,528982,5687,30132,1605,32017,1750,32796,1947,281643,4814,107557,2635,32596,1513,12241,1474,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,215153,1844,16665,2251,0,203,549,573,79,101,14326,1860,943,454,450,282,318,351,198488,2314,11806,467,6227,773,3531,666,145708,2238,23168,1159,5548,751,2500,586,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10776700,8806,1284413,30342,88917,7258,86450,5846,83162,7313,738282,19480,188185,9053,65411,4495,34006,3124,9492287,30921,448903,8939,487754,9743,541906,10683,4764991,22811,2099022,13245,811800,8501,337911,8186,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
