GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001MA,B25096_001EA,B25096_002EA,B25096_002MA,B25096_003MA,B25096_003EA,B25096_004MA,B25096_004EA,B25096_005MA,B25096_005EA,B25096_006EA,B25096_006MA,B25096_007MA,B25096_007EA,B25096_008MA,B25096_008EA,B25096_009MA,B25096_009EA,B25096_010MA,B25096_010EA,B25096_011EA,B25096_011MA,B25096_012EA,B25096_012MA,B25096_013MA,B25096_013EA,B25096_014MA,B25096_014EA,B25096_015EA,B25096_015MA,B25096_016EA,B25096_016MA,B25096_017MA,B25096_017EA,state
0400000US01,1240017,12974,719189,11998,64558,3359,159309,6780,160526,6614,125485,5245,120166,5621,66878,3610,22267,2149,520828,7917,145618,5425,128678,4112,79914,3687,64944,3216,58715,3313,28903,2192,14056,1755,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,99127,3509,1850,439,2495,612,6450,1017,15310,2022,36122,2792,30171,2346,6729,1201,56980,2687,6436,985,5595,841,5338,1034,8408,1386,14214,1540,12794,1671,4195,1016,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,962561,11844,51893,3091,126749,6201,186365,6516,178376,6432,205641,5543,147082,5121,66455,3604,527470,8593,114815,4323,92108,4147,76397,4196,74063,3917,78431,3821,59445,3554,32211,2658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,412235,8171,46467,3175,110195,4691,98073,4256,66758,3540,54892,4080,26017,2457,9833,1648,327752,6053,93068,4034,89172,4223,56778,3710,37032,2440,30763,2584,15041,1712,5898,1052,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,4941183,28332,136988,4872,156987,5693,282100,7559,395698,10822,803291,12265,1440692,15227,1725427,14920,1863456,15586,224870,6338,125798,5560,107408,5184,129898,5308,242447,6265,438469,9998,594566,9046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,934605,10783,31604,2460,43921,3065,97505,4530,155070,4595,274883,6715,223481,6061,108141,4035,357340,6897,48480,3096,24457,2205,34787,2584,52173,3129,79271,3321,72086,3518,46086,3118,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,614989,8583,16529,1694,17606,2177,54461,3800,95834,4485,164050,5589,165016,5264,101493,3602,273489,6462,15617,1685,11884,1588,26076,1968,41620,2492,72452,3419,63535,3915,42305,2329,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,165067,4059,7139,1124,7214,1239,16630,1842,31490,2515,51212,2874,40734,2864,10648,1257,77980,3302,13726,1674,5972,1038,6055,910,12038,1412,20755,1986,14105,1329,5329,1006,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,84271,3620,2551,614,1505,466,1255,505,3280,762,10637,1157,25894,2426,39149,2094,26242,2017,960,369,527,277,362,232,1151,398,4126,922,7230,1216,11886,1499,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,2766041,21294,183551,7282,512215,11335,528269,11729,478445,10923,519792,9300,357862,10346,185907,5724,1906441,20472,357549,8609,417955,10432,277405,8812,244645,6864,281725,8046,190247,7431,136915,4433,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2222377,19196,1501828,15909,115180,5535,309803,9297,311007,9851,259328,9102,250102,7847,178376,5932,78032,3780,720549,11953,159699,6274,170661,6343,110046,5087,96614,4290,89994,4598,60558,3444,32977,2589,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,252999,3913,171544,4301,2591,614,1913,546,3126,897,5603,1191,18902,2114,53569,2884,85840,3600,81455,3246,2685,676,2471,737,2609,635,3327,879,10574,1367,19123,1749,40666,2486,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,408174,6844,271460,6710,11605,1642,35962,2918,67781,4078,62839,3693,53089,3560,28906,2908,11278,1601,136714,5485,22144,2140,22282,2251,24564,2179,23625,2259,21262,2038,14764,1692,8073,1297,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3154027,17254,2070243,16361,114834,4611,333413,7351,353432,8309,356127,9138,438153,9243,317334,7721,156950,5516,1083784,11943,161163,5614,202196,5709,175568,5317,159840,5301,198854,6119,123232,4686,62931,3435,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
