B07001_089M,B07001_090E,B07001_090M,B07001_091E,B07001_091M,B07001_092E,B07001_092M,B07001_093E,B07001_093M,B07001_094E,B07001_094M,B07001_095E,B07001_095M,B07001_096E,B07001_096M,GEO_ID,B07001_001E,B07001_001M,B07001_002E,B07001_002M,B07001_003E,B07001_003M,B07001_004E,B07001_004M,B07001_005E,B07001_005M,B07001_006E,B07001_006M,B07001_007E,B07001_007M,B07001_008E,B07001_008M,B07001_009E,B07001_009M,B07001_010E,B07001_010M,B07001_011E,B07001_011M,B07001_012E,B07001_012M,B07001_013E,B07001_013M,B07001_014E,B07001_014M,B07001_015E,B07001_015M,B07001_016E,B07001_016M,B07001_017E,B07001_017M,B07001_018E,B07001_018M,B07001_019E,B07001_019M,B07001_020E,B07001_020M,B07001_021E,B07001_021M,B07001_022E,B07001_022M,B07001_023E,B07001_023M,B07001_024E,B07001_024M,B07001_025E,B07001_025M,B07001_026E,B07001_026M,B07001_027E,B07001_027M,B07001_028E,B07001_028M,B07001_029E,B07001_029M,B07001_030E,B07001_030M,B07001_031E,B07001_031M,B07001_032E,B07001_032M,B07001_033E,B07001_033M,B07001_034E,B07001_034M,B07001_035E,B07001_035M,B07001_036E,B07001_036M,B07001_037E,B07001_037M,B07001_038E,B07001_038M,B07001_039E,B07001_039M,B07001_040E,B07001_040M,B07001_041E,B07001_041M,B07001_042E,B07001_042M,B07001_043E,B07001_043M,B07001_044E,B07001_044M,B07001_045E,B07001_045M,B07001_046E,B07001_046M,B07001_047E,B07001_047M,B07001_048E,B07001_048M,B07001_049E,B07001_049M,B07001_050E,B07001_050M,B07001_051E,B07001_051M,B07001_052E,B07001_052M,B07001_053E,B07001_053M,B07001_054E,B07001_054M,B07001_055E,B07001_055M,B07001_056E,B07001_056M,B07001_057E,B07001_057M,B07001_058E,B07001_058M,B07001_059E,B07001_059M,B07001_060E,B07001_060M,B07001_061E,B07001_061M,B07001_062E,B07001_062M,B07001_063E,B07001_063M,B07001_064E,B07001_064M,B07001_065E,B07001_065M,B07001_066E,B07001_066M,B07001_067E,B07001_067M,B07001_068E,B07001_068M,B07001_069E,B07001_069M,B07001_070E,B07001_070M,B07001_071E,B07001_071M,B07001_072E,B07001_072M,B07001_073E,B07001_073M,B07001_074E,B07001_074M,B07001_075E,B07001_075M,B07001_076E,B07001_076M,B07001_077E,B07001_077M,B07001_078E,B07001_078M,B07001_079E,B07001_079M,B07001_080E,B07001_080M,B07001_081E,B07001_081M,B07001_082E,B07001_082M,B07001_083E,B07001_083M,B07001_084E,B07001_084M,B07001_085E,B07001_085M,B07001_086E,B07001_086M,B07001_087E,B07001_087M,B07001_088E,B07001_088M,B07001_089E,B07001_089MA,B07001_090MA,B07001_090EA,B07001_091MA,B07001_091EA,B07001_092EA,B07001_092MA,B07001_093MA,B07001_093EA,B07001_094MA,B07001_094EA,B07001_095MA,B07001_095EA,B07001_096EA,B07001_096MA,NAME,B07001_001MA,B07001_001EA,B07001_002EA,B07001_002MA,B07001_003EA,B07001_003MA,B07001_004EA,B07001_004MA,B07001_005MA,B07001_005EA,B07001_006EA,B07001_006MA,B07001_007MA,B07001_007EA,B07001_008EA,B07001_008MA,B07001_009EA,B07001_009MA,B07001_010EA,B07001_010MA,B07001_011MA,B07001_011EA,B07001_012EA,B07001_012MA,B07001_013MA,B07001_013EA,B07001_014EA,B07001_014MA,B07001_015EA,B07001_015MA,B07001_016MA,B07001_016EA,B07001_017MA,B07001_017EA,B07001_018EA,B07001_018MA,B07001_019EA,B07001_019MA,B07001_020MA,B07001_020EA,B07001_021EA,B07001_021MA,B07001_022EA,B07001_022MA,B07001_023MA,B07001_023EA,B07001_024EA,B07001_024MA,B07001_025EA,B07001_025MA,B07001_026EA,B07001_026MA,B07001_027MA,B07001_027EA,B07001_028EA,B07001_028MA,B07001_029MA,B07001_029EA,B07001_030EA,B07001_030MA,B07001_031EA,B07001_031MA,B07001_032MA,B07001_032EA,B07001_033MA,B07001_033EA,B07001_034MA,B07001_034EA,B07001_035EA,B07001_035MA,B07001_036MA,B07001_036EA,B07001_037EA,B07001_037MA,B07001_038MA,B07001_038EA,B07001_039MA,B07001_039EA,B07001_040MA,B07001_040EA,B07001_041EA,B07001_041MA,B07001_042MA,B07001_042EA,B07001_043EA,B07001_043MA,B07001_044MA,B07001_044EA,B07001_045MA,B07001_045EA,B07001_046MA,B07001_046EA,B07001_047EA,B07001_047MA,B07001_048EA,B07001_048MA,B07001_049MA,B07001_049EA,B07001_050EA,B07001_050MA,B07001_051EA,B07001_051MA,B07001_052EA,B07001_052MA,B07001_053EA,B07001_053MA,B07001_054EA,B07001_054MA,B07001_055MA,B07001_055EA,B07001_056MA,B07001_056EA,B07001_057EA,B07001_057MA,B07001_058MA,B07001_058EA,B07001_059EA,B07001_059MA,B07001_060MA,B07001_060EA,B07001_061MA,B07001_061EA,B07001_062EA,B07001_062MA,B07001_063EA,B07001_063MA,B07001_064EA,B07001_064MA,B07001_065EA,B07001_065MA,B07001_066MA,B07001_066EA,B07001_067MA,B07001_067EA,B07001_068EA,B07001_068MA,B07001_069MA,B07001_069EA,B07001_070EA,B07001_070MA,B07001_071MA,B07001_071EA,B07001_072MA,B07001_072EA,B07001_073MA,B07001_073EA,B07001_074EA,B07001_074MA,B07001_075MA,B07001_075EA,B07001_076EA,B07001_076MA,B07001_077EA,B07001_077MA,B07001_078MA,B07001_078EA,B07001_079EA,B07001_079MA,B07001_080EA,B07001_080MA,B07001_081EA,B07001_081MA,B07001_082MA,B07001_082EA,B07001_083EA,B07001_083MA,B07001_084MA,B07001_084EA,B07001_085EA,B07001_085MA,B07001_086EA,B07001_086MA,B07001_087EA,B07001_087MA,B07001_088MA,B07001_088EA,B07001_089EA,state
759,883,347,919,446,420,263,540,369,398,331,387,279,335,291,0400000US01,4781296,3371,239928,3976,817537,3418,143127,4379,355257,5832,304933,4085,307840,4435,298461,7581,309872,6064,317593,3645,343249,2857,330028,7265,291933,7125,243049,5753,176662,5598,301827,2270,4067683,20967,188396,4607,697184,8609,101591,4514,253653,7045,222734,5714,242369,5525,247518,7768,264540,6671,286191,4535,309298,3885,302356,7146,270864,6939,228568,5795,168480,5371,283941,3119,437486,16645,35363,3495,83018,6406,16045,2659,60230,4245,50041,4227,38650,3772,32248,3527,28397,2909,19319,2049,20116,2201,16555,2775,14121,2269,7971,1475,4326,953,11086,1764,157097,8661,9155,1900,22794,3390,14343,1679,23069,2382,17895,2273,17862,2830,9875,1645,9719,1738,6646,1501,7676,1533,6378,1561,3597,993,3041,923,1864,777,3183,876,104102,7789,6094,1493,12411,2838,10491,1575,16205,2466,12734,2328,7577,1566,7826,1731,5882,1458,4554,981,5240,1657,4319,1263,2811,804,3071,1059,1605,716,3282,1166,14928,3443,920,569,2130,796,657,544,2100,1589,1529,877,1382,802,994,598,1334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
311,116,148,102,113,84,94,407,342,43,47,0,147,366,500,0400000US02,725193,1551,44766,1657,133661,1231,23359,2201,60748,2236,60708,1562,53300,1488,46757,2719,43189,2466,47034,1577,54119,1572,52598,2426,39370,2300,27134,1694,16022,1337,22428,951,583799,9191,31027,1957,111151,3347,18112,2171,37335,2800,37062,2415,38218,2139,37431,2826,36177,2577,41291,1601,49602,1737,48461,2448,36550,2311,25448,1675,15279,1323,20655,1051,80919,7810,8912,1989,13978,2775,2333,600,12209,1917,14809,2446,7479,1482,5408,1355,3631,1247,4197,1088,1935,623,2225,757,1244,415,1336,549,384,241,839,417,19034,3150,1607,708,3374,994,1273,490,2424,624,2323,712,2015,757,1199,506,1291,612,756,342,806,300,773,369,524,261,57,51,266,329,346,201,34360,4808,3046,945,4637,1852,1325,405,6861,1299,5042,1269,5013,1332,2057,737,1766,652,674,415,1674,791,1055,607,645,332,250,233,93,99,222,152,7081,1794,174,176,521,455,316,317,1919,642,1472,769,575,323,662,391,324,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
710,1499,597,1651,729,2301,684,2692,839,1786,625,837,410,1336,528,0400000US04,6543362,4567,346819,4751,1185881,1273,183576,2872,482349,3587,440289,2845,440651,2381,405348,8666,427538,8501,406744,2377,428003,1986,400718,6764,376722,6788,328507,6890,260899,6713,429318,1565,5321158,29468,260494,5586,981715,10342,127365,3584,310175,7502,293134,7008,332029,5950,322677,8860,356672,9140,346654,4405,374883,5090,354999,6925,333081,6607,298097,6962,235267,7564,393916,3700,817002,24944,63929,4803,154132,9910,31690,3407,115940,5895,95219,5675,75272,5280,58503,4997,48925,5153,42397,3309,35111,3616,27806,2476,22355,2479,14166,1840,12158,2013,19399,2327,124345,9072,7580,1685,16783,3379,10921,1524,19333,2832,15866,2418,11535,2083,7724,1529,8010,1495,5829,1317,5292,1199,4279,1233,3488,1077,2151,630,2760,927,2794,843,236146,10894,12339,2304,28181,3449,12000,1731,29972,3106,28737,3409,18159,2180,13296,2220,11535,2130,10365,1942,11066,1771,11333,2167,15106,2329,12307,1811,9877,1993,11873,2171,44711,4328,2477,1074,5070,1409,1600,644,6929,1486,7333,1747,3656,1235,3148,902,2396,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
379,210,188,676,727,208,189,123,131,286,207,267,171,392,270,0400000US05,2923642,3216,154471,3794,521420,2750,81004,3954,206244,4925,191629,4693,192224,3924,175365,6819,192224,6331,188680,3019,200083,2874,191520,5686,175236,5443,149337,3785,111510,3907,192695,1494,2475807,16481,118060,5045,437739,6083,59492,3710,137496,5152,141296,5324,151465,4661,149173,6171,166319,6256,169467,3195,181550,3460,176588,5373,163479,5493,139235,4008,103365,3875,181083,2199,264994,12601,22177,2815,53177,5284,9036,1575,41673,4290,29483,3320,23543,3251,14750,1703,15600,2659,12429,1897,12436,1971,8775,1606,6530,1793,4849,1249,3419,875,7117,1209,102843,7925,7732,2057,15113,2948,7820,1322,17219,2208,12906,2433,9481,1829,5327,1579,5276,1334,3717,832,2587,696,3445,972,3238,1012,3528,1160,2839,1044,2615,844,70621,8082,5885,1787,13520,2879,4255,1068,9073,1755,6704,1403,6410,2155,5643,1860,4523,1095,2857,982,2834,895,2504,707,1866,666,1439,558,1620,863,1488,562,9377,2360,617,476,1871,846,401,246,783,362,1240,581,1325,842,472,386,506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2714,11142,1925,13906,1975,10323,1918,11510,1574,9520,1686,5562,1109,9101,1642,0400000US06,37873189,9076,2041233,9742,6673619,3473,1089266,4757,2921839,5814,2837147,4157,2745425,4368,2546192,19703,2613720,18757,2581610,3590,2625794,3918,2386587,17829,2016649,18053,1576729,13113,1116177,12873,2101202,2901,32197933,60116,1646579,14131,5794117,22251,820657,8362,2164938,14720,2093338,17651,2155321,13595,2115585,19683,2262896,19563,2293294,9635,2353422,9224,2178035,16464,1860440,16536,1466671,13085,1041415,12595,1951225,6927,3825262,58143,293208,11039,677717,21318,133021,7151,471473,12964,466353,13615,398512,12049,293751,9136,248183,10356,204770,8591,186946,7561,140209,6967,96635,5496,68037,4179,47131,3737,99316,5170,1073069,24084,61094,4795,113018,7267,96105,5309,160551,7333,150010,6921,112814,6146,82952,5917,57739,3807,51482,4122,50979,3656,40813,3752,32642,3086,22141,2265,14501,2027,26228,2647,485477,17797,28847,3367,51584,4956,25035,2465,77309,5425,84345,6518,49477,3900,33588,3530,27940,2760,20922,2101,20541,2383,17207,2318,15422,2055,10360,1503,7568,1306,15332,2664,291448,14033,11505,1544,37183,4181,14448,2119,47568,4741,43101,4164,29301,2952,20316,2782,16962,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1569,1009,509,561,380,765,448,972,462,628,363,198,153,318,199,0400000US08,5206012,3835,271218,4283,907752,3528,144333,3454,368474,4049,389507,2922,387153,2815,357636,7615,362711,8047,342997,2375,372103,2423,348854,6264,308331,6254,233164,4495,149548,4335,262231,2091,4186643,26465,205400,6241,758738,9625,89963,3580,206262,6478,240535,4914,284036,5599,281865,7293,302885,7728,295709,4555,328930,3902,314140,6694,280506,6245,216873,4627,139705,4701,241096,2474,523267,23311,37032,3638,88340,7474,19766,2910,83661,5455,71986,4491,49512,4911,41471,3763,31921,3176,26325,3240,21247,2585,16643,2079,12178,2146,6675,1146,4478,1087,12032,1858,255253,11338,15104,2304,29148,3694,18829,1562,39072,3461,38179,3100,30813,3812,16530,2158,13912,1969,11227,1992,12730,1867,9217,1662,8229,1618,4754,1438,2477,760,5032,1123,206543,11855,11929,1969,26088,3544,13830,1251,34190,3343,33612,2977,19428,2590,14745,2291,10147,1843,8727,1946,8635,1521,8089,1604,6446,1255,4234,1413,2690,921,3753,871,34306,4249,1753,745,5438,1496,1945,774,5289,1248,5195,1333,3364,1017,3025,931,3846,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
865,1020,574,283,230,830,490,721,413,634,313,368,253,880,476,0400000US09,3562959,2829,157625,2856,594596,1199,108001,1482,237422,2252,222554,1916,216595,1731,205898,6236,242259,6639,270177,1766,285888,1410,260273,5017,217165,5226,170510,4246,122874,4232,251122,1236,3127421,14790,128481,3854,534690,4819,86509,2683,183456,4196,161724,4455,166314,4401,175866,5894,218843,6173,246129,3146,263576,2984,242870,4616,203584,5619,162093,4181,117704,4352,235582,2202,256086,11811,17999,2366,42058,4252,6705,1231,26534,2769,33782,3368,30577,3380,17192,2410,14147,1814,16377,2168,16351,2510,9311,1867,7021,1156,4522,908,3693,1221,9817,1483,69809,4939,2960,1071,5151,1633,7538,1400,12764,2108,13410,2195,6406,1299,3691,853,3231,913,3032,801,2452,612,3288,1149,2011,665,1463,720,444,318,1968,660,88351,6859,7172,1738,9173,1846,5955,1073,12395,2105,10290,1911,11145,1808,7915,1738,4321,1178,3619,1034,3226,946,3974,1383,3828,1421,1798,960,665,364,2875,1149,21292,3176,1013,589,3524,1137,1294,519,2273,784,3348,1077,2153,870,1234,616,1717,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
133,0,189,150,143,394,314,163,166,375,390,365,296,418,367,0400000US10,914025,1666,44511,1689,147453,360,25182,915,67149,1233,61081,763,57958,1156,57836,3050,53949,3127,62220,988,68581,1058,61435,3162,59725,3120,48378,1933,37627,1932,60940,594,791278,8053,35924,1982,131106,2733,18230,1057,46939,2043,44076,2287,46635,2364,50749,3264,49128,3021,56006,1610,63705,1423,56194,2988,54465,3051,44798,1960,35904,2117,57419,851,72316,6212,5950,1610,11311,2320,2904,783,11692,1693,10334,1725,7231,1612,3825,1283,2783,815,4355,1374,2885,1002,3166,897,2621,864,1044,472,597,315,1618,434,9047,1808,254,227,987,493,795,410,1650,683,1194,708,1023,415,443,361,414,344,472,328,159,110,417,308,389,385,265,246,84,139,501,292,36790,3896,2194,830,3622,1283,3214,806,6245,1357,5080,1440,2733,985,2184,1083,1541,593,1387,621,1682,614,1264,607,2087,833,1896,632,677,460,984,459,4594,1249,189,191,427,341,39,58,623,436,397,294,336,298,635,338,83,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
601,320,237,460,287,305,211,0,203,62,102,0,203,32,55,0400000US11,636535,1515,31147,1506,70471,143,21525,2327,60378,2383,76164,604,68582,102,47000,2669,42855,2707,38029,437,38273,532,36080,1829,32070,1844,23534,1381,17549,1188,32878,598,509958,6417,26691,1671,61216,2110,11244,1404,34515,2503,49528,2008,53116,1985,39184,2630,36476,2517,32474,1237,34178,848,32919,2031,28523,2085,21355,1464,16705,1191,31834,641,68917,5785,2877,1274,5999,2024,3189,1526,13501,2467,13302,2157,8976,1690,4523,1087,3011,712,3513,1105,2699,828,1860,620,2766,957,1617,634,384,225,700,289,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,46571,3601,1156,733,2013,764,6618,1628,10194,1639,10876,1744,5118,1326,2729,967,2160,939,1722,602,936,423,996,538,781,411,500,267,460,377,312,216,11089,2078,423,317,1243,564,474,333,2168,997,2458,889,1372,694,564,397,1208,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2562,7299,1724,10004,2240,8403,2157,9377,1724,9611,1871,8578,1798,8981,1513,0400000US12,19345059,7799,866248,8302,2954681,3358,493791,6114,1303343,7698,1239584,5105,1195802,5729,1135093,16869,1274412,17801,1321861,5457,1404900,5341,1326202,14144,1184859,13346,1118151,10837,866770,10187,1659362,4454,16199361,50810,674350,10868,2476577,17481,369345,7867,930945,12960,881961,12024,920402,12678,914324,16490,1078153,16054,1146036,8766,1235074,8592,1177618,14176,1059923,12905,1011552,11889,792533,10420,1530568,7577,1844378,37626,129836,8001,309464,14217,55117,4463,210911,8823,214178,8938,167579,8700,134161,7945,121060,7067,110309,6844,97351,6006,83153,5862,62760,5227,47776,3959,33512,3353,67211,5081,597741,22637,29279,4316,77769,7488,42716,3500,85098,6353,73762,6220,54232,4466,41024,5277,34895,3465,33568,3001,31590,3109,24869,2751,20161,2519,17056,2587,10289,1532,21433,2764,529406,20819,24657,3253,66773,7427,21674,2815,60050,5149,52684,4307,37559,3455,32136,4120,28363,4320,24649,2707,30881,3670,32159,3501,32638,2660,32156,3245,21858,2809,31169,3342,174173,11757,8126,2091,24098,4045,4939,1352,16339,2513,16999,2844,16030,2252,13448,2880,11941,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
