GEO_ID,C25095_001E,C25095_001M,C25095_002E,C25095_002M,C25095_003E,C25095_003M,C25095_004E,C25095_004M,C25095_005E,C25095_005M,C25095_006E,C25095_006M,C25095_007E,C25095_007M,C25095_008E,C25095_008M,C25095_009E,C25095_009M,C25095_010E,C25095_010M,C25095_011E,C25095_011M,C25095_012E,C25095_012M,C25095_013E,C25095_013M,C25095_014E,C25095_014M,C25095_015E,C25095_015M,C25095_016E,C25095_016M,C25095_017E,C25095_017M,C25095_018E,C25095_018M,C25095_019E,C25095_019M,C25095_020E,C25095_020M,C25095_021E,C25095_021M,C25095_022E,C25095_022M,C25095_023E,C25095_023M,C25095_024E,C25095_024M,C25095_025E,C25095_025M,C25095_026E,C25095_026M,C25095_027E,C25095_027M,C25095_028E,C25095_028M,C25095_029E,C25095_029M,NAME,C25095_001EA,C25095_001MA,C25095_002MA,C25095_002EA,C25095_003EA,C25095_003MA,C25095_004MA,C25095_004EA,C25095_005MA,C25095_005EA,C25095_006EA,C25095_006MA,C25095_007EA,C25095_007MA,C25095_008MA,C25095_008EA,C25095_009EA,C25095_009MA,C25095_010MA,C25095_010EA,C25095_011EA,C25095_011MA,C25095_012EA,C25095_012MA,C25095_013EA,C25095_013MA,C25095_014EA,C25095_014MA,C25095_015MA,C25095_015EA,C25095_016MA,C25095_016EA,C25095_017EA,C25095_017MA,C25095_018EA,C25095_018MA,C25095_019EA,C25095_019MA,C25095_020MA,C25095_020EA,C25095_021EA,C25095_021MA,C25095_022EA,C25095_022MA,C25095_023EA,C25095_023MA,C25095_024MA,C25095_024EA,C25095_025MA,C25095_025EA,C25095_026MA,C25095_026EA,C25095_027MA,C25095_027EA,C25095_028EA,C25095_028MA,C25095_029EA,C25095_029MA,state
0400000US01,1240017,12974,71045,3858,7442,1075,49291,3226,14312,1868,121301,5819,58360,3439,62941,4187,0,192,196478,5757,129173,4651,67305,3247,0,192,187676,6215,148657,5495,39019,3116,0,192,248449,7372,225671,7067,22778,2140,0,192,158790,5535,152905,5583,5885,1135,0,192,256278,6966,251833,6831,4445,1137,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156107,3268,3372,733,302,165,2747,650,323,209,7509,969,2124,438,5385,959,0,147,11724,1369,6362,1034,5362,814,0,147,14867,1641,9396,1382,5471,920,0,147,26447,2560,18512,2210,7935,1251,0,147,24802,2009,21089,1818,3713,895,0,147,67386,3187,65344,3079,2042,714,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1490031,12319,75081,4421,8207,1254,45149,3314,21725,2328,115598,4590,46380,3086,69218,4191,0,203,215638,6347,117430,4531,98208,4651,0,203,210473,6594,142720,5041,67753,4095,0,203,292036,8180,238654,6672,53382,3358,0,203,201096,5846,183537,5793,17559,2116,0,203,380109,8953,367518,9086,12591,1879,0,203,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,739987,8706,38321,2663,5695,1110,24801,2313,7825,1452,80435,3847,41787,2664,38648,3018,0,192,125805,5038,88539,4423,37266,3044,0,192,116309,5128,99154,4399,17155,1831,0,192,149628,6136,140001,6024,9627,1737,0,192,92950,3988,90221,3872,2729,982,0,192,136539,5021,134642,5030,1897,742,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6804639,28833,214446,6754,9402,1187,144051,5127,60993,4520,376828,9184,102196,4765,274632,7638,0,203,669855,10822,274528,6599,395327,8541,0,203,708729,11597,331999,6912,376730,8472,0,203,1142538,15304,639106,11612,503432,9333,0,203,935451,14189,644100,13109,291351,7807,0,203,2756792,21554,2409425,21719,347367,7854,0,203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1291945,10661,37346,2680,2269,682,26864,2192,8213,1439,71968,3908,22988,2048,48980,3388,0,195,138830,5243,64244,3040,74586,3867,0,195,151122,5579,83951,4250,67171,4024,0,195,240522,6556,177317,5543,63205,4006,0,195,203593,7179,180934,7100,22659,1910,0,195,448564,7494,432744,7271,15820,1922,0,195,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,888478,8542,20467,2117,23,37,14554,1624,5890,1188,36347,2950,2688,792,33659,2805,0,201,75384,4501,18738,1868,56646,3620,0,201,82727,3829,38112,2399,44615,3058,0,201,150807,6193,83589,4116,67218,4242,0,201,131513,4739,97318,4409,34195,3098,0,201,391233,7443,362403,7697,28830,2613,0,201,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,243047,3975,8374,1254,408,297,6075,1083,1891,660,15319,1903,5398,1049,9921,1600,0,189,29097,2370,14583,1651,14514,1769,0,189,30919,2559,18962,2066,11957,1656,0,189,48617,2726,36498,2561,12119,1692,0,189,35454,2561,31568,2304,3886,1005,0,189,75267,3318,73556,3353,1711,530,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110513,3814,3989,853,86,108,2717,704,1186,490,4031,836,655,294,3376,814,0,203,6717,1238,2643,749,4074,1024,0,203,6944,1052,3538,770,3406,817,0,203,14844,1819,9039,1299,5805,1270,0,203,13843,1879,9051,1713,4792,1067,0,203,60145,3153,56363,2969,3782,843,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4672482,24352,240723,6697,18450,2204,161034,5509,61239,3880,427692,10211,136135,5303,291557,8978,0,218,732743,14512,380692,9113,352051,10468,0,218,684147,13289,449647,11304,234500,9071,0,218,908297,16947,701778,15155,206519,7741,0,218,588295,12264,516056,11005,72239,4210,0,218,1090585,14257,1032535,14879,58050,3950,0,218,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
