GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002MA,C17001A_002EA,C17001A_003MA,C17001A_003EA,C17001A_004EA,C17001A_004MA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007EA,C17001A_007MA,C17001A_008MA,C17001A_008EA,C17001A_009EA,C17001A_009MA,C17001A_010MA,C17001A_010EA,C17001A_011MA,C17001A_011EA,C17001A_012EA,C17001A_012MA,C17001A_013MA,C17001A_013EA,C17001A_014MA,C17001A_014EA,C17001A_015EA,C17001A_015MA,C17001A_016MA,C17001A_016EA,C17001A_017EA,C17001A_017MA,C17001A_018EA,C17001A_018MA,C17001A_019MA,C17001A_019EA,state
0400000US01,3264644,8343,450152,16420,201160,8373,66380,4664,119940,6125,14840,1742,248992,10592,61464,5226,159557,7074,27971,2180,2814492,17992,1402343,9742,286189,4815,881172,7198,234982,1989,1412149,11284,274195,5567,851377,7459,286577,2377,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,478022,2976,29384,3547,13979,1942,4389,1162,8581,1220,1009,533,15405,2026,3846,1096,10562,1279,997,395,448638,4406,239445,2578,49971,1454,164844,1943,24630,682,209193,2578,44925,1649,141153,1697,23115,680,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5130999,20974,837235,28376,384915,16058,138353,9589,219577,8960,26985,2382,452320,16960,136987,7902,269380,10158,45953,3614,4293764,27420,2142647,15784,457746,8384,1289164,10439,395737,2862,2151117,16877,429563,8445,1276496,10449,445058,3538,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2245933,6982,356411,13726,160601,8297,58318,4765,90820,5507,11463,1530,195810,8612,53357,4308,119264,5383,23189,2372,1889522,13913,943724,8209,198107,5099,581501,5412,164116,1712,945798,8950,188730,4156,567080,6314,189988,2364,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23326800,60535,3553541,52560,1639798,26463,577761,14644,954678,19377,107359,5149,1913743,31051,555887,16731,1163928,19159,193928,6070,19773259,69291,9978154,40300,2079579,17944,6473124,31557,1425451,6529,9795105,36445,1975489,15086,6122563,24958,1697053,7991,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4327283,16202,497725,18988,226667,10136,70710,5599,141706,7136,14251,1647,271058,11421,66769,5478,179180,7477,25109,2076,3829558,23245,1937732,12423,421048,6196,1266401,9158,250283,1874,1891826,13322,401304,6765,1201456,9122,289066,2581,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2703360,12191,214194,11728,94323,5577,28389,3439,56400,4048,9534,1266,119871,7420,23727,3331,76712,4751,19432,1731,2489166,16253,1225172,8545,253007,4420,777558,5906,194607,1944,1263994,9321,238813,4133,780585,5763,244596,2113,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,623035,4988,60851,6399,26740,3630,6927,1997,17115,2353,2698,836,34111,3555,7756,1978,21656,2491,4699,909,562184,7452,275883,4299,54470,1834,170673,3152,50740,922,286301,3943,51011,1835,174245,2891,61045,1006,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247573,5061,20758,2902,8744,1586,250,237,7820,1381,674,562,12014,2201,1005,883,9681,1662,1328,679,226815,5093,115086,3103,15114,1076,89194,2413,10778,609,111729,2792,13149,1245,86406,2026,12174,716,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14629577,24480,2115697,50227,960227,26393,270958,13683,574326,16183,114943,5629,1155470,28652,262195,12337,702463,18658,190812,7362,12513880,50786,6196309,29215,1104503,15407,3764985,17243,1326821,6628,6317571,27553,1045327,12804,3729479,18315,1542765,7590,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
