C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,C08128_001M,C08128_001EA,C08128_001MA,C08128_002M,C08128_002EA,C08128_002MA,C08128_003M,C08128_003EA,C08128_003MA,C08128_004M,C08128_004EA,C08128_004MA,C08128_005M,C08128_005EA,C08128_005MA,C08128_006M,C08128_006EA,C08128_006MA,C08128_007M,C08128_007EA,C08128_007MA,C08128_008M,C08128_008EA,C08128_008MA,C08128_009M,C08128_009EA,C08128_009MA,C08128_010M,C08128_010EA,C08128_010MA,C08128_011M,C08128_011EA,C08128_011MA,C08128_012M,C08128_012EA,C08128_012MA,C08128_013M,C08128_013EA,C08128_013MA,C08128_014M,C08128_014EA,C08128_014MA,C08128_015M,C08128_015EA,C08128_015MA,C08128_016M,C08128_016EA,C08128_016MA,C08128_017M,C08128_017EA,C08128_017MA,C08128_018M,C08128_018EA,C08128_018MA,C08128_019M,C08128_019EA,C08128_019MA,C08128_020M,C08128_020EA,C08128_020MA,C08128_021M,C08128_021EA,C08128_021MA,C08128_022M,C08128_022EA,C08128_022MA,C08128_023M,C08128_023EA,C08128_023MA,C08128_024M,C08128_024EA,C08128_024MA,C08128_025M,C08128_025EA,C08128_025MA,C08128_026M,C08128_026EA,C08128_026MA,C08128_027M,C08128_027EA,C08128_027MA,C08128_028M,C08128_028EA,C08128_028MA,C08128_029M,C08128_029EA,C08128_029MA,C08128_030M,C08128_030EA,C08128_030MA,state
644442,7930,504277,7075,85781,4086,53794,3670,590,297,511012,7721,403726,6916,74701,3765,32158,2819,427,283,57703,4689,46570,4568,5852,1113,5281,1436,0,172,4232,1194,3417,981,647,549,122,101,46,76,34244,3369,27545,3149,3458,965,3182,859,59,64,37251,2868,23019,2178,1123,434,13051,1882,58,71,7930,null,null,7075,null,null,4086,null,null,3670,null,null,297,null,null,7721,null,null,6916,null,null,3765,null,null,2819,null,null,283,null,null,4689,null,null,4568,null,null,1113,null,null,1436,null,null,172,null,null,1194,null,null,981,null,null,549,null,null,101,null,null,76,null,null,3369,null,null,3149,null,null,965,null,null,859,null,null,64,null,null,2868,null,null,2178,null,null,434,null,null,1882,null,null,71,null,null,23
3044986,14069,2217820,16897,675592,12778,148314,6177,3260,1046,2247708,18093,1650248,15957,510067,11022,85775,4802,1618,694,273968,11235,210592,10771,50496,3713,12702,2047,178,242,258950,9111,178176,7927,75305,4328,5372,1523,97,116,119951,6295,91091,6069,20983,1998,7600,1547,277,237,144409,5484,87713,4347,18741,2131,36865,3120,1090,577,14069,null,null,16897,null,null,12778,null,null,6177,null,null,1046,null,null,18093,null,null,15957,null,null,11022,null,null,4802,null,null,694,null,null,11235,null,null,10771,null,null,3713,null,null,2047,null,null,242,null,null,9111,null,null,7927,null,null,4328,null,null,1523,null,null,116,null,null,6295,null,null,6069,null,null,1998,null,null,1547,null,null,237,null,null,5484,null,null,4347,null,null,2131,null,null,3120,null,null,577,null,null,24
3504937,19583,2872657,18269,423165,10700,204698,8055,4417,917,2457107,17071,1998266,17243,333316,8480,123271,5743,2254,711,267156,9285,226735,8480,27785,2801,12514,2139,122,145,354611,11031,316882,10228,32375,2459,5245,1222,109,111,245974,6775,214221,7039,21315,2528,9261,1527,1177,700,180089,7217,116553,5780,8374,1255,54407,4040,755,277,19583,null,null,18269,null,null,10700,null,null,8055,null,null,917,null,null,17071,null,null,17243,null,null,8480,null,null,5743,null,null,711,null,null,9285,null,null,8480,null,null,2801,null,null,2139,null,null,145,null,null,11031,null,null,10228,null,null,2459,null,null,1222,null,null,111,null,null,6775,null,null,7039,null,null,2528,null,null,1527,null,null,700,null,null,7217,null,null,5780,null,null,1255,null,null,4040,null,null,277,null,null,25
4492590,20589,3803239,21300,463965,8831,218659,7392,6727,1289,3700498,19489,3166783,19171,394325,8558,135337,5158,4053,771,398251,9788,341159,9797,34511,2929,21588,2192,993,520,64250,4525,54685,4305,8368,1550,1135,484,62,104,149030,5943,122011,5586,17215,1695,9496,1385,308,179,180561,7063,118601,4916,9546,1544,51103,3626,1311,518,20589,null,null,21300,null,null,8831,null,null,7392,null,null,1289,null,null,19489,null,null,19171,null,null,8558,null,null,5158,null,null,771,null,null,9788,null,null,9797,null,null,2929,null,null,2192,null,null,520,null,null,4525,null,null,4305,null,null,1550,null,null,484,null,null,104,null,null,5943,null,null,5586,null,null,1695,null,null,1385,null,null,179,null,null,7063,null,null,4916,null,null,1544,null,null,3626,null,null,518,null,null,26
2868581,11316,2377926,13471,331564,7854,155158,5340,3933,721,2232605,13337,1877845,13952,265585,6372,87124,4034,2051,610,246345,8194,207801,7697,28319,2565,9923,1461,302,237,103966,4963,87142,4535,15448,1844,1376,502,0,149,118234,5482,94544,4823,15114,1842,8187,1054,389,239,167431,5157,110594,4048,7098,1137,48548,2525,1191,344,11316,null,null,13471,null,null,7854,null,null,5340,null,null,721,null,null,13337,null,null,13952,null,null,6372,null,null,4034,null,null,610,null,null,8194,null,null,7697,null,null,2565,null,null,1461,null,null,237,null,null,4963,null,null,4535,null,null,1844,null,null,502,null,null,149,null,null,5482,null,null,4823,null,null,1842,null,null,1054,null,null,239,null,null,5157,null,null,4048,null,null,1137,null,null,2525,null,null,344,null,null,27
1215225,13303,915502,11745,229897,8950,67869,4747,1957,670,1027773,14985,779641,13099,200209,8979,46931,3902,992,534,119367,6969,90470,6309,21199,2745,7512,1681,186,154,3700,873,2866,801,793,455,41,73,0,213,37095,3565,26685,3212,6065,1125,4012,1228,333,273,27290,2754,15840,2122,1631,560,9373,1954,446,398,13303,null,null,11745,null,null,8950,null,null,4747,null,null,670,null,null,14985,null,null,13099,null,null,8979,null,null,3902,null,null,534,null,null,6969,null,null,6309,null,null,2745,null,null,1681,null,null,154,null,null,873,null,null,801,null,null,455,null,null,73,null,null,213,null,null,3565,null,null,3212,null,null,1125,null,null,1228,null,null,273,null,null,2754,null,null,2122,null,null,560,null,null,1954,null,null,398,null,null,28
2863373,17471,2343227,17036,356908,10408,157013,7168,6225,1189,2340513,17274,1948763,16234,296230,9313,92212,5087,3308,862,248079,9212,200374,8041,33091,3096,13400,1844,1214,558,41004,3799,36362,3416,3157,943,1485,811,0,187,85680,4671,67257,4164,9134,1593,8745,1468,544,409,148097,6489,90471,5105,15296,1304,41171,3827,1159,548,17471,null,null,17036,null,null,10408,null,null,7168,null,null,1189,null,null,17274,null,null,16234,null,null,9313,null,null,5087,null,null,862,null,null,9212,null,null,8041,null,null,3096,null,null,1844,null,null,558,null,null,3799,null,null,3416,null,null,943,null,null,811,null,null,187,null,null,4671,null,null,4164,null,null,1593,null,null,1468,null,null,409,null,null,6489,null,null,5105,null,null,1304,null,null,3827,null,null,548,null,null,29
496311,5572,369611,6439,83594,4322,41098,3124,2008,611,377028,6907,287096,6550,65546,3784,23513,2547,873,402,45455,3765,34021,3518,7925,1483,3354,918,155,133,3352,976,2541,855,790,380,21,26,0,168,38895,3153,27639,2742,7841,1441,2933,914,482,334,31581,2917,18314,2049,1492,494,11277,1981,498,350,5572,null,null,6439,null,null,4322,null,null,3124,null,null,611,null,null,6907,null,null,6550,null,null,3784,null,null,2547,null,null,402,null,null,3765,null,null,3518,null,null,1483,null,null,918,null,null,133,null,null,976,null,null,855,null,null,380,null,null,26,null,null,168,null,null,3153,null,null,2742,null,null,1441,null,null,914,null,null,334,null,null,2917,null,null,2049,null,null,494,null,null,1981,null,null,350,null,null,30
974207,7682,779568,9224,137888,5008,54953,2835,1798,665,799206,8689,647442,9644,117106,4546,33396,2168,1262,523,87568,4926,70816,4624,12184,1709,4443,812,125,126,5806,1169,4810,1043,709,353,287,248,0,159,38602,2836,30058,2885,5639,887,2802,623,103,90,43025,3288,26442,2750,2250,629,14025,1399,308,218,7682,null,null,9224,null,null,5008,null,null,2835,null,null,665,null,null,8689,null,null,9644,null,null,4546,null,null,2168,null,null,523,null,null,4926,null,null,4624,null,null,1709,null,null,812,null,null,126,null,null,1169,null,null,1043,null,null,353,null,null,248,null,null,159,null,null,2836,null,null,2885,null,null,887,null,null,623,null,null,90,null,null,3288,null,null,2750,null,null,629,null,null,1399,null,null,218,null,null,31
1356018,11498,1124585,11584,160378,5402,69819,4537,1236,538,1068116,11663,890132,11906,133181,5015,44064,3471,739,441,137953,7003,113798,6441,18154,1882,5774,1271,227,163,46044,3908,42513,3734,1472,596,2059,948,0,210,46695,3503,39552,3252,4527,881,2590,744,26,40,57210,4456,38590,3604,3044,984,15332,2442,244,188,11498,null,null,11584,null,null,5402,null,null,4537,null,null,538,null,null,11663,null,null,11906,null,null,5015,null,null,3471,null,null,441,null,null,7003,null,null,6441,null,null,1882,null,null,1271,null,null,163,null,null,3908,null,null,3734,null,null,596,null,null,948,null,null,210,null,null,3503,null,null,3252,null,null,881,null,null,744,null,null,40,null,null,4456,null,null,3604,null,null,984,null,null,2442,null,null,188,null,null,32
