B19301F_001E,B19301F_001M,B19301F_001M,B19301F_001EA,B19301F_001MA,state
18854,830,830,null,null,12
14917,1379,1379,null,null,13
23599,5242,5242,null,null,15
14958,2735,2735,null,null,16
16643,506,506,null,null,17
15500,1210,1210,null,null,18
15504,1790,1790,null,null,19
16666,1775,1775,null,null,20
15398,2564,2564,null,null,21
16256,1712,1712,null,null,22
27102,20080,20080,null,null,23
19294,1028,1028,null,null,24
19193,1079,1079,null,null,25
16406,1207,1207,null,null,26
17576,2188,2188,null,null,27
15371,3727,3727,null,null,28
16493,2117,2117,null,null,29
16629,4872,4872,null,null,30
14502,1754,1754,null,null,31
15697,867,867,null,null,32
38548,11959,11959,null,null,33
18686,831,831,null,null,34
18322,1846,1846,null,null,35
17224,402,402,null,null,36
13450,705,705,null,null,37
22208,8558,8558,null,null,38
17017,1877,1877,null,null,39
13643,1122,1122,null,null,40
16810,1238,1238,null,null,41
14588,872,872,null,null,42
14444,1520,1520,null,null,44
13754,1250,1250,null,null,45
16397,3162,3162,null,null,46
12517,1299,1299,null,null,47
17217,442,442,null,null,48
15073,863,863,null,null,49
15783,7773,7773,null,null,50
19480,1371,1371,null,null,51
16463,718,718,null,null,53
18149,6934,6934,null,null,54
15369,1065,1065,null,null,55
17929,4073,4073,null,null,56
9544,422,422,null,null,72
14182,2654,2654,null,null,01
20258,4333,4333,null,null,02
15089,583,583,null,null,04
12294,1071,1071,null,null,05
16936,231,231,null,null,06
19637,945,945,null,null,08
17974,1084,1084,null,null,09
15808,2992,2992,null,null,10
25664,4998,4998,null,null,11
