B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,B05003F_001M,B05003F_001EA,B05003F_001MA,B05003F_002M,B05003F_002EA,B05003F_002MA,B05003F_003M,B05003F_003EA,B05003F_003MA,B05003F_004M,B05003F_004EA,B05003F_004MA,B05003F_005M,B05003F_005EA,B05003F_005MA,B05003F_006M,B05003F_006EA,B05003F_006MA,B05003F_007M,B05003F_007EA,B05003F_007MA,B05003F_008M,B05003F_008EA,B05003F_008MA,B05003F_009M,B05003F_009EA,B05003F_009MA,B05003F_010M,B05003F_010EA,B05003F_010MA,B05003F_011M,B05003F_011EA,B05003F_011MA,B05003F_012M,B05003F_012EA,B05003F_012MA,B05003F_013M,B05003F_013EA,B05003F_013MA,B05003F_014M,B05003F_014EA,B05003F_014MA,B05003F_015M,B05003F_015EA,B05003F_015MA,B05003F_016M,B05003F_016EA,B05003F_016MA,B05003F_017M,B05003F_017EA,B05003F_017MA,B05003F_018M,B05003F_018EA,B05003F_018MA,B05003F_019M,B05003F_019EA,B05003F_019MA,B05003F_020M,B05003F_020EA,B05003F_020MA,B05003F_021M,B05003F_021EA,B05003F_021MA,B05003F_022M,B05003F_022EA,B05003F_022MA,B05003F_023M,B05003F_023EA,B05003F_023MA,state
570424,25434,286395,14306,70953,6939,64324,6370,6629,1689,2311,1107,4318,1217,215442,10321,102344,7723,113098,8111,48369,4227,64729,6161,284029,13927,73708,5403,67920,5488,5788,1583,1653,936,4135,1434,210321,11195,93891,8047,116430,8063,62393,5533,54037,5202,25434,null,null,14306,null,null,6939,null,null,6370,null,null,1689,null,null,1107,null,null,1217,null,null,10321,null,null,7723,null,null,8111,null,null,4227,null,null,6161,null,null,13927,null,null,5403,null,null,5488,null,null,1583,null,null,936,null,null,1434,null,null,11195,null,null,8047,null,null,8063,null,null,5533,null,null,5202,null,null,12
299220,21983,160171,12280,56716,7188,53018,6662,3698,1326,292,243,3406,1289,103455,6979,28352,3559,75103,6380,12045,2353,63058,6014,139049,11474,51341,5344,48220,5197,3121,1208,322,353,2799,1178,87708,7186,32536,4350,55172,5387,11338,1896,43834,5158,21983,null,null,12280,null,null,7188,null,null,6662,null,null,1326,null,null,243,null,null,1289,null,null,6979,null,null,3559,null,null,6380,null,null,2353,null,null,6014,null,null,11474,null,null,5344,null,null,5197,null,null,1208,null,null,353,null,null,1178,null,null,7186,null,null,4350,null,null,5387,null,null,1896,null,null,5158,null,null,13
12321,2548,7292,1575,1383,676,1229,599,154,222,154,222,0,185,5909,1322,4650,1092,1259,566,397,213,862,525,5029,1342,1324,782,1226,763,98,162,98,162,0,185,3705,869,2571,764,1134,502,412,255,722,472,2548,null,null,1575,null,null,676,null,null,599,null,null,222,null,null,222,null,null,185,null,null,1322,null,null,1092,null,null,566,null,null,213,null,null,525,null,null,1342,null,null,782,null,null,763,null,null,162,null,null,162,null,null,185,null,null,869,null,null,764,null,null,502,null,null,255,null,null,472,null,null,15
66137,7319,34472,3862,12926,2039,12481,2080,445,479,0,198,445,479,21546,2573,9488,1860,12058,2122,3766,1176,8292,1926,31665,4007,11963,2398,11662,2285,301,316,0,198,301,316,19702,2215,10998,1733,8704,1819,2610,910,6094,1609,7319,null,null,3862,null,null,2039,null,null,2080,null,null,479,null,null,198,null,null,479,null,null,2573,null,null,1860,null,null,2122,null,null,1176,null,null,1926,null,null,4007,null,null,2398,null,null,2285,null,null,316,null,null,198,null,null,316,null,null,2215,null,null,1733,null,null,1819,null,null,910,null,null,1609,null,null,16
822784,24826,420839,13248,132543,7158,124667,6966,7876,2057,958,533,6918,1943,288296,8758,111701,7203,176595,8186,50842,3703,125753,6969,401945,14140,130606,7113,125103,7219,5503,1603,726,415,4777,1446,271339,9045,118233,6958,153106,6558,49804,4515,103302,6311,24826,null,null,13248,null,null,7158,null,null,6966,null,null,2057,null,null,533,null,null,1943,null,null,8758,null,null,7203,null,null,8186,null,null,3703,null,null,6969,null,null,14140,null,null,7113,null,null,7219,null,null,1603,null,null,415,null,null,1446,null,null,9045,null,null,6958,null,null,6558,null,null,4515,null,null,6311,null,null,17
157755,11013,84193,5898,29478,3203,26626,3079,2852,1264,130,138,2722,1235,54715,4165,25459,2698,29256,3617,7713,1605,21543,3238,73562,6266,27897,3272,25840,3081,2057,796,456,313,1601,731,45665,3726,21444,2773,24221,2882,6119,1250,18102,2600,11013,null,null,5898,null,null,3203,null,null,3079,null,null,1264,null,null,138,null,null,1235,null,null,4165,null,null,2698,null,null,3617,null,null,1605,null,null,3238,null,null,6266,null,null,3272,null,null,3081,null,null,796,null,null,313,null,null,731,null,null,3726,null,null,2773,null,null,2882,null,null,1250,null,null,2600,null,null,18
42129,4612,21961,2622,6752,1306,5548,1089,1204,807,241,242,963,694,15209,1931,5330,1204,9879,1321,2887,823,6992,1306,20168,2640,6962,1339,6040,1170,922,499,90,102,832,502,13206,1688,4710,1055,8496,1204,2038,601,6458,1148,4612,null,null,2622,null,null,1306,null,null,1089,null,null,807,null,null,242,null,null,694,null,null,1931,null,null,1204,null,null,1321,null,null,823,null,null,1306,null,null,2640,null,null,1339,null,null,1170,null,null,499,null,null,102,null,null,502,null,null,1688,null,null,1055,null,null,1204,null,null,601,null,null,1148,null,null,19
74123,7806,38084,4860,12497,2581,10865,2044,1632,1477,608,591,1024,941,25587,2913,11027,1768,14560,2356,3918,1119,10642,1988,36039,3895,12582,2521,12152,2501,430,341,142,153,288,294,23457,2552,10343,1767,13114,1920,3649,883,9465,1648,7806,null,null,4860,null,null,2581,null,null,2044,null,null,1477,null,null,591,null,null,941,null,null,2913,null,null,1768,null,null,2356,null,null,1119,null,null,1988,null,null,3895,null,null,2521,null,null,2501,null,null,341,null,null,153,null,null,294,null,null,2552,null,null,1767,null,null,1920,null,null,883,null,null,1648,null,null,20
37591,5245,21394,3559,7813,2037,6759,1973,1054,822,488,536,566,627,13581,2288,3839,945,9742,2107,2245,1158,7497,1733,16197,2555,5468,1522,5065,1420,403,320,42,54,361,310,10729,1949,4202,1072,6527,1508,1402,725,5125,1383,5245,null,null,3559,null,null,2037,null,null,1973,null,null,822,null,null,536,null,null,627,null,null,2288,null,null,945,null,null,2107,null,null,1158,null,null,1733,null,null,2555,null,null,1522,null,null,1420,null,null,320,null,null,54,null,null,310,null,null,1949,null,null,1072,null,null,1508,null,null,725,null,null,1383,null,null,21
68208,6424,39565,4047,11540,2213,8422,2274,3118,1212,180,161,2938,1207,28025,3063,10005,1769,18020,2788,3633,1107,14387,2572,28643,3318,9588,1814,8539,1768,1049,572,31,69,1018,574,19055,2253,5546,1144,13509,1938,3054,1114,10455,1879,6424,null,null,4047,null,null,2213,null,null,2274,null,null,1212,null,null,161,null,null,1207,null,null,3063,null,null,1769,null,null,2788,null,null,1107,null,null,2572,null,null,3318,null,null,1814,null,null,1768,null,null,572,null,null,69,null,null,574,null,null,2253,null,null,1144,null,null,1938,null,null,1114,null,null,1879,null,null,22
