B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,B15012_001M,B15012_001EA,B15012_001MA,B15012_002M,B15012_002EA,B15012_002MA,B15012_003M,B15012_003EA,B15012_003MA,B15012_004M,B15012_004EA,B15012_004MA,B15012_005M,B15012_005EA,B15012_005MA,B15012_006M,B15012_006EA,B15012_006MA,B15012_007M,B15012_007EA,B15012_007MA,B15012_008M,B15012_008EA,B15012_008MA,B15012_009M,B15012_009EA,B15012_009MA,B15012_010M,B15012_010EA,B15012_010MA,B15012_011M,B15012_011EA,B15012_011MA,B15012_012M,B15012_012EA,B15012_012MA,B15012_013M,B15012_013EA,B15012_013MA,B15012_014M,B15012_014EA,B15012_014MA,B15012_015M,B15012_015EA,B15012_015MA,B15012_016M,B15012_016EA,B15012_016MA,state
4477958,39155,170186,7505,221559,8412,128666,6843,210489,7506,332519,9581,337616,9575,29723,3291,459371,14442,1032914,18669,587952,12177,169109,6918,203059,7527,151830,6488,176908,7408,266057,9524,39155,null,null,7505,null,null,8412,null,null,6843,null,null,7506,null,null,9581,null,null,9575,null,null,3291,null,null,14442,null,null,18669,null,null,12177,null,null,6918,null,null,7527,null,null,6488,null,null,7408,null,null,9524,null,null,12
2199232,23752,112088,5547,117763,6141,62095,4043,98885,5201,148760,6743,151989,6964,14988,2202,205603,7541,522937,12240,276717,9499,84122,4475,95994,6287,76175,5216,93814,4647,137302,7298,23752,null,null,5547,null,null,6141,null,null,4043,null,null,5201,null,null,6743,null,null,6964,null,null,2202,null,null,7541,null,null,12240,null,null,9499,null,null,4475,null,null,6287,null,null,5216,null,null,4647,null,null,7298,null,null,13
335131,8029,12174,1536,24280,2384,12073,1599,18734,2196,32175,2562,22580,2663,2670,820,35071,2539,64239,3487,39477,2889,13932,1902,13776,1630,14008,1595,9881,1362,20061,1703,8029,null,null,1536,null,null,2384,null,null,1599,null,null,2196,null,null,2562,null,null,2663,null,null,820,null,null,2539,null,null,3487,null,null,2889,null,null,1902,null,null,1630,null,null,1595,null,null,1362,null,null,1703,null,null,15
324429,9577,9161,1365,32920,3478,12933,1872,12206,1839,17465,2083,21715,2443,3587,1348,37213,3591,50223,3509,50126,3281,18716,2835,15625,2262,10073,1763,11233,1575,21233,2894,9577,null,null,1365,null,null,3478,null,null,1872,null,null,1839,null,null,2083,null,null,2443,null,null,1348,null,null,3591,null,null,3509,null,null,3281,null,null,2835,null,null,2262,null,null,1763,null,null,1575,null,null,2894,null,null,16
3160975,21478,149743,6373,168194,6461,87036,4305,149036,6029,252957,7235,218910,6528,20864,1695,300989,7538,660725,13221,401397,8078,131053,5035,153939,5651,136903,4897,157443,6696,171786,6115,21478,null,null,6373,null,null,6461,null,null,4305,null,null,6029,null,null,7235,null,null,6528,null,null,1695,null,null,7538,null,null,13221,null,null,8078,null,null,5035,null,null,5651,null,null,4897,null,null,6696,null,null,6115,null,null,17
1214536,17140,49276,4043,66295,3934,38480,3655,49529,3730,68689,3621,83264,4069,6017,1022,144757,5778,241122,7569,199425,6710,43212,3613,65928,4257,38601,3075,42975,3079,76966,4384,17140,null,null,4043,null,null,3934,null,null,3655,null,null,3730,null,null,3621,null,null,4069,null,null,1022,null,null,5778,null,null,7569,null,null,6710,null,null,3613,null,null,4257,null,null,3075,null,null,3079,null,null,4384,null,null,18
647715,12282,23609,2489,51083,3192,16142,1812,27368,2102,38338,2392,35245,3136,3687,787,63098,3628,132327,5903,113539,5274,23971,2495,32192,3006,19851,1867,26293,2571,40972,2706,12282,null,null,2489,null,null,3192,null,null,1812,null,null,2102,null,null,2392,null,null,3136,null,null,787,null,null,3628,null,null,5903,null,null,5274,null,null,2495,null,null,3006,null,null,1867,null,null,2571,null,null,2706,null,null,19
671232,11792,24553,2246,49889,3163,18372,1991,26556,2417,38380,2340,40717,2711,3632,832,69404,3347,134822,5289,117872,4942,21728,2331,31423,2478,24251,2189,27164,2455,42469,3394,11792,null,null,2246,null,null,3163,null,null,1991,null,null,2417,null,null,2340,null,null,2711,null,null,832,null,null,3347,null,null,5289,null,null,4942,null,null,2331,null,null,2478,null,null,2189,null,null,2455,null,null,3394,null,null,20
762503,12756,26304,2415,48165,3314,24497,2496,33329,2728,46112,2803,38684,2831,5521,1082,88231,4765,152471,6013,118753,5150,30968,2715,39001,2808,23934,2180,32683,2824,53850,3945,12756,null,null,2415,null,null,3314,null,null,2496,null,null,2728,null,null,2803,null,null,2831,null,null,1082,null,null,4765,null,null,6013,null,null,5150,null,null,2715,null,null,2808,null,null,2180,null,null,2824,null,null,3945,null,null,21
773783,14846,25056,2378,50267,4077,27621,2846,32304,2866,41296,3272,40188,3107,4773,1035,98122,4968,152676,6102,126514,6063,23518,2640,55861,4500,24524,2450,22707,2204,48356,4140,14846,null,null,2378,null,null,4077,null,null,2846,null,null,2866,null,null,3272,null,null,3107,null,null,1035,null,null,4968,null,null,6102,null,null,6063,null,null,2640,null,null,4500,null,null,2450,null,null,2204,null,null,4140,null,null,22
315835,8739,9472,1383,22248,2030,7747,1081,17309,1716,27464,2423,15926,1935,3886,967,34084,2590,43079,3495,47397,3249,21112,2152,19776,2336,16114,2103,10546,1739,19675,2195,8739,null,null,1383,null,null,2030,null,null,1081,null,null,1716,null,null,2423,null,null,1935,null,null,967,null,null,2590,null,null,3495,null,null,3249,null,null,2152,null,null,2336,null,null,2103,null,null,1739,null,null,2195,null,null,23
