B19113B_001E,B19113B_001M,B19113B_001M,B19113B_001EA,B19113B_001MA,state
43966,1214,1214,null,null,12
49004,1309,1309,null,null,13
81072,16830,16830,null,null,15
91056,48192,48192,null,null,16
44481,1610,1610,null,null,17
40315,2589,2589,null,null,18
30149,3167,3167,null,null,19
43303,3060,3060,null,null,20
38447,2452,2452,null,null,21
33610,1236,1236,null,null,22
31751,12796,12796,null,null,23
75532,2682,2682,null,null,24
55628,4163,4163,null,null,25
40753,945,945,null,null,26
39722,2757,2757,null,null,27
35442,1972,1972,null,null,28
42729,1780,1780,null,null,29
46429,10233,10233,null,null,30
38694,3068,3068,null,null,31
47318,4237,4237,null,null,32
51513,26145,26145,null,null,33
61394,1782,1782,null,null,34
48047,5313,5313,null,null,35
56173,1307,1307,null,null,36
42399,1118,1118,null,null,37
28323,10202,10202,null,null,38
39184,1434,1434,null,null,39
39914,2506,2506,null,null,40
50690,10950,10950,null,null,41
44398,1743,1743,null,null,42
54366,7058,7058,null,null,44
40720,1286,1286,null,null,45
32336,12770,12770,null,null,46
42058,1710,1710,null,null,47
51721,1237,1237,null,null,48
33635,17813,17813,null,null,49
35230,32922,32922,null,null,50
58887,1856,1856,null,null,51
54144,5533,5533,null,null,53
46599,7293,7293,null,null,54
35757,1984,1984,null,null,55
48432,31893,31893,null,null,56
23070,1132,1132,null,null,72
39112,1634,1634,null,null,01
56210,13645,13645,null,null,02
47731,4965,4965,null,null,04
37306,2019,2019,null,null,05
57447,1824,1824,null,null,06
53632,3582,3582,null,null,08
53685,2432,2432,null,null,09
53793,7255,7255,null,null,10
50956,3464,3464,null,null,11
