C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,C23002B_001M,C23002B_001EA,C23002B_001MA,C23002B_002M,C23002B_002EA,C23002B_002MA,C23002B_003M,C23002B_003EA,C23002B_003MA,C23002B_004M,C23002B_004EA,C23002B_004MA,C23002B_005M,C23002B_005EA,C23002B_005MA,C23002B_006M,C23002B_006EA,C23002B_006MA,C23002B_007M,C23002B_007EA,C23002B_007MA,C23002B_008M,C23002B_008EA,C23002B_008MA,C23002B_009M,C23002B_009EA,C23002B_009MA,C23002B_010M,C23002B_010EA,C23002B_010MA,C23002B_011M,C23002B_011EA,C23002B_011MA,C23002B_012M,C23002B_012EA,C23002B_012MA,C23002B_013M,C23002B_013EA,C23002B_013MA,C23002B_014M,C23002B_014EA,C23002B_014MA,C23002B_015M,C23002B_015EA,C23002B_015MA,C23002B_016M,C23002B_016EA,C23002B_016MA,C23002B_017M,C23002B_017EA,C23002B_017MA,C23002B_018M,C23002B_018EA,C23002B_018MA,C23002B_019M,C23002B_019EA,C23002B_019MA,C23002B_020M,C23002B_020EA,C23002B_020MA,C23002B_021M,C23002B_021EA,C23002B_021MA,C23002B_022M,C23002B_022EA,C23002B_022MA,C23002B_023M,C23002B_023EA,C23002B_023MA,C23002B_024M,C23002B_024EA,C23002B_024MA,C23002B_025M,C23002B_025EA,C23002B_025MA,C23002B_026M,C23002B_026EA,C23002B_026MA,C23002B_027M,C23002B_027EA,C23002B_027MA,state
2558900,15070,1206515,9443,1056794,9374,728447,10775,4924,1066,723523,10911,648503,10723,75020,5686,328347,10126,149721,2575,27524,2903,26340,2886,1184,549,122197,3723,1352385,8544,1145176,7772,813286,10812,1024,686,812262,10811,735104,10057,77158,5175,331890,9960,207209,2449,27712,2303,25799,2285,1913,783,179497,3052,15070,null,null,9443,null,null,9374,null,null,10775,null,null,1066,null,null,10911,null,null,10723,null,null,5686,null,null,10126,null,null,2575,null,null,2903,null,null,2886,null,null,549,null,null,3723,null,null,8544,null,null,7772,null,null,10812,null,null,686,null,null,10811,null,null,10057,null,null,5175,null,null,9960,null,null,2449,null,null,2303,null,null,2285,null,null,783,null,null,3052,null,null,12
2493425,9631,1137233,5836,1015125,5726,705467,9435,9264,1583,696203,9819,628320,9463,67883,5650,309658,9731,122108,1910,22284,2068,21402,2114,882,412,99824,2902,1356192,7200,1165849,6778,844245,11412,1876,863,842369,11336,770860,11679,71509,5631,321604,10673,190343,2123,24124,2393,22431,2185,1693,1012,166219,2989,9631,null,null,5836,null,null,5726,null,null,9435,null,null,1583,null,null,9819,null,null,9463,null,null,5650,null,null,9731,null,null,1910,null,null,2068,null,null,2114,null,null,412,null,null,2902,null,null,7200,null,null,6778,null,null,11412,null,null,863,null,null,11336,null,null,11679,null,null,5631,null,null,10673,null,null,2123,null,null,2393,null,null,2185,null,null,1012,null,null,2989,null,null,13
22312,1600,14819,1125,14069,1147,12113,1203,4080,896,8033,1242,7838,1235,195,220,1956,754,750,277,153,133,153,133,0,185,597,251,7493,1157,7354,1143,5391,1114,986,560,4405,1080,3475,920,930,616,1963,601,139,143,0,185,0,185,0,185,139,143,1600,null,null,1125,null,null,1147,null,null,1203,null,null,896,null,null,1242,null,null,1235,null,null,220,null,null,754,null,null,277,null,null,133,null,null,133,null,null,185,null,null,251,null,null,1157,null,null,1143,null,null,1114,null,null,560,null,null,1080,null,null,920,null,null,616,null,null,601,null,null,143,null,null,185,null,null,185,null,null,185,null,null,143,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1422913,6783,655478,4473,571094,4362,377319,5955,1746,618,375573,6004,314744,6752,60829,3708,193775,6974,84384,955,12557,1491,12126,1534,431,232,71827,1648,767435,4728,635139,4652,453363,6592,648,465,452715,6723,391463,6521,61252,3814,181776,6416,132296,1159,18431,1618,16689,1540,1742,539,113865,2106,6783,null,null,4473,null,null,4362,null,null,5955,null,null,618,null,null,6004,null,null,6752,null,null,3708,null,null,6974,null,null,955,null,null,1491,null,null,1534,null,null,232,null,null,1648,null,null,4728,null,null,4652,null,null,6592,null,null,465,null,null,6723,null,null,6521,null,null,3814,null,null,6416,null,null,1159,null,null,1618,null,null,1540,null,null,539,null,null,2106,null,null,17
462456,5213,216794,3411,191494,3446,128578,3784,338,386,128240,3787,112865,3946,15375,2399,62916,4121,25300,1144,3781,907,3457,869,324,245,21519,1130,245662,3674,209444,3454,150884,4818,213,79,150671,4821,136247,4490,14424,2433,58560,4199,36218,1059,5379,932,4960,880,419,244,30839,1285,5213,null,null,3411,null,null,3446,null,null,3784,null,null,386,null,null,3787,null,null,3946,null,null,2399,null,null,4121,null,null,1144,null,null,907,null,null,869,null,null,245,null,null,1130,null,null,3674,null,null,3454,null,null,4818,null,null,79,null,null,4821,null,null,4490,null,null,2433,null,null,4199,null,null,1059,null,null,932,null,null,880,null,null,244,null,null,1285,null,null,18
79207,2927,42245,1871,39559,1892,29630,1819,134,189,29496,1786,26088,2002,3408,1035,9929,1475,2686,447,461,328,461,328,0,159,2225,523,36962,1950,33758,1994,23850,2148,0,159,23850,2148,22262,2092,1588,677,9908,1659,3204,547,584,292,584,292,0,159,2620,460,2927,null,null,1871,null,null,1892,null,null,1819,null,null,189,null,null,1786,null,null,2002,null,null,1035,null,null,1475,null,null,447,null,null,328,null,null,328,null,null,159,null,null,523,null,null,1950,null,null,1994,null,null,2148,null,null,159,null,null,2148,null,null,2092,null,null,677,null,null,1659,null,null,547,null,null,292,null,null,292,null,null,159,null,null,460,null,null,19
128501,3359,66923,2423,59050,2334,41923,2523,1713,700,40210,2535,36208,2508,4002,1340,17127,1857,7873,771,1866,559,1774,564,92,109,6007,792,61578,2191,52163,2088,39709,2266,217,217,39492,2321,36684,2311,2808,1132,12454,1691,9415,733,1548,399,1525,405,23,41,7867,829,3359,null,null,2423,null,null,2334,null,null,2523,null,null,700,null,null,2535,null,null,2508,null,null,1340,null,null,1857,null,null,771,null,null,559,null,null,564,null,null,109,null,null,792,null,null,2191,null,null,2088,null,null,2266,null,null,217,null,null,2321,null,null,2311,null,null,1132,null,null,1691,null,null,733,null,null,399,null,null,405,null,null,41,null,null,829,null,null,20
280797,4479,137921,3363,122364,3319,81154,3399,1843,670,79311,3418,71420,3308,7891,1567,41210,2753,15557,1099,3066,693,2941,689,125,124,12491,1220,142876,3249,122005,3287,90398,3758,276,252,90122,3753,81925,3912,8197,1593,31607,2624,20871,1097,3507,856,3363,845,144,145,17364,970,4479,null,null,3363,null,null,3319,null,null,3399,null,null,670,null,null,3418,null,null,3308,null,null,1567,null,null,2753,null,null,1099,null,null,693,null,null,689,null,null,124,null,null,1220,null,null,3249,null,null,3287,null,null,3758,null,null,252,null,null,3753,null,null,3912,null,null,1593,null,null,2624,null,null,1097,null,null,856,null,null,845,null,null,145,null,null,970,null,null,21
1150708,5030,538155,4145,471697,3832,281991,6370,2738,983,279253,6471,243663,6210,35590,3553,189706,6196,66458,1626,11229,1800,11017,1812,212,219,55229,2325,612553,3579,515150,3608,343679,6419,782,481,342897,6384,311566,6259,31331,3235,171471,5393,97403,1305,15107,1649,14592,1649,515,244,82296,2079,5030,null,null,4145,null,null,3832,null,null,6370,null,null,983,null,null,6471,null,null,6210,null,null,3553,null,null,6196,null,null,1626,null,null,1800,null,null,1812,null,null,219,null,null,2325,null,null,3579,null,null,3608,null,null,6419,null,null,481,null,null,6384,null,null,6259,null,null,3235,null,null,5393,null,null,1305,null,null,1649,null,null,1649,null,null,244,null,null,2079,null,null,22
