B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,B10051A_001M,B10051A_001EA,B10051A_001MA,B10051A_002M,B10051A_002EA,B10051A_002MA,B10051A_003M,B10051A_003EA,B10051A_003MA,B10051A_004M,B10051A_004EA,B10051A_004MA,B10051A_005M,B10051A_005EA,B10051A_005MA,B10051A_006M,B10051A_006EA,B10051A_006MA,B10051A_007M,B10051A_007EA,B10051A_007MA,state
335615,12692,98883,6232,55094,5079,43789,3809,236732,11392,84907,7319,151825,8640,12692,null,null,6232,null,null,5079,null,null,3809,null,null,11392,null,null,7319,null,null,8640,null,null,12
133180,8283,54664,5463,28664,3818,26000,3679,78516,5462,34951,4449,43565,4427,8283,null,null,5463,null,null,3818,null,null,3679,null,null,5462,null,null,4449,null,null,4427,null,null,13
6944,1348,1176,427,225,197,951,410,5768,1283,1799,668,3969,1039,1348,null,null,427,null,null,197,null,null,410,null,null,1283,null,null,668,null,null,1039,null,null,15
21745,3339,7668,1560,4314,1221,3354,971,14077,2515,6857,1871,7220,1597,3339,null,null,1560,null,null,1221,null,null,971,null,null,2515,null,null,1871,null,null,1597,null,null,16
150138,7638,50041,4052,30109,3189,19932,2102,100097,6177,43745,4441,56352,4487,7638,null,null,4052,null,null,3189,null,null,2102,null,null,6177,null,null,4441,null,null,4487,null,null,17
98941,6047,46101,3454,29443,3111,16658,1940,52840,4521,26372,3019,26468,3265,6047,null,null,3454,null,null,3111,null,null,1940,null,null,4521,null,null,3019,null,null,3265,null,null,18
35458,3135,14480,1834,9081,1544,5399,1014,20978,2612,10669,1592,10309,1696,3135,null,null,1834,null,null,1544,null,null,1014,null,null,2612,null,null,1592,null,null,1696,null,null,19
36018,3319,14666,1845,8458,1326,6208,1237,21352,2628,10725,1927,10627,1653,3319,null,null,1845,null,null,1326,null,null,1237,null,null,2628,null,null,1927,null,null,1653,null,null,20
88334,4722,48073,3845,27822,3195,20251,2344,40261,3594,20841,2590,19420,2400,4722,null,null,3845,null,null,3195,null,null,2344,null,null,3594,null,null,2590,null,null,2400,null,null,21
63566,5148,31889,3280,14441,1949,17448,2679,31677,3326,18261,2872,13416,2184,5148,null,null,3280,null,null,1949,null,null,2679,null,null,3326,null,null,2872,null,null,2184,null,null,22
17781,2277,6382,1445,3197,936,3185,925,11399,2043,3865,1137,7534,1638,2277,null,null,1445,null,null,936,null,null,925,null,null,2043,null,null,1137,null,null,1638,null,null,23
62450,4584,23860,3421,14659,2727,9201,1497,38590,3125,16464,2153,22126,2394,4584,null,null,3421,null,null,2727,null,null,1497,null,null,3125,null,null,2153,null,null,2394,null,null,24
85452,5998,23051,2912,12324,2179,10727,1804,62401,4825,21980,2577,40421,4091,5998,null,null,2912,null,null,2179,null,null,1804,null,null,4825,null,null,2577,null,null,4091,null,null,25
120390,6240,44608,3156,26097,2557,18511,1942,75782,5025,34567,3251,41215,3392,6240,null,null,3156,null,null,2557,null,null,1942,null,null,5025,null,null,3251,null,null,3392,null,null,26
43410,3073,13544,1549,7190,1115,6354,1203,29866,2474,13403,1820,16463,1816,3073,null,null,1549,null,null,1115,null,null,1203,null,null,2474,null,null,1820,null,null,1816,null,null,27
43923,4153,22056,2946,13034,2490,9022,1503,21867,2987,10511,1933,11356,2280,4153,null,null,2946,null,null,2490,null,null,1503,null,null,2987,null,null,1933,null,null,2280,null,null,28
90756,5494,44971,4174,28161,3451,16810,2601,45785,3312,20943,2295,24842,2936,5494,null,null,4174,null,null,3451,null,null,2601,null,null,3312,null,null,2295,null,null,2936,null,null,29
