B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,B25116_001M,B25116_001EA,B25116_001MA,B25116_002M,B25116_002EA,B25116_002MA,B25116_003M,B25116_003EA,B25116_003MA,B25116_004M,B25116_004EA,B25116_004MA,B25116_005M,B25116_005EA,B25116_005MA,B25116_006M,B25116_006EA,B25116_006MA,B25116_007M,B25116_007EA,B25116_007MA,B25116_008M,B25116_008EA,B25116_008MA,B25116_009M,B25116_009EA,B25116_009MA,B25116_010M,B25116_010EA,B25116_010MA,B25116_011M,B25116_011EA,B25116_011MA,B25116_012M,B25116_012EA,B25116_012MA,B25116_013M,B25116_013EA,B25116_013MA,B25116_014M,B25116_014EA,B25116_014MA,B25116_015M,B25116_015EA,B25116_015MA,B25116_016M,B25116_016EA,B25116_016MA,B25116_017M,B25116_017EA,B25116_017MA,B25116_018M,B25116_018EA,B25116_018MA,B25116_019M,B25116_019EA,B25116_019MA,B25116_020M,B25116_020EA,B25116_020MA,B25116_021M,B25116_021EA,B25116_021MA,B25116_022M,B25116_022EA,B25116_022MA,B25116_023M,B25116_023EA,B25116_023MA,state
531660,5774,382116,6101,90976,4552,23519,2379,24425,2203,22686,1760,20346,1906,291140,5802,142816,4625,70570,2404,51528,2117,26226,1643,149544,5077,68350,3459,27463,2598,14841,1793,13306,1582,12740,1808,81194,4427,64480,4124,9876,1596,4201,957,2637,593,5774,null,null,6101,null,null,4552,null,null,2379,null,null,2203,null,null,1760,null,null,1906,null,null,5802,null,null,4625,null,null,2404,null,null,2117,null,null,1643,null,null,5077,null,null,3459,null,null,2598,null,null,1793,null,null,1582,null,null,1808,null,null,4427,null,null,4124,null,null,1596,null,null,957,null,null,593,null,null,23
2194657,9484,1445953,10330,325499,6280,102591,4405,77388,3930,76442,2916,69078,3020,1120454,10354,579073,8497,269244,5301,175328,3563,96809,2873,748704,12039,272729,7921,140327,7046,52121,3961,40029,3187,40252,2673,475975,9892,389998,9910,50625,3491,22485,2531,12867,1839,9484,null,null,10330,null,null,6280,null,null,4405,null,null,3930,null,null,2916,null,null,3020,null,null,10354,null,null,8497,null,null,5301,null,null,3563,null,null,2873,null,null,12039,null,null,7921,null,null,7046,null,null,3961,null,null,3187,null,null,2673,null,null,9892,null,null,9910,null,null,3491,null,null,2531,null,null,1839,null,null,24
2579398,8290,1598930,10736,351137,8710,99873,5199,80637,4432,84187,4397,86440,3529,1247793,9710,640810,8179,304420,5543,194047,4433,108516,3223,980468,11621,395082,8431,184770,7090,77114,4072,62568,3909,70630,3730,585386,10568,469612,9041,64398,4109,31395,2740,19981,1816,8290,null,null,10736,null,null,8710,null,null,5199,null,null,4432,null,null,4397,null,null,3529,null,null,9710,null,null,8179,null,null,5543,null,null,4433,null,null,3223,null,null,11621,null,null,8431,null,null,7090,null,null,4072,null,null,3909,null,null,3730,null,null,10568,null,null,9041,null,null,4109,null,null,2740,null,null,1816,null,null,25
3884153,13696,2731283,14647,661956,10066,187891,5715,163711,4667,150589,4744,159765,4590,2069327,13896,1055865,11247,483911,6052,340531,4311,189020,3866,1152870,14709,493112,9030,251786,6802,102972,4510,64588,3653,73766,3640,659758,13308,548888,11700,63703,3502,30537,2443,16630,1580,13696,null,null,14647,null,null,10066,null,null,5715,null,null,4667,null,null,4744,null,null,4590,null,null,13896,null,null,11247,null,null,6052,null,null,4311,null,null,3866,null,null,14709,null,null,9030,null,null,6802,null,null,4510,null,null,3653,null,null,3640,null,null,13308,null,null,11700,null,null,3502,null,null,2443,null,null,1580,null,null,26
2148725,7378,1532031,9426,347212,6483,112321,5377,88272,3383,71282,3154,75337,2879,1184819,9536,659912,8096,269342,4081,166954,3169,88611,2317,616694,8476,281156,6924,141886,5452,48817,3151,34959,2684,55494,2808,335538,8535,284152,7504,26342,2274,12086,1357,12958,1304,7378,null,null,9426,null,null,6483,null,null,5377,null,null,3383,null,null,3154,null,null,2879,null,null,9536,null,null,8096,null,null,4081,null,null,3169,null,null,2317,null,null,8476,null,null,6924,null,null,5452,null,null,3151,null,null,2684,null,null,2808,null,null,8535,null,null,7504,null,null,2274,null,null,1357,null,null,1304,null,null,27
1091245,8803,734114,9343,189413,5938,51632,4206,43910,3110,47692,2761,46179,2944,544701,9248,275299,6944,122843,4583,93973,3692,52586,2570,357131,8635,125042,5742,68011,4876,27511,2775,17014,1986,12506,1914,232089,8580,192630,7474,22565,2303,12089,1710,4805,1115,8803,null,null,9343,null,null,5938,null,null,4206,null,null,3110,null,null,2761,null,null,2944,null,null,9248,null,null,6944,null,null,4583,null,null,3692,null,null,2570,null,null,8635,null,null,5742,null,null,4876,null,null,2775,null,null,1986,null,null,1914,null,null,8580,null,null,7474,null,null,2303,null,null,1710,null,null,1115,null,null,28
2372190,10844,1567597,13680,365713,8238,97423,5248,90132,4197,84415,4167,93743,3253,1201884,11896,623571,10292,272196,4648,197033,4190,109084,3237,804593,10768,326201,8003,175440,7025,62708,4131,41634,3261,46419,3051,478392,9924,392151,8726,48644,3404,23320,2354,14277,1576,10844,null,null,13680,null,null,8238,null,null,5248,null,null,4197,null,null,4167,null,null,3253,null,null,11896,null,null,10292,null,null,4648,null,null,4190,null,null,3237,null,null,10768,null,null,8003,null,null,7025,null,null,4131,null,null,3261,null,null,3051,null,null,9924,null,null,8726,null,null,3404,null,null,2354,null,null,1576,null,null,29
416125,4426,282995,5662,69378,3511,17728,1874,18870,2061,16288,1695,16492,1507,213617,5080,101054,3398,51139,1964,40578,1542,20846,1225,133130,5202,58454,3367,30248,2552,10399,1739,8091,1429,9716,1570,74676,4084,60292,3357,8595,1186,3632,780,2157,503,4426,null,null,5662,null,null,3511,null,null,1874,null,null,2061,null,null,1695,null,null,1507,null,null,5080,null,null,3398,null,null,1964,null,null,1542,null,null,1225,null,null,5202,null,null,3367,null,null,2552,null,null,1739,null,null,1429,null,null,1570,null,null,4084,null,null,3357,null,null,1186,null,null,780,null,null,503,null,null,30
747562,4452,488339,5373,111523,4291,32324,2580,26221,1765,24088,1677,28890,1956,376816,4962,206802,4117,84195,2461,55091,1620,30728,1365,259223,5539,112299,4415,62258,3567,19349,2048,12119,1138,18573,1726,146924,4627,124729,4196,12744,1377,5756,1139,3695,839,4452,null,null,5373,null,null,4291,null,null,2580,null,null,1765,null,null,1677,null,null,1956,null,null,4962,null,null,4117,null,null,2461,null,null,1620,null,null,1365,null,null,5539,null,null,4415,null,null,3567,null,null,2048,null,null,1138,null,null,1726,null,null,4627,null,null,4196,null,null,1377,null,null,1139,null,null,839,null,null,31
1055158,6433,578762,7662,136562,5645,39028,3050,36319,2872,34190,2824,27025,2318,442200,7513,224330,5711,92918,3126,80599,2796,44353,2487,476396,8145,165035,5441,91068,4180,29930,2775,25467,2465,18570,2057,311361,8107,245310,7198,38266,3194,20305,1821,7480,1269,6433,null,null,7662,null,null,5645,null,null,3050,null,null,2872,null,null,2824,null,null,2318,null,null,7513,null,null,5711,null,null,3126,null,null,2796,null,null,2487,null,null,8145,null,null,5441,null,null,4180,null,null,2775,null,null,2465,null,null,2057,null,null,8107,null,null,7198,null,null,3194,null,null,1821,null,null,1269,null,null,32
