B02013_001E,B02013_001M,B02013_001M,B02013_001EA,B02013_001MA,state
664982,27472,27472,null,null,12
341350,21775,21775,null,null,13
30329,4078,4078,null,null,15
73268,7509,7509,null,null,16
895742,25043,25043,null,null,17
177946,11671,11671,null,null,18
46455,5273,5273,null,null,19
83646,7640,7640,null,null,20
48015,5612,5612,null,null,21
76949,6625,6625,null,null,22
3256,928,928,null,null,23
254887,13410,13410,null,null,24
318688,16926,16926,null,null,25
148293,9421,9421,null,null,26
127686,7074,7074,null,null,27
33014,4288,4288,null,null,28
81542,6687,6687,null,null,29
5395,1329,1329,null,null,30
42165,5757,5757,null,null,31
299543,14535,14535,null,null,32
10887,2541,2541,null,null,33
606064,21232,21232,null,null,34
232503,11423,11423,null,null,35
1928061,34285,34285,null,null,36
333531,14082,14082,null,null,37
8007,2660,2660,null,null,38
137866,9748,9748,null,null,39
124081,8081,8081,null,null,40
139013,11783,11783,null,null,41
307169,15259,15259,null,null,42
71037,6284,6284,null,null,44
88354,9669,9669,null,null,45
7531,2276,2276,null,null,46
92283,7937,7937,null,null,47
1777528,39154,39154,null,null,48
180460,10543,10543,null,null,49
3789,1501,1501,null,null,50
266541,13005,13005,null,null,51
393564,14861,14861,null,null,53
9273,1921,1921,null,null,54
144989,7973,7973,null,null,55
7949,2104,2104,null,null,56
593471,20322,20322,null,null,72
77234,7216,7216,null,null,01
15826,3411,3411,null,null,02
643100,20936,20936,null,null,04
97373,5455,5455,null,null,05
6074661,64220,64220,null,null,06
263483,13425,13425,null,null,08
196716,12112,12112,null,null,09
17792,4394,4394,null,null,10
40087,4260,4260,null,null,11
