B07004F_001E,B07004F_001M,B07004F_002E,B07004F_002M,B07004F_003E,B07004F_003M,B07004F_004E,B07004F_004M,B07004F_005E,B07004F_005M,B07004F_006E,B07004F_006M,B07004F_001M,B07004F_001EA,B07004F_001MA,B07004F_002M,B07004F_002EA,B07004F_002MA,B07004F_003M,B07004F_003EA,B07004F_003MA,B07004F_004M,B07004F_004EA,B07004F_004MA,B07004F_005M,B07004F_005EA,B07004F_005MA,B07004F_006M,B07004F_006EA,B07004F_006MA,state
562371,25322,454749,21748,60091,8159,19226,4528,13748,3325,14557,3682,25322,null,null,21748,null,null,8159,null,null,4528,null,null,3325,null,null,3682,null,null,12
294343,21650,247713,19632,25218,5478,9272,2473,7775,3147,4365,1731,21650,null,null,19632,null,null,5478,null,null,2473,null,null,3147,null,null,1731,null,null,13
12136,2514,9742,2235,1561,686,0,185,657,437,176,209,2514,null,null,2235,null,null,686,null,null,185,null,null,437,null,null,209,null,null,15
64028,7024,50787,7025,10222,3788,2166,1559,802,581,51,87,7024,null,null,7025,null,null,3788,null,null,1559,null,null,581,null,null,87,null,null,16
809451,24413,704661,21814,80116,10147,13165,2857,6434,2054,5075,1560,24413,null,null,21814,null,null,10147,null,null,2857,null,null,2054,null,null,1560,null,null,17
155326,10855,126817,10885,16122,3851,4332,1547,5904,2708,2151,1165,10855,null,null,10885,null,null,3851,null,null,1547,null,null,2708,null,null,1165,null,null,18
41345,4528,35269,4564,3139,1238,556,371,1763,873,618,385,4528,null,null,4564,null,null,1238,null,null,371,null,null,873,null,null,385,null,null,19
72902,7855,58985,7003,7786,2973,3827,1612,1459,800,845,586,7855,null,null,7003,null,null,2973,null,null,1612,null,null,800,null,null,586,null,null,20
36879,5261,28653,5403,4719,1404,1129,926,1761,798,617,615,5261,null,null,5403,null,null,1404,null,null,926,null,null,798,null,null,615,null,null,21
67325,6296,51659,6363,7624,3137,3221,1627,2644,1231,2177,1264,6296,null,null,6363,null,null,3137,null,null,1627,null,null,1231,null,null,1264,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
227216,12431,192276,11385,21047,5085,6322,2782,3826,1470,3745,1581,12431,null,null,11385,null,null,5085,null,null,2782,null,null,1470,null,null,1581,null,null,24
282413,15890,236635,16162,28935,5980,7144,1717,4631,2119,5068,1943,15890,null,null,16162,null,null,5980,null,null,1717,null,null,2119,null,null,1943,null,null,25
116836,8744,95159,7926,13327,3145,3751,1744,3134,1372,1465,1315,8744,null,null,7926,null,null,3145,null,null,1744,null,null,1372,null,null,1315,null,null,26
110929,6847,89935,6619,11799,2986,4281,1645,2212,940,2702,1404,6847,null,null,6619,null,null,2986,null,null,1645,null,null,940,null,null,1404,null,null,27
29824,4201,24562,4165,1770,1111,1268,959,1187,646,1037,1152,4201,null,null,4165,null,null,1111,null,null,959,null,null,646,null,null,1152,null,null,28
69457,6284,57935,5376,4512,2066,3246,1773,2892,1245,872,576,6284,null,null,5376,null,null,2066,null,null,1773,null,null,1245,null,null,576,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
37602,5737,30038,5122,4183,1777,1772,987,900,402,709,514,5737,null,null,5122,null,null,1777,null,null,987,null,null,402,null,null,514,null,null,31
270835,14165,218653,13580,41644,6793,1228,703,7857,2651,1453,771,14165,null,null,13580,null,null,6793,null,null,703,null,null,2651,null,null,771,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
535501,20570,468699,19000,39585,6768,13121,3917,8333,2637,5763,2012,20570,null,null,19000,null,null,6768,null,null,3917,null,null,2637,null,null,2012,null,null,34
204553,10881,179955,10576,16613,4056,5733,1919,2199,791,53,96,10881,null,null,10576,null,null,4056,null,null,1919,null,null,791,null,null,96,null,null,35
1741001,34750,1584206,31562,90742,9411,30333,4496,12870,2961,22850,4449,34750,null,null,31562,null,null,9411,null,null,4496,null,null,2961,null,null,4449,null,null,36
300293,14216,253405,12855,22750,4856,11422,3328,8708,2547,4008,1686,14216,null,null,12855,null,null,4856,null,null,3328,null,null,2547,null,null,1686,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
106816,8922,84837,8998,13353,2690,2867,790,3850,1680,1909,1188,8922,null,null,8998,null,null,2690,null,null,790,null,null,1680,null,null,1188,null,null,39
105755,7295,90414,7230,7921,1762,4008,1331,2490,765,922,491,7295,null,null,7230,null,null,1762,null,null,1331,null,null,765,null,null,491,null,null,40
119571,10328,100602,8968,12379,3831,2923,937,2529,842,1138,670,10328,null,null,8968,null,null,3831,null,null,937,null,null,842,null,null,670,null,null,41
257197,13501,197074,12798,36102,6271,10230,3091,9624,2438,4167,1541,13501,null,null,12798,null,null,6271,null,null,3091,null,null,2438,null,null,1541,null,null,42
61009,6164,47087,6127,10347,3946,735,498,1154,680,1686,1847,6164,null,null,6127,null,null,3946,null,null,498,null,null,680,null,null,1847,null,null,44
76279,9506,59582,8132,9138,3300,3230,1875,3221,1506,1108,625,9506,null,null,8132,null,null,3300,null,null,1875,null,null,1506,null,null,625,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
77547,7263,63185,6468,9954,2619,1473,663,1588,845,1347,575,7263,null,null,6468,null,null,2619,null,null,663,null,null,845,null,null,575,null,null,47
1599663,40111,1336531,37841,172729,14498,44457,5775,21613,5553,24333,5165,40111,null,null,37841,null,null,14498,null,null,5775,null,null,5553,null,null,5165,null,null,48
160961,9753,131272,9751,17616,3722,3128,1521,6772,3382,2173,1201,9753,null,null,9751,null,null,3722,null,null,1521,null,null,3382,null,null,1201,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
224584,12098,184803,11648,21643,5565,8103,2182,6452,1945,3583,1104,12098,null,null,11648,null,null,5565,null,null,2182,null,null,1945,null,null,1104,null,null,51
344700,13991,273043,12848,43046,8680,11856,3542,10232,2826,6523,1971,13991,null,null,12848,null,null,8680,null,null,3542,null,null,2826,null,null,1971,null,null,53
7463,1775,5823,1667,541,497,459,399,640,564,0,193,1775,null,null,1667,null,null,497,null,null,399,null,null,564,null,null,193,null,null,54
123088,7637,103019,8128,12492,3463,3050,1170,2731,1233,1796,1102,7637,null,null,8128,null,null,3463,null,null,1170,null,null,1233,null,null,1102,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
69683,6766,57061,6672,7750,3219,1601,1098,2213,1271,1058,851,6766,null,null,6672,null,null,3219,null,null,1098,null,null,1271,null,null,851,null,null,01
12640,3235,8633,2527,2232,1030,100,152,1620,1295,55,56,3235,null,null,2527,null,null,1030,null,null,152,null,null,1295,null,null,56,null,null,02
577129,20571,460980,19671,90137,7902,7353,1785,11431,3622,7228,2883,20571,null,null,19671,null,null,7902,null,null,1785,null,null,3622,null,null,2883,null,null,04
84573,6143,69617,6704,7186,2355,4010,1264,2002,1747,1758,959,6143,null,null,6704,null,null,2355,null,null,1264,null,null,1747,null,null,959,null,null,05
5560599,64398,4938143,62937,446938,19795,122432,9862,19380,4140,33706,4400,64398,null,null,62937,null,null,19795,null,null,9862,null,null,4140,null,null,4400,null,null,06
224999,12561,185691,12979,21729,4653,9443,2208,6375,2306,1761,999,12561,null,null,12979,null,null,4653,null,null,2208,null,null,2306,null,null,999,null,null,08
168812,10704,134219,10134,24495,4799,3578,2156,3815,1958,2705,1418,10704,null,null,10134,null,null,4799,null,null,2156,null,null,1958,null,null,1418,null,null,09
15336,4511,11050,4046,2741,2288,137,116,628,621,780,976,4511,null,null,4046,null,null,2288,null,null,116,null,null,621,null,null,976,null,null,10
36288,4425,29903,3711,4675,2319,0,203,899,537,811,556,4425,null,null,3711,null,null,2319,null,null,203,null,null,537,null,null,556,null,null,11
