C17009_001E,C17009_001M,C17009_002E,C17009_002M,C17009_003E,C17009_003M,C17009_004E,C17009_004M,C17009_005E,C17009_005M,C17009_006E,C17009_006M,C17009_007E,C17009_007M,C17009_008E,C17009_008M,C17009_009E,C17009_009M,C17009_001M,C17009_001EA,C17009_001MA,C17009_002M,C17009_002EA,C17009_002MA,C17009_003M,C17009_003EA,C17009_003MA,C17009_004M,C17009_004EA,C17009_004MA,C17009_005M,C17009_005EA,C17009_005MA,C17009_006M,C17009_006EA,C17009_006MA,C17009_007M,C17009_007EA,C17009_007MA,C17009_008M,C17009_008EA,C17009_008MA,C17009_009M,C17009_009EA,C17009_009MA,state
4129874,39839,1074220,23333,70588,4452,310323,10333,693309,18984,3055654,30776,1621547,23680,511129,13923,922978,13165,39839,null,null,23333,null,null,4452,null,null,10333,null,null,18984,null,null,30776,null,null,23680,null,null,13923,null,null,13165,null,null,12
1753987,23749,467946,11781,30852,3046,156334,7059,280760,9755,1286041,20740,768498,17444,210209,9036,307334,8347,23749,null,null,11781,null,null,3046,null,null,7059,null,null,9755,null,null,20740,null,null,17444,null,null,9036,null,null,8347,null,null,13
245149,9086,61246,4436,2169,685,18660,2781,40417,3530,183903,7031,104836,5325,36423,2979,42644,2956,9086,null,null,4436,null,null,685,null,null,2781,null,null,3530,null,null,7031,null,null,5325,null,null,2979,null,null,2956,null,null,15
297010,10260,89690,5473,6061,1624,32106,3501,51523,4304,207320,8265,110526,6670,40043,3633,56751,3856,10260,null,null,5473,null,null,1624,null,null,3501,null,null,4304,null,null,8265,null,null,6670,null,null,3633,null,null,3856,null,null,16
2399679,24345,576786,13899,33795,3042,190126,8007,352865,10928,1822893,19949,1024414,17167,318835,9597,479644,8813,24345,null,null,13899,null,null,3042,null,null,8007,null,null,10928,null,null,19949,null,null,17167,null,null,9597,null,null,8813,null,null,17
1259718,16610,338575,9695,19826,2141,127030,5697,191719,7338,921143,12901,507071,10381,160676,6581,253396,6894,16610,null,null,9695,null,null,2141,null,null,5697,null,null,7338,null,null,12901,null,null,10381,null,null,6581,null,null,6894,null,null,18
640282,10542,159894,5812,11171,2025,71896,4341,76827,4300,480388,9568,262862,7533,90134,4805,127392,4239,10542,null,null,5812,null,null,2025,null,null,4341,null,null,4300,null,null,9568,null,null,7533,null,null,4805,null,null,4239,null,null,19
556799,12367,146546,6630,13428,1815,58458,4314,74660,4072,410253,9923,231659,9278,72139,4531,106455,3756,12367,null,null,6630,null,null,1815,null,null,4314,null,null,4072,null,null,9923,null,null,9278,null,null,4531,null,null,3756,null,null,20
841953,16423,267948,9209,13245,2057,86125,5586,168578,7127,574005,11858,304680,10062,94920,4879,174405,4740,16423,null,null,9209,null,null,2057,null,null,5586,null,null,7127,null,null,11858,null,null,10062,null,null,4879,null,null,4740,null,null,21
885318,15680,293277,10317,20764,2773,85427,6138,187086,7853,592041,12655,330279,9242,100669,6493,161093,6203,15680,null,null,10317,null,null,2773,null,null,6138,null,null,7853,null,null,12655,null,null,9242,null,null,6493,null,null,6203,null,null,22
301530,7799,76689,4379,4927,1383,25152,2282,46610,3371,224841,7209,109731,5797,49428,3642,65682,3592,7799,null,null,4379,null,null,1383,null,null,2282,null,null,3371,null,null,7209,null,null,5797,null,null,3642,null,null,3592,null,null,23
1102778,17917,232589,8648,13735,2328,71500,5079,147354,6029,870189,14972,529090,11806,143868,6692,197231,5709,17917,null,null,8648,null,null,2328,null,null,5079,null,null,6029,null,null,14972,null,null,11806,null,null,6692,null,null,5709,null,null,24
1410496,17588,301081,9182,12156,2100,85379,5170,203546,7699,1109415,18157,618243,15253,227510,7440,263662,6515,17588,null,null,9182,null,null,2100,null,null,5170,null,null,7699,null,null,18157,null,null,15253,null,null,7440,null,null,6515,null,null,25
2006304,19857,557670,12858,27356,2478,202746,7556,327568,9927,1448634,15979,725935,13837,267412,7261,455287,8006,19857,null,null,12858,null,null,2478,null,null,7556,null,null,9927,null,null,15979,null,null,13837,null,null,7261,null,null,8006,null,null,26
1141776,15431,239179,7103,16348,1953,99553,4910,123278,4598,902597,13884,500158,10545,187018,6298,215421,5898,15431,null,null,7103,null,null,1953,null,null,4910,null,null,4598,null,null,13884,null,null,10545,null,null,6298,null,null,5898,null,null,27
482764,11632,157167,7483,8560,1735,42027,4145,106580,5568,325597,9611,167011,6964,50565,4350,108021,4659,11632,null,null,7483,null,null,1735,null,null,4145,null,null,5568,null,null,9611,null,null,6964,null,null,4350,null,null,4659,null,null,28
1192271,16647,309412,8508,22062,2360,104235,5691,183115,6809,882859,14345,475915,12614,154011,5850,252933,6746,16647,null,null,8508,null,null,2360,null,null,5691,null,null,6809,null,null,14345,null,null,12614,null,null,5850,null,null,6746,null,null,29
231768,7921,64722,4492,4566,1299,30974,3088,29182,2712,167046,7101,84613,4798,36013,3227,46420,2951,7921,null,null,4492,null,null,1299,null,null,3088,null,null,2712,null,null,7101,null,null,4798,null,null,3227,null,null,2951,null,null,30
372566,9361,89423,4273,6211,1064,37644,3160,45568,3534,283143,8260,167210,6887,47985,3092,67948,2884,9361,null,null,4273,null,null,1064,null,null,3160,null,null,3534,null,null,8260,null,null,6887,null,null,3092,null,null,2884,null,null,31
600974,12028,142257,5416,9709,1656,42014,3380,90534,4310,458717,10321,249248,8008,91314,4909,118155,5373,12028,null,null,5416,null,null,1656,null,null,3380,null,null,4310,null,null,10321,null,null,8008,null,null,4909,null,null,5373,null,null,32
270373,8409,51717,4441,1905,519,19436,2811,30376,2948,218656,7260,123798,6215,41072,3287,53786,3144,8409,null,null,4441,null,null,519,null,null,2811,null,null,2948,null,null,7260,null,null,6215,null,null,3287,null,null,3144,null,null,33
1430569,20768,315031,9837,16118,2288,81278,5595,217635,7348,1115538,17419,609853,12120,193678,7724,312007,8093,20768,null,null,9837,null,null,2288,null,null,5595,null,null,7348,null,null,17419,null,null,12120,null,null,7724,null,null,8093,null,null,34
400088,10199,114750,5875,8299,1665,37586,4011,68865,4529,285338,7871,147147,6171,49744,3962,88447,4309,10199,null,null,5875,null,null,1665,null,null,4011,null,null,4529,null,null,7871,null,null,6171,null,null,3962,null,null,4309,null,null,35
