B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,B13012_001M,B13012_001EA,B13012_001MA,B13012_002M,B13012_002EA,B13012_002MA,B13012_003M,B13012_003EA,B13012_003MA,B13012_004M,B13012_004EA,B13012_004MA,B13012_005M,B13012_005EA,B13012_005MA,B13012_006M,B13012_006EA,B13012_006MA,B13012_007M,B13012_007EA,B13012_007MA,B13012_008M,B13012_008EA,B13012_008MA,B13012_009M,B13012_009EA,B13012_009MA,B13012_010M,B13012_010EA,B13012_010MA,B13012_011M,B13012_011EA,B13012_011MA,B13012_012M,B13012_012EA,B13012_012MA,B13012_013M,B13012_013EA,B13012_013MA,B13012_014M,B13012_014EA,B13012_014MA,B13012_015M,B13012_015EA,B13012_015MA,state
2206899,5282,119713,5788,74283,4144,45040,3290,29243,2411,45430,3469,32638,2961,12792,1914,2087186,7398,861533,11422,650459,10400,211074,6148,1225653,11601,889335,12046,336318,7448,5282,null,null,5788,null,null,4144,null,null,3290,null,null,2411,null,null,3469,null,null,2961,null,null,1914,null,null,7398,null,null,11422,null,null,10400,null,null,6148,null,null,11601,null,null,12046,null,null,7448,null,null,26
1226777,4656,69106,3516,50290,2845,37094,2821,13196,1644,18816,1723,13575,1555,5241,1193,1157671,5442,533389,8042,452235,7551,81154,3956,624282,8486,497219,8313,127063,4664,4656,null,null,3516,null,null,2845,null,null,2821,null,null,1644,null,null,1723,null,null,1555,null,null,1193,null,null,5442,null,null,8042,null,null,7551,null,null,3956,null,null,8486,null,null,8313,null,null,4664,null,null,27
696651,5362,37494,3234,18758,2321,12561,2024,6197,1429,18736,2280,12201,1864,6535,1626,659157,6163,271830,7392,201933,6525,69897,3843,387327,8598,246499,7967,140828,6530,5362,null,null,3234,null,null,2321,null,null,2024,null,null,1429,null,null,2280,null,null,1864,null,null,1626,null,null,6163,null,null,7392,null,null,6525,null,null,3843,null,null,8598,null,null,7967,null,null,6530,null,null,28
1362356,5026,75403,4926,47866,3506,30000,2488,17866,2238,27537,3006,19602,2630,7935,1711,1286953,6972,583387,10473,456012,9716,127375,5224,703566,10473,515713,9700,187853,7097,5026,null,null,4926,null,null,3506,null,null,2488,null,null,2238,null,null,3006,null,null,2630,null,null,1711,null,null,6972,null,null,10473,null,null,9716,null,null,5224,null,null,10473,null,null,9700,null,null,7097,null,null,29
217110,2229,10625,1710,8043,1511,5113,1190,2930,867,2582,779,1735,651,847,415,206485,2855,96053,3961,76805,3204,19248,2149,110432,4539,82966,3613,27466,2419,2229,null,null,1710,null,null,1511,null,null,1190,null,null,867,null,null,779,null,null,651,null,null,415,null,null,2855,null,null,3961,null,null,3204,null,null,2149,null,null,4539,null,null,3613,null,null,2419,null,null,30
420582,2833,26962,1973,19452,1692,13343,1306,6109,1349,7510,1342,5894,1137,1616,590,393620,3532,185418,4225,153056,4514,32362,2603,208202,4975,159507,4835,48695,3324,2833,null,null,1973,null,null,1692,null,null,1306,null,null,1349,null,null,1342,null,null,1137,null,null,590,null,null,3532,null,null,4225,null,null,4514,null,null,2603,null,null,4975,null,null,4835,null,null,3324,null,null,31
677839,3289,34128,3011,20236,2163,13721,1902,6515,1239,13892,2088,8400,1391,5492,1454,643711,4796,275586,6605,200296,6066,75290,4660,368125,6939,271020,6798,97105,4854,3289,null,null,3011,null,null,2163,null,null,1902,null,null,1239,null,null,2088,null,null,1391,null,null,1454,null,null,4796,null,null,6605,null,null,6066,null,null,4660,null,null,6939,null,null,6798,null,null,4854,null,null,32
289273,2288,14643,1917,9963,1646,7525,1425,2438,727,4680,1205,3230,1008,1450,651,274630,3091,122603,3681,99209,3868,23394,2231,152027,4364,118082,4465,33945,2702,2288,null,null,1917,null,null,1646,null,null,1425,null,null,727,null,null,1205,null,null,1008,null,null,651,null,null,3091,null,null,3681,null,null,3868,null,null,2231,null,null,4364,null,null,4465,null,null,2702,null,null,33
2043523,4842,96859,5293,69183,4310,46030,3632,23153,2500,27676,2810,18834,2293,8842,1787,1946664,7344,862102,10923,645345,9519,216757,7699,1084562,12188,772911,11789,311651,8405,4842,null,null,5293,null,null,4310,null,null,3632,null,null,2500,null,null,2810,null,null,2293,null,null,1787,null,null,7344,null,null,10923,null,null,9519,null,null,7699,null,null,12188,null,null,11789,null,null,8405,null,null,34
456079,3429,23853,3043,14007,2117,7706,1448,6301,1216,9846,1727,6532,1619,3314,1012,432226,4576,173739,5845,121194,5324,52545,3632,258487,6352,176428,6231,82059,4374,3429,null,null,3043,null,null,2117,null,null,1448,null,null,1216,null,null,1727,null,null,1619,null,null,1012,null,null,4576,null,null,5845,null,null,5324,null,null,3632,null,null,6352,null,null,6231,null,null,4374,null,null,35
