B13015_001E,B13015_001M,B13015_002E,B13015_002M,B13015_003E,B13015_003M,B13015_004E,B13015_004M,B13015_005E,B13015_005M,B13015_006E,B13015_006M,B13015_007E,B13015_007M,B13015_008E,B13015_008M,B13015_009E,B13015_009M,B13015_010E,B13015_010M,B13015_011E,B13015_011M,B13015_012E,B13015_012M,B13015_013E,B13015_013M,B13015_014E,B13015_014M,B13015_015E,B13015_015M,B13015_001M,B13015_001EA,B13015_001MA,B13015_002M,B13015_002EA,B13015_002MA,B13015_003M,B13015_003EA,B13015_003MA,B13015_004M,B13015_004EA,B13015_004MA,B13015_005M,B13015_005EA,B13015_005MA,B13015_006M,B13015_006EA,B13015_006MA,B13015_007M,B13015_007EA,B13015_007MA,B13015_008M,B13015_008EA,B13015_008MA,B13015_009M,B13015_009EA,B13015_009MA,B13015_010M,B13015_010EA,B13015_010MA,B13015_011M,B13015_011EA,B13015_011MA,B13015_012M,B13015_012EA,B13015_012MA,B13015_013M,B13015_013EA,B13015_013MA,B13015_014M,B13015_014EA,B13015_014MA,B13015_015M,B13015_015EA,B13015_015MA,state
4600794,7853,217513,7885,125513,6088,3442,978,122071,6030,92000,5597,7019,1825,84981,5338,4383281,11660,1744646,17882,23502,2726,1721144,17265,2638635,19079,53482,4405,2585153,19620,7853,null,null,7885,null,null,6088,null,null,978,null,null,6030,null,null,5597,null,null,1825,null,null,5338,null,null,11660,null,null,17882,null,null,2726,null,null,17265,null,null,19079,null,null,4405,null,null,19620,null,null,12
2572034,7566,142813,7693,87821,5726,2560,1187,85261,5651,54992,4480,3415,1090,51577,4302,2429221,10356,1020777,14252,10617,1766,1010160,14257,1408444,15556,19781,2574,1388663,15320,7566,null,null,7693,null,null,5726,null,null,1187,null,null,5651,null,null,4480,null,null,1090,null,null,4302,null,null,10356,null,null,14252,null,null,1766,null,null,14257,null,null,15556,null,null,2574,null,null,15320,null,null,13
323189,1919,21614,2197,14620,1866,383,324,14237,1838,6994,1509,1149,571,5845,1311,301575,2595,140111,4529,1963,693,138148,4555,161464,4576,5226,1236,156238,4492,1919,null,null,2197,null,null,1866,null,null,324,null,null,1838,null,null,1509,null,null,571,null,null,1311,null,null,2595,null,null,4529,null,null,693,null,null,4555,null,null,4576,null,null,1236,null,null,4492,null,null,15
383036,2655,23210,2671,16561,2221,530,320,16031,2179,6649,1432,504,367,6145,1411,359826,3461,176831,6324,2518,791,174313,6326,182995,6588,7496,1426,175499,6579,2655,null,null,2671,null,null,2221,null,null,320,null,null,2179,null,null,1432,null,null,367,null,null,1411,null,null,3461,null,null,6324,null,null,791,null,null,6326,null,null,6588,null,null,1426,null,null,6579,null,null,16
3071443,5435,152395,5811,97336,5018,1470,485,95866,4934,55059,3611,4966,1251,50093,3574,2919048,7798,1195137,13118,10265,1226,1184872,13210,1723911,14206,37533,2901,1686378,13909,5435,null,null,5811,null,null,5018,null,null,485,null,null,4934,null,null,3611,null,null,1251,null,null,3574,null,null,7798,null,null,13118,null,null,1226,null,null,13210,null,null,14206,null,null,2901,null,null,13909,null,null,17
1548168,4793,87507,4952,54749,3534,593,325,54156,3529,32758,3623,2195,761,30563,3492,1460661,7332,627684,9597,5565,1167,622119,9502,832977,10134,14510,1791,818467,10322,4793,null,null,4952,null,null,3534,null,null,325,null,null,3529,null,null,3623,null,null,761,null,null,3492,null,null,7332,null,null,9597,null,null,1167,null,null,9502,null,null,10134,null,null,1791,null,null,10322,null,null,18
704948,3518,41605,2988,29028,2670,515,396,28513,2651,12577,1588,1028,447,11549,1550,663343,4545,302303,5922,3516,680,298787,5797,361040,6189,9090,1302,351950,5627,3518,null,null,2988,null,null,2670,null,null,396,null,null,2651,null,null,1588,null,null,447,null,null,1550,null,null,4545,null,null,5922,null,null,680,null,null,5797,null,null,6189,null,null,1302,null,null,5627,null,null,19
660416,3673,35762,2703,25367,2164,285,290,25082,2130,10395,1730,1648,794,8747,1536,624654,4087,291438,6627,3137,939,288301,6587,333216,7354,4992,1000,328224,7119,3673,null,null,2703,null,null,2164,null,null,290,null,null,2130,null,null,1730,null,null,794,null,null,1536,null,null,4087,null,null,6627,null,null,939,null,null,6587,null,null,7354,null,null,1000,null,null,7119,null,null,20
1032658,4411,54853,3408,33761,2956,712,380,33049,3015,21092,2634,1962,674,19130,2491,977805,5277,438065,8805,4440,1048,433625,8805,539740,8695,11290,1773,528450,8684,4411,null,null,3408,null,null,2956,null,null,380,null,null,3015,null,null,2634,null,null,674,null,null,2491,null,null,5277,null,null,8805,null,null,1048,null,null,8805,null,null,8695,null,null,1773,null,null,8684,null,null,21
1116608,4828,61893,4186,31378,2825,220,237,31158,2806,30515,3215,654,450,29861,3094,1054715,6823,398689,9536,3564,1115,395125,9534,656026,10622,10434,1696,645592,10567,4828,null,null,4186,null,null,2825,null,null,237,null,null,2806,null,null,3215,null,null,450,null,null,3094,null,null,6823,null,null,9536,null,null,1115,null,null,9534,null,null,10622,null,null,1696,null,null,10567,null,null,22
