C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,C15002A_001M,C15002A_001EA,C15002A_001MA,C15002A_002M,C15002A_002EA,C15002A_002MA,C15002A_003M,C15002A_003EA,C15002A_003MA,C15002A_004M,C15002A_004EA,C15002A_004MA,C15002A_005M,C15002A_005EA,C15002A_005MA,C15002A_006M,C15002A_006EA,C15002A_006MA,C15002A_007M,C15002A_007EA,C15002A_007MA,C15002A_008M,C15002A_008EA,C15002A_008MA,C15002A_009M,C15002A_009EA,C15002A_009MA,C15002A_010M,C15002A_010EA,C15002A_010MA,C15002A_011M,C15002A_011EA,C15002A_011MA,state
11584929,18609,5590020,11245,657193,14357,1593446,15133,1618352,18762,1721029,20406,5994909,10865,618321,14346,1737437,21966,1872566,17084,1766585,20109,18609,null,null,11245,null,null,14357,null,null,15133,null,null,18762,null,null,20406,null,null,10865,null,null,14346,null,null,21966,null,null,17084,null,null,20109,null,null,12
4196094,10337,2038096,6753,269958,9153,567408,10467,535439,10586,665291,11201,2157998,5901,242008,7823,590248,13321,611419,10689,714323,10753,10337,null,null,6753,null,null,9153,null,null,10467,null,null,10586,null,null,11201,null,null,5901,null,null,7823,null,null,13321,null,null,10689,null,null,10753,null,null,13
268335,2724,143693,1640,5847,1668,27114,2199,51162,3378,59570,2893,124642,1562,3636,980,24308,2366,42329,2854,54369,2778,2724,null,null,1640,null,null,1668,null,null,2199,null,null,3378,null,null,2893,null,null,1562,null,null,980,null,null,2366,null,null,2854,null,null,2778,null,null,15
1000599,4418,490998,2438,42984,3359,141279,5758,163996,6197,142739,5130,509601,2860,40411,3161,138949,5600,190051,5392,140190,5333,4418,null,null,2438,null,null,3359,null,null,5758,null,null,6197,null,null,5130,null,null,2860,null,null,3161,null,null,5600,null,null,5392,null,null,5333,null,null,16
6421241,12235,3122050,6295,293375,8705,845006,12979,887897,11211,1095772,9817,3299191,7688,263607,6998,861005,12228,986747,12514,1187832,10311,12235,null,null,6295,null,null,8705,null,null,12979,null,null,11211,null,null,9817,null,null,7688,null,null,6998,null,null,12228,null,null,12514,null,null,10311,null,null,17
3788926,6101,1833125,3829,206259,6484,645192,9413,508156,8794,473518,8492,1955801,3772,194894,6777,656277,8714,579140,8881,525490,8835,6101,null,null,3829,null,null,6484,null,null,9413,null,null,8794,null,null,8492,null,null,3772,null,null,6777,null,null,8714,null,null,8881,null,null,8835,null,null,18
1933496,3059,941006,2147,76332,3657,317606,6631,291442,5833,255626,6471,992490,2019,63175,3272,295642,5619,341918,6367,291755,6209,3059,null,null,2147,null,null,3657,null,null,6631,null,null,5833,null,null,6471,null,null,2019,null,null,3272,null,null,5619,null,null,6367,null,null,6209,null,null,19
1650245,4450,802678,3098,71200,3774,220713,6929,243084,5253,267681,5783,847567,2477,65874,3298,211109,5490,281154,5926,289430,5683,4450,null,null,3098,null,null,3774,null,null,6929,null,null,5253,null,null,5783,null,null,2477,null,null,3298,null,null,5490,null,null,5926,null,null,5683,null,null,20
2674479,4206,1289108,2836,194098,6878,446478,8434,351336,7544,297196,6893,1385371,2206,181794,5858,427114,8354,435469,7223,340994,6756,4206,null,null,2836,null,null,6878,null,null,8434,null,null,7544,null,null,6893,null,null,2206,null,null,5858,null,null,8354,null,null,7223,null,null,6756,null,null,21
2037772,5208,988383,3750,136059,5895,327784,9206,260897,7764,263643,7123,1049389,2949,113032,5914,353400,8482,292493,7736,290464,8387,5208,null,null,3750,null,null,5895,null,null,9206,null,null,7764,null,null,7123,null,null,2949,null,null,5914,null,null,8482,null,null,7736,null,null,8387,null,null,22
926882,1237,445222,813,39399,3457,158825,4816,123111,5000,123887,4876,481660,946,29298,2826,149661,5251,145931,3905,156770,4720,1237,null,null,813,null,null,3457,null,null,4816,null,null,5000,null,null,4876,null,null,946,null,null,2826,null,null,5251,null,null,3905,null,null,4720,null,null,23
2436346,7294,1176978,4522,102874,5233,288876,5994,278964,7868,506264,7156,1259368,4017,92231,5605,313030,9399,312629,7461,541478,8030,7294,null,null,4522,null,null,5233,null,null,5994,null,null,7868,null,null,7156,null,null,4017,null,null,5605,null,null,9399,null,null,7461,null,null,8030,null,null,24
3842201,9091,1826435,5253,151067,7276,472261,8824,402641,8671,800466,9173,2015766,5164,135478,5301,462972,9626,503733,9243,913583,8997,9091,null,null,5253,null,null,7276,null,null,8824,null,null,8671,null,null,9173,null,null,5164,null,null,5301,null,null,9626,null,null,9243,null,null,8997,null,null,25
5489471,4914,2671394,3235,237906,6891,797032,10565,854686,10451,781770,10367,2818077,2754,215553,5799,832814,9372,951779,11607,817931,10258,4914,null,null,3235,null,null,6891,null,null,10565,null,null,10451,null,null,10367,null,null,2754,null,null,5799,null,null,9372,null,null,11607,null,null,10258,null,null,26
3242452,3735,1590073,2556,90789,4097,429633,7423,517678,7319,551973,7373,1652379,2274,70059,3087,401024,6923,567202,6482,614094,6816,3735,null,null,2556,null,null,4097,null,null,7423,null,null,7319,null,null,7373,null,null,2274,null,null,3087,null,null,6923,null,null,6482,null,null,6816,null,null,27
1215141,3383,585300,2479,85290,4296,176128,6627,182719,6847,141163,5159,629841,2233,67987,3872,188559,6076,206337,7283,166958,5853,3383,null,null,2479,null,null,4296,null,null,6627,null,null,6847,null,null,5159,null,null,2233,null,null,3872,null,null,6076,null,null,7283,null,null,5853,null,null,28
3493148,3656,1689766,2653,166697,5984,553371,8258,486657,9622,483041,8448,1803382,2517,170701,6204,532958,8202,559212,9370,540511,8702,3656,null,null,2653,null,null,5984,null,null,8258,null,null,9622,null,null,8448,null,null,2517,null,null,6204,null,null,8202,null,null,9370,null,null,8702,null,null,29
652363,1675,324853,1521,23729,2542,96221,4175,103240,3557,101663,3507,327510,1096,19663,1836,92439,3972,109928,3534,105480,3876,1675,null,null,1521,null,null,2542,null,null,4175,null,null,3557,null,null,3507,null,null,1096,null,null,1836,null,null,3972,null,null,3534,null,null,3876,null,null,30
1124773,3339,552528,2354,49089,2831,156395,4607,181102,5220,165942,4548,572245,2016,37671,2438,143639,4091,195494,4529,195441,4307,3339,null,null,2354,null,null,2831,null,null,4607,null,null,5220,null,null,4548,null,null,2016,null,null,2438,null,null,4091,null,null,4529,null,null,4307,null,null,31
1408273,8853,709827,5898,87733,4862,211930,7643,239357,6685,170807,5956,698446,4359,84059,5068,199121,6551,243564,5887,171702,6241,8853,null,null,5898,null,null,4862,null,null,7643,null,null,6685,null,null,5956,null,null,4359,null,null,5068,null,null,6551,null,null,5887,null,null,6241,null,null,32
896354,1633,437547,1353,37426,3153,122420,4386,122564,4305,155137,4596,458807,1102,24742,2586,120077,4299,143627,4584,170361,4574,1633,null,null,1353,null,null,3153,null,null,4386,null,null,4305,null,null,4596,null,null,1102,null,null,2586,null,null,4299,null,null,4584,null,null,4574,null,null,33
4344913,13696,2088785,7823,204833,7318,585055,11346,478322,10502,820575,10540,2256128,7835,203176,7281,644722,10098,523008,10571,885222,10270,13696,null,null,7823,null,null,7318,null,null,11346,null,null,10502,null,null,10540,null,null,7835,null,null,7281,null,null,10098,null,null,10571,null,null,10270,null,null,34
1057238,7558,514793,4883,68397,4159,139605,5822,154582,5885,152209,5013,542445,4766,67019,4516,127855,4776,180081,6519,167490,5584,7558,null,null,4883,null,null,4159,null,null,5822,null,null,5885,null,null,5013,null,null,4766,null,null,4516,null,null,4776,null,null,6519,null,null,5584,null,null,35
9009259,17559,4350393,10339,425200,10014,1143614,13891,1081130,13937,1700449,13913,4658866,10513,409762,9937,1196880,13689,1166495,14180,1885729,15807,17559,null,null,10339,null,null,10014,null,null,13891,null,null,13937,null,null,13913,null,null,10513,null,null,9937,null,null,13689,null,null,14180,null,null,15807,null,null,36
4954652,8771,2381359,5272,290507,9338,610666,9918,697022,10789,783164,10331,2573293,5175,240942,7975,628526,10712,841120,10794,862705,10115,8771,null,null,5272,null,null,9338,null,null,9918,null,null,10789,null,null,10331,null,null,5175,null,null,7975,null,null,10712,null,null,10794,null,null,10115,null,null,37
444563,2301,226605,1781,17530,2083,65315,3235,80375,3440,63385,3436,217958,1143,11747,1160,54595,2493,78273,2973,73343,2738,2301,null,null,1781,null,null,2083,null,null,3235,null,null,3440,null,null,3436,null,null,1143,null,null,1160,null,null,2493,null,null,2973,null,null,2738,null,null,38
6674927,6232,3219833,3749,308496,8361,1116702,14804,884198,13292,910437,10097,3455094,3552,297960,7876,1148856,13291,1018079,11630,990199,13272,6232,null,null,3749,null,null,8361,null,null,14804,null,null,13292,null,null,10097,null,null,3552,null,null,7876,null,null,13291,null,null,11630,null,null,13272,null,null,39
1975808,4062,958601,2637,110480,3310,303730,6915,292405,6600,251986,6396,1017207,2300,104551,4478,307575,5316,329799,5594,275282,5926,4062,null,null,2637,null,null,3310,null,null,6915,null,null,6600,null,null,6396,null,null,2300,null,null,4478,null,null,5316,null,null,5594,null,null,5926,null,null,40
2488068,6672,1213723,4545,108930,6023,293424,8501,411949,8670,399420,7546,1274345,3650,98400,5402,283149,7005,467637,9791,425159,7939,6672,null,null,4545,null,null,6023,null,null,8501,null,null,8670,null,null,7546,null,null,3650,null,null,5402,null,null,7005,null,null,9791,null,null,7939,null,null,41
7468949,7556,3604375,4745,327230,8699,1305821,14677,831899,13335,1139425,12518,3864574,4503,308779,7274,1377344,13614,951530,11222,1226921,11140,7556,null,null,4745,null,null,8699,null,null,14677,null,null,13335,null,null,12518,null,null,4503,null,null,7274,null,null,13614,null,null,11222,null,null,11140,null,null,42
617580,3310,290315,1963,29451,2453,85368,4263,73282,4545,102214,4620,327265,2070,31623,2947,86762,4530,89755,4792,119125,4594,3310,null,null,1963,null,null,2453,null,null,4263,null,null,4545,null,null,4620,null,null,2070,null,null,2947,null,null,4530,null,null,4792,null,null,4594,null,null,44
2387052,5858,1150405,3743,139070,6050,316891,7475,334774,9096,359670,7745,1236647,3296,123354,5352,322905,7960,401525,8393,388863,8178,5858,null,null,3743,null,null,6050,null,null,7475,null,null,9096,null,null,7745,null,null,3296,null,null,5352,null,null,7960,null,null,8393,null,null,8178,null,null,45
501633,1528,248510,1094,19745,2100,75824,3161,82908,3442,70033,3297,253123,1148,13735,1603,70491,3414,85223,3359,83674,3427,1528,null,null,1094,null,null,2100,null,null,3161,null,null,3442,null,null,3297,null,null,1148,null,null,1603,null,null,3414,null,null,3359,null,null,3427,null,null,46
3646786,4744,1753945,3293,232579,6886,583426,11234,470597,9538,467343,9614,1892841,3177,215407,6180,608096,10140,553056,10047,516282,9088,4744,null,null,3293,null,null,6886,null,null,11234,null,null,9538,null,null,9614,null,null,3177,null,null,6180,null,null,10140,null,null,10047,null,null,9088,null,null,47
13436720,23673,6576235,14617,1145028,18118,1654732,21189,1837490,20544,1938985,19409,6860485,13065,1113612,18122,1702685,18603,2051105,21679,1993083,19064,23673,null,null,14617,null,null,18118,null,null,21189,null,null,20544,null,null,19409,null,null,13065,null,null,18122,null,null,18603,null,null,21679,null,null,19064,null,null,48
1570964,4919,777236,3175,49680,3001,169410,6104,275795,5737,282351,6113,793728,3075,45136,3181,179430,6123,318945,7404,250217,6774,4919,null,null,3175,null,null,3001,null,null,6104,null,null,5737,null,null,6113,null,null,3075,null,null,3181,null,null,6123,null,null,7404,null,null,6774,null,null,49
419821,878,202945,625,18686,1878,67048,3222,48912,2885,68299,2889,216876,751,13509,1642,57307,2697,61280,3084,84780,2892,878,null,null,625,null,null,1878,null,null,3222,null,null,2885,null,null,2889,null,null,751,null,null,1642,null,null,2697,null,null,3084,null,null,2892,null,null,50
4027719,7276,1959071,5431,193436,7208,469621,8862,497094,8623,798920,10343,2068648,4633,165954,7107,477950,10935,588155,8874,836589,10593,7276,null,null,5431,null,null,7208,null,null,8862,null,null,8623,null,null,10343,null,null,4633,null,null,7107,null,null,10935,null,null,8874,null,null,10593,null,null,51
