B25014G_001E,B25014G_001M,B25014G_002E,B25014G_002M,B25014G_003E,B25014G_003M,B25014G_001M,B25014G_001EA,B25014G_001MA,B25014G_002M,B25014G_002EA,B25014G_002MA,B25014G_003M,B25014G_003EA,B25014G_003MA,state
120572,5916,115501,5936,5071,1235,5916,null,null,5936,null,null,1235,null,null,12
53596,3851,51667,3690,1929,807,3851,null,null,3690,null,null,807,null,null,13
75692,3440,66317,2946,9375,1643,3440,null,null,2946,null,null,1643,null,null,15
11522,1651,11032,1633,490,341,1651,null,null,1633,null,null,341,null,null,16
71132,4250,69204,4238,1928,705,4250,null,null,4238,null,null,705,null,null,17
31134,3208,30485,3191,649,318,3208,null,null,3191,null,null,318,null,null,18
11402,1623,10811,1556,591,433,1623,null,null,1556,null,null,433,null,null,19
22146,2177,21409,2189,737,440,2177,null,null,2189,null,null,440,null,null,20
19627,2419,18807,2449,820,464,2419,null,null,2449,null,null,464,null,null,21
21442,2606,20168,2368,1274,731,2606,null,null,2368,null,null,731,null,null,22
7440,1163,6873,1131,567,361,1163,null,null,1131,null,null,361,null,null,23
42673,3433,41352,3448,1321,623,3433,null,null,3448,null,null,623,null,null,24
47902,4086,45142,3974,2760,960,4086,null,null,3974,null,null,960,null,null,25
73615,3838,71177,3804,2438,890,3838,null,null,3804,null,null,890,null,null,26
30369,2529,29623,2535,746,282,2529,null,null,2535,null,null,282,null,null,27
7108,1594,6882,1617,226,223,1594,null,null,1617,null,null,223,null,null,28
34278,2999,32973,3024,1305,541,2999,null,null,3024,null,null,541,null,null,29
9077,1756,8935,1757,142,119,1756,null,null,1757,null,null,119,null,null,30
8979,1249,8743,1254,236,177,1249,null,null,1254,null,null,177,null,null,31
31659,2558,29861,2498,1798,678,2558,null,null,2498,null,null,678,null,null,32
7270,1286,7120,1282,150,227,1286,null,null,1282,null,null,227,null,null,33
52673,3655,49898,3547,2775,1006,3655,null,null,3547,null,null,1006,null,null,34
17033,2405,16214,2308,819,445,2405,null,null,2308,null,null,445,null,null,35
145266,6836,132894,6412,12372,1944,6836,null,null,6412,null,null,1944,null,null,36
58430,4204,56782,4221,1648,603,4204,null,null,4221,null,null,603,null,null,37
6607,1293,6514,1283,93,151,1293,null,null,1283,null,null,151,null,null,38
70181,4263,68808,4450,1373,665,4263,null,null,4450,null,null,665,null,null,39
83857,3418,82020,3297,1837,412,3418,null,null,3297,null,null,412,null,null,40
54202,3624,50352,3479,3850,1361,3624,null,null,3479,null,null,1361,null,null,41
67414,4429,64749,4229,2665,910,4429,null,null,4229,null,null,910,null,null,42
7122,1425,6711,1328,411,381,1425,null,null,1328,null,null,381,null,null,44
19717,2342,19437,2339,280,207,2342,null,null,2339,null,null,207,null,null,45
4180,1061,3917,1035,263,229,1061,null,null,1035,null,null,229,null,null,46
33558,2914,32624,2994,934,464,2914,null,null,2994,null,null,464,null,null,47
176217,7266,168404,7104,7813,1368,7266,null,null,7104,null,null,1368,null,null,48
16870,2009,15945,1966,925,421,2009,null,null,1966,null,null,421,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
68193,4023,65620,4008,2573,873,4023,null,null,4008,null,null,873,null,null,51
99218,4566,95658,4326,3560,1162,4566,null,null,4326,null,null,1162,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
27356,2257,26886,2281,470,255,2257,null,null,2281,null,null,255,null,null,55
4766,1176,4686,1179,80,116,1176,null,null,1179,null,null,116,null,null,56
49739,3093,48012,2979,1727,719,3093,null,null,2979,null,null,719,null,null,72
21201,2198,20690,2152,511,345,2198,null,null,2152,null,null,345,null,null,01
13072,1589,12195,1534,877,433,1589,null,null,1534,null,null,433,null,null,02
57337,4091,53356,3897,3981,1153,4091,null,null,3897,null,null,1153,null,null,04
20377,2340,19458,2272,919,516,2340,null,null,2272,null,null,516,null,null,05
429861,9383,401002,9642,28859,2552,9383,null,null,9642,null,null,2552,null,null,06
45950,3191,44240,3137,1710,710,3191,null,null,3137,null,null,710,null,null,08
25942,2761,24926,2775,1016,581,2761,null,null,2775,null,null,581,null,null,09
5922,1267,5417,1221,505,449,1267,null,null,1221,null,null,449,null,null,10
6578,1162,6378,1166,200,197,1162,null,null,1166,null,null,197,null,null,11
