B18101C_001E,B18101C_001M,B18101C_002E,B18101C_002M,B18101C_003E,B18101C_003M,B18101C_004E,B18101C_004M,B18101C_005E,B18101C_005M,B18101C_006E,B18101C_006M,B18101C_007E,B18101C_007M,B18101C_008E,B18101C_008M,B18101C_009E,B18101C_009M,B18101C_010E,B18101C_010M,B18101C_001M,B18101C_001EA,B18101C_001MA,B18101C_002M,B18101C_002EA,B18101C_002MA,B18101C_003M,B18101C_003EA,B18101C_003MA,B18101C_004M,B18101C_004EA,B18101C_004MA,B18101C_005M,B18101C_005EA,B18101C_005MA,B18101C_006M,B18101C_006EA,B18101C_006MA,B18101C_007M,B18101C_007EA,B18101C_007MA,B18101C_008M,B18101C_008EA,B18101C_008MA,B18101C_009M,B18101C_009EA,B18101C_009MA,B18101C_010M,B18101C_010EA,B18101C_010MA,state
51260,5638,9565,1942,595,493,8970,1951,35076,4298,5900,1370,29176,3980,6619,1362,3078,916,3541,1252,5638,null,null,1942,null,null,493,null,null,1951,null,null,4298,null,null,1370,null,null,3980,null,null,1362,null,null,916,null,null,1252,null,null,12
37354,5712,10735,2799,96,166,10639,2777,23822,3666,3613,916,20209,3494,2797,860,1683,685,1114,527,5712,null,null,2799,null,null,166,null,null,2777,null,null,3666,null,null,916,null,null,3494,null,null,860,null,null,685,null,null,527,null,null,13
2448,831,577,400,0,185,577,400,1578,544,493,346,1085,483,293,205,201,159,92,138,831,null,null,400,null,null,185,null,null,400,null,null,544,null,null,346,null,null,483,null,null,205,null,null,159,null,null,138,null,null,15
25694,2544,7853,1114,849,491,7004,1009,15424,1958,3484,945,11940,1872,2417,839,1191,597,1226,582,2544,null,null,1114,null,null,491,null,null,1009,null,null,1958,null,null,945,null,null,1872,null,null,839,null,null,597,null,null,582,null,null,16
29881,3671,6200,1527,370,327,5830,1367,20144,2476,2846,825,17298,2425,3537,1210,1400,546,2137,1046,3671,null,null,1527,null,null,327,null,null,1367,null,null,2476,null,null,825,null,null,2425,null,null,1210,null,null,546,null,null,1046,null,null,17
16957,2451,2766,1096,103,130,2663,1099,11803,1870,2626,780,9177,1656,2388,631,1058,332,1330,488,2451,null,null,1096,null,null,130,null,null,1099,null,null,1870,null,null,780,null,null,1656,null,null,631,null,null,332,null,null,488,null,null,18
10368,1701,2226,865,161,203,2065,814,6892,1257,1067,457,5825,1171,1250,520,701,439,549,283,1701,null,null,865,null,null,203,null,null,814,null,null,1257,null,null,457,null,null,1171,null,null,520,null,null,439,null,null,283,null,null,19
20934,2541,5278,1123,268,350,5010,1104,13317,1942,2632,839,10685,1671,2339,615,1043,442,1296,459,2541,null,null,1123,null,null,350,null,null,1104,null,null,1942,null,null,839,null,null,1671,null,null,615,null,null,442,null,null,459,null,null,20
10786,2278,1660,761,51,66,1609,756,7331,1835,1638,695,5693,1489,1795,714,927,525,868,556,2278,null,null,761,null,null,66,null,null,756,null,null,1835,null,null,695,null,null,1489,null,null,714,null,null,525,null,null,556,null,null,21
24818,2662,6973,1765,860,547,6113,1675,14921,1769,3281,863,11640,1584,2924,669,1530,527,1394,483,2662,null,null,1765,null,null,547,null,null,1675,null,null,1769,null,null,863,null,null,1584,null,null,669,null,null,527,null,null,483,null,null,22
7893,1203,2202,676,211,155,1991,584,4705,809,1117,480,3588,732,986,296,536,199,450,249,1203,null,null,676,null,null,155,null,null,584,null,null,809,null,null,480,null,null,732,null,null,296,null,null,199,null,null,249,null,null,23
14879,2484,2623,1154,218,172,2405,1107,10291,1941,1686,724,8605,1718,1965,497,1079,376,886,365,2484,null,null,1154,null,null,172,null,null,1107,null,null,1941,null,null,724,null,null,1718,null,null,497,null,null,376,null,null,365,null,null,24
