B25014F_001E,B25014F_001M,B25014F_002E,B25014F_002M,B25014F_003E,B25014F_003M,B25014F_001M,B25014F_001EA,B25014F_001MA,B25014F_002M,B25014F_002EA,B25014F_002MA,B25014F_003M,B25014F_003EA,B25014F_003MA,state
155110,6741,140793,6407,14317,2001,6741,null,null,6407,null,null,2001,null,null,12
74279,5675,65224,5292,9055,2214,5675,null,null,5292,null,null,2214,null,null,13
2476,691,2334,672,142,129,691,null,null,672,null,null,129,null,null,15
16329,1899,14176,1819,2153,865,1899,null,null,1819,null,null,865,null,null,16
214464,6607,190054,7202,24410,2913,6607,null,null,7202,null,null,2913,null,null,17
42437,3160,38031,3123,4406,1086,3160,null,null,3123,null,null,1086,null,null,18
11840,1560,9756,1574,2084,910,1560,null,null,1574,null,null,910,null,null,19
20091,2347,17882,2065,2209,906,2347,null,null,2065,null,null,906,null,null,20
9313,1474,7473,1287,1840,812,1474,null,null,1287,null,null,812,null,null,21
20095,2374,18745,2280,1350,647,2374,null,null,2280,null,null,647,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
54131,3403,46651,3250,7480,1530,3403,null,null,3250,null,null,1530,null,null,24
90234,5020,83567,4923,6667,1307,5020,null,null,4923,null,null,1307,null,null,25
34198,2703,31604,2548,2594,802,2703,null,null,2548,null,null,802,null,null,26
27541,2053,22126,2115,5415,1287,2053,null,null,2115,null,null,1287,null,null,27
7537,1348,6663,1275,874,615,1348,null,null,1275,null,null,615,null,null,28
17504,2092,15383,1979,2121,812,2092,null,null,1979,null,null,812,null,null,29
968,480,834,437,134,162,480,null,null,437,null,null,162,null,null,30
10354,1717,8950,1678,1404,511,1717,null,null,1678,null,null,511,null,null,31
73943,4192,64641,3810,9302,1550,4192,null,null,3810,null,null,1550,null,null,32
2583,830,2345,792,238,210,830,null,null,792,null,null,210,null,null,33
151413,6087,132303,6015,19110,2231,6087,null,null,6015,null,null,2231,null,null,34
68705,3889,64391,3998,4314,1091,3889,null,null,3998,null,null,1091,null,null,35
502697,10946,421661,10479,81036,4744,10946,null,null,10479,null,null,4744,null,null,36
77260,4385,67413,4544,9847,1674,4385,null,null,4544,null,null,1674,null,null,37
1015,641,498,280,517,532,641,null,null,280,null,null,532,null,null,38
32459,2878,30812,2870,1647,631,2878,null,null,2870,null,null,631,null,null,39
28291,2039,25766,2002,2525,674,2039,null,null,2002,null,null,674,null,null,40
28528,2619,23573,2539,4955,1457,2619,null,null,2539,null,null,1457,null,null,41
73961,4091,70610,4032,3351,998,4091,null,null,4032,null,null,998,null,null,42
16782,1905,15860,1981,922,491,1905,null,null,1981,null,null,491,null,null,44
21295,2668,19451,2641,1844,912,2668,null,null,2641,null,null,912,null,null,45
1515,502,1200,494,315,306,502,null,null,494,null,null,306,null,null,46
16998,1933,14191,1793,2807,729,1933,null,null,1793,null,null,729,null,null,47
453839,10991,397638,10805,56201,4979,10991,null,null,10805,null,null,4979,null,null,48
40813,2991,35943,2933,4870,1270,2991,null,null,2933,null,null,1270,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
56514,3408,49171,3438,7343,1597,3408,null,null,3438,null,null,1597,null,null,51
88533,3712,71717,4179,16816,2329,3712,null,null,4179,null,null,2329,null,null,53
2177,696,1931,655,246,275,696,null,null,655,null,null,275,null,null,54
34775,2687,30333,2687,4442,1139,2687,null,null,2687,null,null,1139,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
200125,6763,192935,7107,7190,1646,6763,null,null,7107,null,null,1646,null,null,72
16541,2001,14617,1899,1924,684,2001,null,null,1899,null,null,684,null,null,01
2547,719,2392,746,155,185,719,null,null,746,null,null,185,null,null,02
156519,5734,134467,5985,22052,2576,5734,null,null,5985,null,null,2576,null,null,04
22001,1837,18977,1850,3024,955,1837,null,null,1850,null,null,955,null,null,05
1364663,15288,1035236,15187,329427,9083,15288,null,null,15187,null,null,9083,null,null,06
67693,4228,60929,4196,6764,1359,4228,null,null,4196,null,null,1359,null,null,08
54843,4171,51694,4165,3149,898,4171,null,null,4165,null,null,898,null,null,09
3737,1136,3608,1091,129,137,1136,null,null,1091,null,null,137,null,null,10
11190,1387,9387,1412,1803,876,1387,null,null,1412,null,null,876,null,null,11
