B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,B27001H_001M,B27001H_001EA,B27001H_001MA,B27001H_002M,B27001H_002EA,B27001H_002MA,B27001H_003M,B27001H_003EA,B27001H_003MA,B27001H_004M,B27001H_004EA,B27001H_004MA,B27001H_005M,B27001H_005EA,B27001H_005MA,B27001H_006M,B27001H_006EA,B27001H_006MA,B27001H_007M,B27001H_007EA,B27001H_007MA,B27001H_008M,B27001H_008EA,B27001H_008MA,B27001H_009M,B27001H_009EA,B27001H_009MA,B27001H_010M,B27001H_010EA,B27001H_010MA,B27001H_011M,B27001H_011EA,B27001H_011MA,B27001H_012M,B27001H_012EA,B27001H_012MA,B27001H_013M,B27001H_013EA,B27001H_013MA,B27001H_014M,B27001H_014EA,B27001H_014MA,B27001H_015M,B27001H_015EA,B27001H_015MA,B27001H_016M,B27001H_016EA,B27001H_016MA,B27001H_017M,B27001H_017EA,B27001H_017MA,B27001H_018M,B27001H_018EA,B27001H_018MA,B27001H_019M,B27001H_019EA,B27001H_019MA,B27001H_020M,B27001H_020EA,B27001H_020MA,B27001H_021M,B27001H_021EA,B27001H_021MA,B27001H_022M,B27001H_022EA,B27001H_022MA,B27001H_023M,B27001H_023EA,B27001H_023MA,B27001H_024M,B27001H_024EA,B27001H_024MA,B27001H_025M,B27001H_025EA,B27001H_025MA,B27001H_026M,B27001H_026EA,B27001H_026MA,B27001H_027M,B27001H_027EA,B27001H_027MA,B27001H_028M,B27001H_028EA,B27001H_028MA,state
11108555,7337,549213,5181,526340,5968,22873,3783,1205814,5060,1137015,8472,68799,6694,767301,3611,657594,6735,109707,6728,1224660,4275,993159,10209,231501,9988,1120549,3153,956301,9213,164248,8844,1494509,2434,1285476,9492,209033,8986,1749816,2159,1573181,8040,176635,8170,1658082,1523,1647930,2430,10152,2120,1338611,1921,1334735,2292,3876,1267,7337,null,null,5181,null,null,5968,null,null,3783,null,null,5060,null,null,8472,null,null,6694,null,null,3611,null,null,6735,null,null,6728,null,null,4275,null,null,10209,null,null,9988,null,null,3153,null,null,9213,null,null,8844,null,null,2434,null,null,9492,null,null,8986,null,null,2159,null,null,8040,null,null,8170,null,null,1523,null,null,2430,null,null,2120,null,null,1921,null,null,2292,null,null,1267,null,null,12
5397447,5746,333198,4051,312460,4680,20738,3446,772747,4802,732215,6276,40532,4261,464761,3025,393648,5544,71113,5201,657925,4151,535520,7671,122405,7011,667816,3588,562291,6472,105525,5787,789558,2359,695514,5179,94044,5408,765917,1309,696653,5175,69264,4934,581758,1409,579396,1819,2362,1114,363767,1780,363337,1859,430,315,5746,null,null,4051,null,null,4680,null,null,3446,null,null,4802,null,null,6276,null,null,4261,null,null,3025,null,null,5544,null,null,5201,null,null,4151,null,null,7671,null,null,7011,null,null,3588,null,null,6472,null,null,5787,null,null,2359,null,null,5179,null,null,5408,null,null,1309,null,null,5175,null,null,4934,null,null,1409,null,null,1819,null,null,1114,null,null,1780,null,null,1859,null,null,315,null,null,13
291287,2054,18215,959,17536,998,679,509,24206,947,23576,1095,630,382,20097,1108,18877,1340,1220,750,40909,1310,38428,1538,2481,895,35558,916,34312,1082,1246,518,38495,566,37084,827,1411,638,50079,208,47927,899,2152,836,42243,342,42081,358,162,167,21485,354,21421,359,64,82,2054,null,null,959,null,null,998,null,null,509,null,null,947,null,null,1095,null,null,382,null,null,1108,null,null,1340,null,null,750,null,null,1310,null,null,1538,null,null,895,null,null,916,null,null,1082,null,null,518,null,null,566,null,null,827,null,null,638,null,null,208,null,null,899,null,null,836,null,null,342,null,null,358,null,null,167,null,null,354,null,null,359,null,null,82,null,null,15
1370690,1147,100123,2059,96829,2378,3294,958,227364,2025,219144,2574,8220,1995,117124,1157,103543,2182,13581,2043,171525,1493,143638,3217,27887,2750,166545,1298,147565,2841,18980,2622,167099,1012,147239,2553,19860,2422,186279,532,166920,2435,19359,2353,141801,332,141286,631,515,562,92830,473,92723,472,107,122,1147,null,null,2059,null,null,2378,null,null,958,null,null,2025,null,null,2574,null,null,1995,null,null,1157,null,null,2182,null,null,2043,null,null,1493,null,null,3217,null,null,2750,null,null,1298,null,null,2841,null,null,2622,null,null,1012,null,null,2553,null,null,2422,null,null,532,null,null,2435,null,null,2353,null,null,332,null,null,631,null,null,562,null,null,473,null,null,472,null,null,122,null,null,16
7789493,4504,473158,3896,463922,3903,9236,1422,1032415,3627,1010332,5332,22083,3722,648372,1465,611986,3690,36386,3387,1008337,2210,936895,5133,71442,4765,946850,1228,891732,4228,55118,3995,1110235,1311,1056855,3762,53380,3529,1182376,1129,1133753,3090,48623,2762,798000,1246,794272,1493,3728,1043,589750,2124,588928,2132,822,417,4504,null,null,3896,null,null,3903,null,null,1422,null,null,3627,null,null,5332,null,null,3722,null,null,1465,null,null,3690,null,null,3387,null,null,2210,null,null,5133,null,null,4765,null,null,1228,null,null,4228,null,null,3995,null,null,1311,null,null,3762,null,null,3529,null,null,1129,null,null,3090,null,null,2762,null,null,1246,null,null,1493,null,null,1043,null,null,2124,null,null,2132,null,null,417,null,null,17
5203223,3325,360748,3763,339339,4263,21409,2653,761892,4173,712703,6257,49189,5289,487541,2024,440703,5230,46838,5052,646313,2311,558806,4957,87507,4769,625284,1465,567673,4032,57611,3821,714822,1295,661125,3942,53697,3843,745078,1000,697371,3726,47707,3663,509261,1344,505771,1701,3490,1154,352284,1466,351604,1613,680,459,3325,null,null,3763,null,null,4263,null,null,2653,null,null,4173,null,null,6257,null,null,5289,null,null,2024,null,null,5230,null,null,5052,null,null,2311,null,null,4957,null,null,4769,null,null,1465,null,null,4032,null,null,3821,null,null,1295,null,null,3942,null,null,3843,null,null,1000,null,null,3726,null,null,3663,null,null,1344,null,null,1701,null,null,1154,null,null,1466,null,null,1613,null,null,459,null,null,18
2671539,2202,184394,2656,179850,3119,4544,1484,388303,2879,380002,3387,8301,1812,259127,1077,246569,2277,12558,2136,321702,1204,299835,2986,21867,2629,310592,1070,295829,2245,14763,1992,347184,673,331989,2378,15195,2250,387361,655,376085,1784,11276,1632,265221,785,265000,777,221,134,207655,958,207244,1026,411,288,2202,null,null,2656,null,null,3119,null,null,1484,null,null,2879,null,null,3387,null,null,1812,null,null,1077,null,null,2277,null,null,2136,null,null,1204,null,null,2986,null,null,2629,null,null,1070,null,null,2245,null,null,1992,null,null,673,null,null,2378,null,null,2250,null,null,655,null,null,1784,null,null,1632,null,null,785,null,null,777,null,null,134,null,null,958,null,null,1026,null,null,288,null,null,19
2177741,1978,153284,2069,148343,2397,4941,1133,322524,2408,309363,2878,13161,2069,202347,1487,183142,2859,19205,2469,268968,1638,234394,3050,34574,3042,257350,1270,230672,2482,26678,2479,278534,1034,257484,2169,21050,1969,316820,711,297640,2043,19180,2055,215691,840,215298,900,393,266,162223,996,162040,1009,183,150,1978,null,null,2069,null,null,2397,null,null,1133,null,null,2408,null,null,2878,null,null,2069,null,null,1487,null,null,2859,null,null,2469,null,null,1638,null,null,3050,null,null,3042,null,null,1270,null,null,2482,null,null,2479,null,null,1034,null,null,2169,null,null,1969,null,null,711,null,null,2043,null,null,2055,null,null,840,null,null,900,null,null,266,null,null,996,null,null,1009,null,null,150,null,null,20
3704304,4406,251273,3033,243958,3309,7315,1535,543385,3003,526893,3728,16492,2625,336922,1888,313111,2938,23811,2714,452592,2814,414637,4326,37955,3214,460434,1750,431032,3367,29402,2966,516817,1339,488608,3273,28209,3050,525260,978,505715,2837,19545,2517,373813,853,373039,929,774,484,243808,1100,243665,1121,143,126,4406,null,null,3033,null,null,3309,null,null,1535,null,null,3003,null,null,3728,null,null,2625,null,null,1888,null,null,2938,null,null,2714,null,null,2814,null,null,4326,null,null,3214,null,null,1750,null,null,3367,null,null,2966,null,null,1339,null,null,3273,null,null,3050,null,null,978,null,null,2837,null,null,2517,null,null,853,null,null,929,null,null,484,null,null,1100,null,null,1121,null,null,126,null,null,21
2711225,2909,184918,2888,181236,2982,3682,1126,384841,3048,373796,4065,11045,2691,229993,2314,200760,4044,29233,3670,366140,3361,310893,5959,55247,5128,332840,2718,291150,5280,41690,4538,359769,2006,315970,4393,43799,3891,387797,782,355552,3470,32245,3291,276276,915,275733,967,543,323,188651,1199,188257,1191,394,309,2909,null,null,2888,null,null,2982,null,null,1126,null,null,3048,null,null,4065,null,null,2691,null,null,2314,null,null,4044,null,null,3670,null,null,3361,null,null,5959,null,null,5128,null,null,2718,null,null,5280,null,null,4538,null,null,2006,null,null,4393,null,null,3891,null,null,782,null,null,3470,null,null,3291,null,null,915,null,null,967,null,null,323,null,null,1199,null,null,1191,null,null,309,null,null,22
