B19081_001E,B19081_001M,B19081_002E,B19081_002M,B19081_003E,B19081_003M,B19081_004E,B19081_004M,B19081_005E,B19081_005M,B19081_006E,B19081_006M,B19081_001M,B19081_001EA,B19081_001MA,B19081_002M,B19081_002EA,B19081_002MA,B19081_003M,B19081_003EA,B19081_003MA,B19081_004M,B19081_004EA,B19081_004MA,B19081_005M,B19081_005EA,B19081_005MA,B19081_006M,B19081_006EA,B19081_006MA,state
11909,150,30975,204,50888,292,80220,436,189928,2035,354666,6877,150,null,null,204,null,null,292,null,null,436,null,null,2035,null,null,6877,null,null,12
11655,252,31898,362,54055,543,85194,606,194012,2974,350289,9371,252,null,null,362,null,null,543,null,null,606,null,null,2974,null,null,9371,null,null,13
16302,923,45836,1457,74970,1462,113595,1855,228816,5493,375056,16703,923,null,null,1457,null,null,1462,null,null,1855,null,null,5493,null,null,16703,null,null,15
11935,573,32145,862,52057,1094,78288,1588,165604,6747,291441,21888,573,null,null,862,null,null,1094,null,null,1588,null,null,6747,null,null,21888,null,null,16
12726,188,35388,325,61140,453,96936,559,216616,2470,388164,7761,188,null,null,325,null,null,453,null,null,559,null,null,2470,null,null,7761,null,null,17
12561,227,32189,266,52672,448,80413,628,170226,2750,300287,9503,227,null,null,266,null,null,448,null,null,628,null,null,2750,null,null,9503,null,null,18
13848,338,34618,446,56491,739,85653,905,177612,3701,311070,12766,338,null,null,446,null,null,739,null,null,905,null,null,3701,null,null,12766,null,null,19
13259,335,33573,529,54904,765,84647,1055,180542,3312,316792,11436,335,null,null,529,null,null,765,null,null,1055,null,null,3312,null,null,11436,null,null,20
9827,257,26950,484,46794,596,74752,874,165939,3563,298669,12149,257,null,null,484,null,null,596,null,null,874,null,null,3563,null,null,12149,null,null,21
9108,260,25242,521,45226,640,75478,819,173425,3698,307273,11612,260,null,null,521,null,null,640,null,null,819,null,null,3698,null,null,11612,null,null,22
12769,474,31688,781,53631,1161,82431,1466,171442,4833,296403,16002,474,null,null,781,null,null,1161,null,null,1466,null,null,4833,null,null,16002,null,null,23
17263,358,47387,631,78911,740,120621,937,247827,3039,417811,9043,358,null,null,631,null,null,740,null,null,937,null,null,3039,null,null,9043,null,null,24
