B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,B17020D_001M,B17020D_001EA,B17020D_001MA,B17020D_002M,B17020D_002EA,B17020D_002MA,B17020D_003M,B17020D_003EA,B17020D_003MA,B17020D_004M,B17020D_004EA,B17020D_004MA,B17020D_005M,B17020D_005EA,B17020D_005MA,B17020D_006M,B17020D_006EA,B17020D_006MA,B17020D_007M,B17020D_007EA,B17020D_007MA,B17020D_008M,B17020D_008EA,B17020D_008MA,B17020D_009M,B17020D_009EA,B17020D_009MA,B17020D_010M,B17020D_010EA,B17020D_010MA,B17020D_011M,B17020D_011EA,B17020D_011MA,B17020D_012M,B17020D_012EA,B17020D_012MA,B17020D_013M,B17020D_013EA,B17020D_013MA,B17020D_014M,B17020D_014EA,B17020D_014MA,B17020D_015M,B17020D_015EA,B17020D_015MA,B17020D_016M,B17020D_016EA,B17020D_016MA,B17020D_017M,B17020D_017EA,B17020D_017MA,state
552077,7379,68107,8925,3652,1370,4748,1602,5772,1822,42731,6041,7667,1742,2088,871,1449,750,483970,9717,29705,2337,29777,2749,33181,2689,297482,7172,73248,3046,16970,1700,3607,1071,7379,null,null,8925,null,null,1370,null,null,1602,null,null,1822,null,null,6041,null,null,1742,null,null,871,null,null,750,null,null,9717,null,null,2337,null,null,2749,null,null,2689,null,null,7172,null,null,3046,null,null,1700,null,null,1071,null,null,12
389059,6789,46660,6374,4963,1433,3519,1195,2918,928,29259,4313,4058,1293,1906,1120,37,48,342399,7682,23049,2808,25874,2547,27003,2029,218529,5061,38044,2626,7554,1316,2346,895,6789,null,null,6374,null,null,1433,null,null,1195,null,null,928,null,null,4313,null,null,1293,null,null,1120,null,null,48,null,null,7682,null,null,2808,null,null,2547,null,null,2029,null,null,5061,null,null,2626,null,null,1316,null,null,895,null,null,13
533218,10332,35105,4217,1480,1244,815,455,2017,639,15707,2581,7374,1407,4400,1036,3312,723,498113,10716,20933,2471,23318,2932,27202,2488,267003,6980,102980,2800,35356,1952,21321,1495,10332,null,null,4217,null,null,1244,null,null,455,null,null,639,null,null,2581,null,null,1407,null,null,1036,null,null,723,null,null,10716,null,null,2471,null,null,2932,null,null,2488,null,null,6980,null,null,2800,null,null,1952,null,null,1495,null,null,15
23515,2249,3689,1374,329,370,212,295,547,430,2023,953,578,508,0,198,0,198,19826,2366,1273,665,1241,632,1915,944,12026,1715,2926,640,328,290,117,119,2249,null,null,1374,null,null,370,null,null,295,null,null,430,null,null,953,null,null,508,null,null,198,null,null,198,null,null,2366,null,null,665,null,null,632,null,null,944,null,null,1715,null,null,640,null,null,290,null,null,119,null,null,16
669861,6302,77595,8150,5968,1748,3935,1163,4344,1125,47806,4526,10268,2181,4487,1727,787,413,592266,9392,39770,2588,44303,2748,43222,2277,367206,6296,73976,2946,18367,1385,5422,1058,6302,null,null,8150,null,null,1748,null,null,1163,null,null,1125,null,null,4526,null,null,2181,null,null,1727,null,null,413,null,null,9392,null,null,2588,null,null,2748,null,null,2277,null,null,6296,null,null,2946,null,null,1385,null,null,1058,null,null,17
133215,4638,30647,3773,3044,1324,2557,903,1885,847,21484,2570,1677,844,0,192,0,192,102568,5751,8867,1723,7938,1670,6894,1671,65447,3663,11010,1634,1947,743,465,259,4638,null,null,3773,null,null,1324,null,null,903,null,null,847,null,null,2570,null,null,844,null,null,192,null,null,192,null,null,5751,null,null,1723,null,null,1670,null,null,1671,null,null,3663,null,null,1634,null,null,743,null,null,259,null,null,18
72810,2562,10146,2249,478,389,797,676,549,477,7989,1620,173,157,160,176,0,159,62664,3095,5674,1015,4825,1296,5205,1187,41531,2385,4257,884,923,438,249,225,2562,null,null,2249,null,null,389,null,null,676,null,null,477,null,null,1620,null,null,157,null,null,176,null,null,159,null,null,3095,null,null,1015,null,null,1296,null,null,1187,null,null,2385,null,null,884,null,null,438,null,null,225,null,null,19
77915,3400,10484,2222,470,391,633,437,580,345,7687,1686,657,374,371,306,86,135,67431,3975,5103,944,4148,819,5517,1166,45320,3077,6254,968,916,438,173,169,3400,null,null,2222,null,null,391,null,null,437,null,null,345,null,null,1686,null,null,374,null,null,306,null,null,135,null,null,3975,null,null,944,null,null,819,null,null,1166,null,null,3077,null,null,968,null,null,438,null,null,169,null,null,20
60307,2880,8784,2520,812,605,872,544,626,560,6059,1794,380,284,35,59,0,190,51523,3188,4145,842,4040,1017,4374,939,33316,2488,4529,969,826,408,293,209,2880,null,null,2520,null,null,605,null,null,544,null,null,560,null,null,1794,null,null,284,null,null,59,null,null,190,null,null,3188,null,null,842,null,null,1017,null,null,939,null,null,2488,null,null,969,null,null,408,null,null,209,null,null,21
76477,2503,12087,2611,1010,660,1178,572,630,462,6857,1543,1993,944,317,228,102,132,64390,3012,4411,805,4201,968,4349,1193,41774,2324,7587,1382,1280,443,788,547,2503,null,null,2611,null,null,660,null,null,572,null,null,462,null,null,1543,null,null,944,null,null,228,null,null,132,null,null,3012,null,null,805,null,null,968,null,null,1193,null,null,2324,null,null,1382,null,null,443,null,null,547,null,null,22
16542,1524,2997,1135,37,58,116,141,216,265,2092,889,366,363,0,172,170,210,13545,1930,648,445,1129,586,1353,529,8984,1489,1149,501,214,206,68,98,1524,null,null,1135,null,null,58,null,null,141,null,null,265,null,null,889,null,null,363,null,null,172,null,null,210,null,null,1930,null,null,445,null,null,586,null,null,529,null,null,1489,null,null,501,null,null,206,null,null,98,null,null,23
370516,5193,25382,4080,1648,762,1464,771,1107,562,15224,2626,3385,928,1650,616,904,395,345134,6008,20949,1728,24370,1945,25343,2069,214899,4396,45300,2260,11562,975,2711,795,5193,null,null,4080,null,null,762,null,null,771,null,null,562,null,null,2626,null,null,928,null,null,616,null,null,395,null,null,6008,null,null,1728,null,null,1945,null,null,2069,null,null,4396,null,null,2260,null,null,975,null,null,795,null,null,24
418901,5752,57446,6592,3457,1164,1703,609,3311,1121,38837,4839,6735,1525,2130,833,1273,615,361455,8077,28219,1818,28783,1756,26847,1850,232320,5744,33828,2420,9866,1414,1592,655,5752,null,null,6592,null,null,1164,null,null,609,null,null,1121,null,null,4839,null,null,1525,null,null,833,null,null,615,null,null,8077,null,null,1818,null,null,1756,null,null,1850,null,null,5744,null,null,2420,null,null,1414,null,null,655,null,null,25
283438,4973,46604,4831,3353,871,2960,777,3070,868,32345,3540,3270,912,1054,487,552,325,236834,5896,15928,1539,18365,1639,18703,2043,150628,3756,26590,1944,5150,910,1470,456,4973,null,null,4831,null,null,871,null,null,777,null,null,868,null,null,3540,null,null,912,null,null,487,null,null,325,null,null,5896,null,null,1539,null,null,1639,null,null,2043,null,null,3756,null,null,1944,null,null,910,null,null,456,null,null,26
252561,4683,40484,5459,3536,1214,5297,1554,4430,1246,24568,2910,1911,642,591,398,151,136,212077,6676,19993,2033,19760,2027,18953,1698,132780,4034,16596,1415,3216,638,779,452,4683,null,null,5459,null,null,1214,null,null,1554,null,null,1246,null,null,2910,null,null,642,null,null,398,null,null,136,null,null,6676,null,null,2033,null,null,2027,null,null,1698,null,null,4034,null,null,1415,null,null,638,null,null,452,null,null,27
25620,2355,3306,1241,193,249,209,258,148,147,2378,1068,378,309,0,213,0,213,22314,2365,1695,713,2000,547,1663,716,13781,1884,2569,909,578,404,28,50,2355,null,null,1241,null,null,249,null,null,258,null,null,147,null,null,1068,null,null,309,null,null,213,null,null,213,null,null,2365,null,null,713,null,null,547,null,null,716,null,null,1884,null,null,909,null,null,404,null,null,50,null,null,28
113230,3601,17614,2755,1966,968,802,543,644,380,12507,1878,1261,757,163,137,271,264,95616,3884,5810,1351,7465,1293,8135,1179,62924,2805,9178,1407,1861,679,243,177,3601,null,null,2755,null,null,968,null,null,543,null,null,380,null,null,1878,null,null,757,null,null,137,null,null,264,null,null,3884,null,null,1351,null,null,1293,null,null,1179,null,null,2805,null,null,1407,null,null,679,null,null,177,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
40006,3403,7604,2506,478,375,863,793,382,222,5595,1691,169,161,31,57,86,137,32402,3675,3221,972,3088,1041,2863,785,19748,2424,2866,577,387,337,229,220,3403,null,null,2506,null,null,375,null,null,793,null,null,222,null,null,1691,null,null,161,null,null,57,null,null,137,null,null,3675,null,null,972,null,null,1041,null,null,785,null,null,2424,null,null,577,null,null,337,null,null,220,null,null,31
243274,5212,22762,4034,1590,984,1484,1029,469,407,13894,2405,4547,1263,370,287,408,317,220512,6275,10008,1774,12031,1697,14846,1707,132239,3722,37975,1968,11303,1260,2110,657,5212,null,null,4034,null,null,984,null,null,1029,null,null,407,null,null,2405,null,null,1263,null,null,287,null,null,317,null,null,6275,null,null,1774,null,null,1697,null,null,1707,null,null,3722,null,null,1968,null,null,1260,null,null,657,null,null,32
31467,2301,2394,1009,48,96,72,100,31,71,1991,933,252,250,0,187,0,187,29073,2306,2083,863,2332,812,2992,914,18552,1475,1664,588,1371,746,79,127,2301,null,null,1009,null,null,96,null,null,100,null,null,71,null,null,933,null,null,250,null,null,187,null,null,187,null,null,2306,null,null,863,null,null,812,null,null,914,null,null,1475,null,null,588,null,null,746,null,null,127,null,null,33
838926,6483,57144,5444,2969,852,3756,995,4804,1192,33611,4029,8672,1767,2736,908,596,314,781782,8390,55766,2495,61083,2708,56273,2386,485879,5465,96402,3056,21310,1815,5069,1163,6483,null,null,5444,null,null,852,null,null,995,null,null,1192,null,null,4029,null,null,1767,null,null,908,null,null,314,null,null,8390,null,null,2495,null,null,2708,null,null,2386,null,null,5465,null,null,3056,null,null,1815,null,null,1163,null,null,34
