B08105G_001E,B08105G_001M,B08105G_002E,B08105G_002M,B08105G_003E,B08105G_003M,B08105G_004E,B08105G_004M,B08105G_005E,B08105G_005M,B08105G_006E,B08105G_006M,B08105G_007E,B08105G_007M,B08105G_001M,B08105G_001EA,B08105G_001MA,B08105G_002M,B08105G_002EA,B08105G_002MA,B08105G_003M,B08105G_003EA,B08105G_003MA,B08105G_004M,B08105G_004EA,B08105G_004MA,B08105G_005M,B08105G_005EA,B08105G_005MA,B08105G_006M,B08105G_006EA,B08105G_006MA,B08105G_007M,B08105G_007EA,B08105G_007MA,state
179339,10003,136772,8029,20901,3604,4523,1290,3910,1294,5116,1312,8117,1689,10003,null,null,8029,null,null,3604,null,null,1290,null,null,1294,null,null,1312,null,null,1689,null,null,12
79866,5731,57348,4660,9920,1963,3250,1231,2360,763,2524,1058,4464,1212,5731,null,null,4660,null,null,1963,null,null,1231,null,null,763,null,null,1058,null,null,1212,null,null,13
147772,6919,105105,5573,21259,2448,7971,1451,3968,947,4181,1004,5288,1007,6919,null,null,5573,null,null,2448,null,null,1451,null,null,947,null,null,1004,null,null,1007,null,null,15
12921,1896,9299,1641,2067,911,0,198,582,325,288,269,685,385,1896,null,null,1641,null,null,911,null,null,198,null,null,325,null,null,269,null,null,385,null,null,16
106642,6435,71548,4881,10205,1922,12875,1783,5472,1192,2233,684,4309,1128,6435,null,null,4881,null,null,1922,null,null,1783,null,null,1192,null,null,684,null,null,1128,null,null,17
46517,4314,36456,3511,6068,1708,739,579,1495,622,701,502,1058,487,4314,null,null,3511,null,null,1708,null,null,579,null,null,622,null,null,502,null,null,487,null,null,18
18718,2263,15527,2110,1390,470,335,261,582,321,434,334,450,344,2263,null,null,2110,null,null,470,null,null,261,null,null,321,null,null,334,null,null,344,null,null,19
32171,2975,25134,2640,4497,1285,160,160,1092,484,637,321,651,316,2975,null,null,2640,null,null,1285,null,null,160,null,null,484,null,null,321,null,null,316,null,null,20
23537,3114,18198,2745,2958,1011,316,303,706,336,582,367,777,465,3114,null,null,2745,null,null,1011,null,null,303,null,null,336,null,null,367,null,null,465,null,null,21
28011,3801,21115,3155,4082,1352,202,155,650,339,647,383,1315,678,3801,null,null,3155,null,null,1352,null,null,155,null,null,339,null,null,383,null,null,678,null,null,22
8119,1400,5497,1176,994,481,141,167,492,256,290,253,705,345,1400,null,null,1176,null,null,481,null,null,167,null,null,256,null,null,253,null,null,345,null,null,23
71794,5456,52074,4643,6633,1357,6187,1521,2249,867,1205,626,3446,944,5456,null,null,4643,null,null,1357,null,null,1521,null,null,867,null,null,626,null,null,944,null,null,24
82925,6560,40717,3570,10425,1971,19357,3629,6414,1383,2041,865,3971,1317,6560,null,null,3570,null,null,1971,null,null,3629,null,null,1383,null,null,865,null,null,1317,null,null,25
97234,4290,72809,3976,13124,2070,3468,1457,3142,722,1811,659,2880,787,4290,null,null,3976,null,null,2070,null,null,1457,null,null,722,null,null,659,null,null,787,null,null,26
53429,4168,36583,3169,5641,1226,3209,673,2543,639,1209,526,4244,1089,4168,null,null,3169,null,null,1226,null,null,673,null,null,639,null,null,526,null,null,1089,null,null,27
7961,1566,6555,1393,880,513,0,213,295,206,173,255,58,69,1566,null,null,1393,null,null,513,null,null,213,null,null,206,null,null,255,null,null,69,null,null,28
44873,3979,37047,3313,3958,1015,906,485,740,452,668,400,1554,499,3979,null,null,3313,null,null,1015,null,null,485,null,null,452,null,null,400,null,null,499,null,null,29
11753,1557,8699,1314,1600,703,112,160,395,247,0,168,947,592,1557,null,null,1314,null,null,703,null,null,160,null,null,247,null,null,168,null,null,592,null,null,30
15806,2097,11751,1966,2223,601,190,211,824,418,338,266,480,278,2097,null,null,1966,null,null,601,null,null,211,null,null,418,null,null,266,null,null,278,null,null,31
50421,4368,35995,3632,8253,1804,2337,947,1364,510,594,318,1878,734,4368,null,null,3632,null,null,1804,null,null,947,null,null,510,null,null,318,null,null,734,null,null,32
10276,1848,8109,1592,844,564,69,118,658,452,37,62,559,271,1848,null,null,1592,null,null,564,null,null,118,null,null,452,null,null,62,null,null,271,null,null,33
83265,6362,55076,5074,9361,1840,11061,2120,3468,1065,1426,621,2873,973,6362,null,null,5074,null,null,1840,null,null,2120,null,null,1065,null,null,621,null,null,973,null,null,34
22942,3247,18037,2733,2383,856,634,480,625,439,489,315,774,406,3247,null,null,2733,null,null,856,null,null,480,null,null,439,null,null,315,null,null,406,null,null,35
219176,10189,90038,5741,16967,2157,79055,6269,19788,2676,4599,1065,8729,1664,10189,null,null,5741,null,null,2157,null,null,6269,null,null,2676,null,null,1065,null,null,1664,null,null,36
80362,5787,61289,4592,10797,2337,1249,702,2233,758,1527,838,3267,1208,5787,null,null,4592,null,null,2337,null,null,702,null,null,758,null,null,838,null,null,1208,null,null,37
9252,1441,6849,1379,1319,601,56,91,619,489,189,211,220,168,1441,null,null,1379,null,null,601,null,null,91,null,null,489,null,null,211,null,null,168,null,null,38
95360,5935,73322,5382,10189,1821,2942,928,4018,937,2146,756,2743,748,5935,null,null,5382,null,null,1821,null,null,928,null,null,937,null,null,756,null,null,748,null,null,39
104826,4427,85374,4060,10342,1412,809,558,1978,621,1456,604,4867,1011,4427,null,null,4060,null,null,1412,null,null,558,null,null,621,null,null,604,null,null,1011,null,null,40
74532,4708,51110,4054,10050,2138,3889,1141,4498,1286,2341,743,2644,909,4708,null,null,4054,null,null,2138,null,null,1141,null,null,1286,null,null,743,null,null,909,null,null,41
97621,5381,63538,4456,12499,2157,7983,1593,5843,1275,2463,894,5295,1032,5381,null,null,4456,null,null,2157,null,null,1593,null,null,1275,null,null,894,null,null,1032,null,null,42
